Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																									
Дата голосования: 04.12.2011																																									
																																									
Наименование Избирательной комиссии:    Козловская																																									
																																									
Сводная таблица результатов выборов																																									
																																									
		Сумма	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367					
1	"Число избирателей, внесенных в список избирателей"	15709	795	1164	1270	1319	412	1122	1212	310	461	145	251	229	152	199	653	433	171	190	592	321	474	338	170	117	357	304	232	874	556	217	95	303	136	135					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15730	770	1190	1246	1295	410	1090	1225	299	479	144	248	225	157	195	669	425	170	187	609	324	474	350	177	114	360	310	282	865	537	210	95	309	146	144					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	9804	443	660	791	765	254	693	672	158	311	76	195	125	97	123	423	296	121	133	336	213	291	261	137	92	260	194	180	541	341	130	57	234	98	103					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1072	50	40	26	12	11	26	49	15	54	47	9	67	17	32	35	46	13	18	87	20	50	42	14	21	28	33	43	30	45	7	22	33	17	13					
6	Число погашенных избирательных бюллетеней	4854	277	490	429	518	145	371	504	126	114	21	44	33	43	40	211	83	36	36	186	91	133	47	26	1	72	83	59	294	151	73	16	42	31	28					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1072	50	40	26	12	11	26	49	15	54	47	9	67	17	32	35	46	13	18	87	20	50	42	14	21	28	33	43	30	45	7	22	33	17	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9804	443	660	791	765	254	693	672	158	311	76	195	125	97	123	423	296	121	133	336	213	291	261	137	92	260	194	180	541	341	130	57	234	98	103					
9	Число недействительных избирательных бюллетеней	412	14	17	23	25	14	19	39	4	13	5	12	1	4	6	12	9	6	6	15	13	19	7	11	4	8	10	8	19	18	6	2	17	18	8					
10	Число действительных избирательных бюллетеней	10464	479	683	794	752	251	700	682	169	352	118	192	191	110	149	446	333	128	145	408	220	322	296	140	109	280	217	215	552	368	131	77	250	97	108					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1000	40	70	70	70	30	70	70	20	30	10	20	20	10	10	40	30	10	10	40	20	30	20	10	10	20	20	50	50	40	10	10	20	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	423	10	26	16	15	10	13	32	2	30	10	2	16	10	4	30	8	3	5	27	3	3	19	10	3	5	7	50	15	0	3	7	9	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	146	11	0	10	0	4	4	5	3	2	4	3	10	7	3	7	3	3	6	5	3	2	4	4	5	1	2	5	6	7	2	5	7	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	577	30	44	54	55	20	57	38	18	0	0	18	4	0	6	10	22	7	5	13	17	27	1	0	7	15	13	0	35	40	7	3	11	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2051	135	197	157	151	49	171	190	26	71	15	31	30	11	30	77	44	14	23	62	29	49	38	16	18	38	49	36	113	59	22	14	44	18	24					
		18.86%	27.38%	28.14%	19.22%	19.43%	18.49%	23.78%	26.35%	15.03%	19.45%	12.20%	15.20%	15.63%	9.65%	19.35%	16.81%	12.87%	10.45%	15.23%	14.66%	12.45%	14.37%	12.54%	10.60%	15.93%	13.19%	21.59%	16.14%	19.79%	15.28%	16.06%	17.72%	16.48%	15.65%	20.69%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1055	40	62	67	74	24	76	57	9	39	9	22	3	3	10	47	27	25	13	75	22	39	34	25	8	44	27	9	69	48	14	7	14	3	10					
		9.70%	8.11%	8.86%	8.20%	9.52%	9.06%	10.57%	7.91%	5.20%	10.68%	7.32%	10.78%	1.56%	2.63%	6.45%	10.26%	7.89%	18.66%	8.61%	17.73%	9.44%	11.44%	11.22%	16.56%	7.08%	15.28%	11.89%	4.04%	12.08%	12.44%	10.22%	8.86%	5.24%	2.61%	8.62%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	140	16	1	8	8	4	8	17	2	8	4	2	1	0	2	6	3	1	1	9	7	3	6	1	0	0	3	3	5	4	1	1	5	0	0					
