Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Нагайбакская																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764					
1	"Число избирателей, внесенных в список"	16641	1029	149	433	195	127	142	841	188	171	662	240	250	91	107	573	152	274	179	231	1440	276	228	1369	262	230	161	464	190	253	1609	1658	129	244	259	165	1670					
2	Число полученных избирательных бюллетеней	16613	1118	155	435	199	125	137	823	188	170	671	239	243	99	108	574	153	253	169	230	1450	300	232	1327	256	227	161	467	190	249	1630	1636	129	240	235	165	1630					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13620	896	138	343	161	117	122	701	170	138	575	199	206	84	85	506	131	239	154	228	1118	259	199	1156	219	182	155	422	176	237	1189	1217	112	213	232	162	1179					
5	"Число избирательных бюллетеней, выданных вне помещения"	1029	42	4	30	18	5	13	49	13	14	41	22	32	1	15	30	14	14	6	2	98	9	29	86	30	27	6	15	11	8	108	119	6	12	0	3	97					
6	Число погашенных избирательных бюллетеней	1964	180	13	62	20	3	2	73	5	18	55	18	5	14	8	38	8	0	9	0	234	32	4	85	7	18	0	30	3	4	333	300	11	15	3	0	354					
7	Число избирательных бюллетеней в переносных ящиках	1029	42	4	30	18	5	13	49	13	14	41	22	32	1	15	30	14	14	6	2	98	9	29	86	30	27	6	15	11	8	108	119	6	12	0	3	97					
8	Число бюллетеней в стационарных ящиках для голосования	13620	896	138	343	161	117	122	701	170	138	575	199	206	84	85	506	131	239	154	228	1118	259	199	1156	219	182	155	422	176	237	1189	1217	112	213	232	162	1179					
9	Число недействительных избирательных бюллетеней	196	5	0	10	3	2	0	11	0	3	7	3	3	0	0	15	2	7	2	1	26	3	2	19	4	0	7	0	5	0	21	12	1	3	0	4	15					
10	Число действительных избирательных бюллетеней	14453	933	142	363	176	120	135	739	183	149	609	218	235	85	100	521	143	246	158	229	1190	265	226	1223	245	209	154	437	182	245	1276	1324	117	222	232	161	1261					
11	Число полученных открепительных  удостоверений	382	10	6	18	3	3	3	35	3	8	16	8	3	3	3	21	3	3	3	3	38	19	5	21	8	8	8	3	3	3	25	30	3	2	3	3	45					
12	Число выданных открепительных удостоверений	328	10	5	17	2	3	0	35	3	8	16	8	3	1	1	21	3	3	3	1	38	19	5	21	2	8	2	1	0	0	25	29	0	0	0	0	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	163	3	1	3	1	4	2	8	2	4	9	2	0	0	2	13	2	7	4	2	4	7	4	10	3	2	5	3	1	1	14	26	2	0	4	0	8					
14	Число неиспользованных открепительных удостоверений	54	0	1	1	1	0	3	0	0	0	0	0	0	2	2	0	0	0	0	2	0	0	0	0	6	0	6	2	3	3	0	1	3	2	3	3	10					
15	"Число открепительных удостоверений, выданных в ТИК"	15	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	427	30	3	13	3	4	9	21	1	1	23	2	2	0	5	13	2	3	2	1	48	7	13	24	2	1	1	16	5	3	31	35	2	7	9	2	83					
		2.91%	3.20%	2.11%	3.49%	1.68%	3.28%	6.67%	2.80%	0.55%	0.66%	3.73%	0.90%	0.84%	0.00%	5.00%	2.43%	1.38%	1.19%	1.25%	0.43%	3.95%	2.61%	5.70%	1.93%	0.80%	0.48%	0.62%	3.66%	2.67%	1.22%	2.39%	2.62%	1.69%	3.11%	3.88%	1.21%	6.50%					
19	. Малышкин Олег Александрович	426	16	3	5	8	6	13	20	9	3	22	5	11	1	7	16	5	11	12	1	48	4	5	25	7	9	0	13	7	21	20	35	2	4	10	0	42					
		2.91%	1.71%	2.11%	1.34%	4.47%	4.92%	9.63%	2.67%	4.92%	1.97%	3.57%	2.26%	4.62%	1.18%	7.00%	2.99%	3.45%	4.35%	7.50%	0.43%	3.95%	1.49%	2.19%	2.01%	2.81%	4.31%	0.00%	2.97%	3.74%	8.57%	1.54%	2.62%	1.69%	1.78%	4.31%	0.00%	3.29%					
20	. Миронов Сергей Михайлович	89	8	1	3	0	1	0	7	2	2	2	2	1	1	0	1	3	3	3	0	14	0	1	6	0	1	0	4	0	0	4	2	1	2	0	0	14					
		0.61%	0.85%	0.70%	0.80%	0.00%	0.82%	0.00%	0.93%	1.09%	1.32%	0.32%	0.90%	0.42%	1.18%	0.00%	0.19%	2.07%	1.19%	1.88%	0.00%	1.15%	0.00%	0.44%	0.48%	0.00%	0.48%	0.00%	0.92%	0.00%	0.00%	0.31%	0.15%	0.85%	0.89%	0.00%	0.00%	1.10%					
21	. Путин Владимир Владимирович	10151	645	105	254	124	77	97	477	139	105	405	160	174	77	76	363	102	181	108	198	719	198	169	762	197	155	136	301	143	165	1011	1041	96	168	191	141	691					
		69.29%	68.76%	73.94%	68.10%	69.27%	63.11%	71.85%	63.60%	75.96%	69.08%	65.75%	72.40%	73.11%	90.59%	76.00%	67.72%	70.34%	71.54%	67.50%	86.09%	59.13%	73.88%	74.12%	61.35%	79.12%	74.16%	84.47%	68.88%	76.47%	67.35%	77.95%	77.92%	81.36%	74.67%	82.33%	85.45%	54.15%					
22	. Хакамада Ирина Муцуовна	202	6	3	5	4	2	1	11	2	0	10	12	2	1	2	6	6	0	4	3	21	5	1	11	3	2	1	5	3	0	17	22	1	2	4	3	21					
		1.38%	0.64%	2.11%	1.34%	2.23%	1.64%	0.74%	1.47%	1.09%	0.00%	1.62%	5.43%	0.84%	1.18%	2.00%	1.12%	4.14%	0.00%	2.50%	1.30%	1.73%	1.87%	0.44%	0.89%	1.20%	0.96%	0.62%	1.14%	1.60%	0.00%	1.31%	1.65%	0.85%	0.89%	1.72%	1.82%	1.65%					
23	. Харитонов Николай Михайлович	2893	212	26	77	36	30	14	194	29	31	131	33	44	4	9	115	23	46	27	25	315	49	36	387	35	38	16	80	23	51	149	158	14	34	18	14	370					
