Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    район Марьино																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	165804	2632	2472	2229	2621	2600	2540	2618	2471	2628	2350	2528	2458	2520	2457	2057	2024	2594	2234	2582	2619	2546	2652	2444	2491	2228	2145	1874	2055	2231	2510	2325	2577	2624	2634	2400	2683	2584	2043	2338	2507	2457	2760	2755	2858	2646	2316	2175	2464	2528	2286	2560	2752	2788	2223	2532	2050	2080	2011	2202	1382	2722	2044	2053	2360	2306	2164	2636	2576	1993									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	162600	2600	2500	2200	2600	2500	2500	2600	2400	2600	2300	2500	2400	2500	2400	2000	2000	2500	2200	2500	2600	2500	2600	2400	2400	2200	2100	1800	2000	2200	2500	2300	2500	2600	2600	2400	2600	2500	2000	2300	2500	2400	2700	2700	2800	2600	2300	2100	2400	2500	2200	2500	2700	2700	2200	2500	2000	2000	2000	2200	1300	2700	2000	2000	2300	2300	2100	2600	2500	1900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	54054	742	857	823	835	857	833	872	826	910	700	772	834	772	692	731	694	923	702	801	864	801	778	781	800	781	678	633	717	746	858	771	776	810	924	797	857	854	629	785	800	815	998	912	1033	849	746	650	822	837	679	821	920	960	794	828	717	675	633	693	400	892	641	619	768	825	632	871	809	599									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1231	15	30	24	15	26	22	31	34	31	26	13	35	20	16	31	28	15	16	23	41	34	17	15	12	25	24	13	16	5	14	12	10	10	10	14	4	10	3	12	7	22	14	10	9	20	18	16	15	17	21	13	8	12	8	13	10	15	16	16	92	9	13	10	19	16	7	11	17	5									
6	Число погашенных избирательных бюллетеней	107311	1843	1613	1353	1750	1617	1645	1697	1540	1659	1574	1715	1531	1708	1692	1238	1278	1562	1482	1676	1691	1665	1805	1604	1588	1394	1398	1154	1267	1449	1628	1517	1714	1780	1666	1589	1739	1636	1368	1503	1693	1563	1688	1778	1758	1731	1536	1434	1563	1646	1500	1666	1772	1728	1398	1659	1273	1310	1351	1491	808	1799	1346	1371	1513	1459	1461	1718	1674	1296									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1230	15	30	24	15	26	22	31	34	31	26	13	35	20	16	31	28	15	15	23	41	34	17	15	12	25	24	13	16	5	14	12	10	10	10	14	4	10	3	12	7	22	14	10	9	20	18	16	15	17	21	13	8	12	8	13	10	15	16	16	92	9	13	10	19	16	7	11	17	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	53863	742	851	822	835	851	811	871	824	890	697	772	834	757	691	700	693	922	702	800	860	801	778	777	799	779	676	633	716	740	858	771	776	810	924	797	855	854	629	785	800	815	984	902	1033	849	746	650	820	837	679	821	920	958	786	827	716	660	633	689	400	892	641	619	768	825	632	870	809	599									
9	Число недействительных избирательных бюллетеней	923	8	21	15	18	13	17	23	27	16	12	11	13	13	32	12	8	13	13	12	22	14	17	13	8	10	11	15	10	11	13	10	17	9	17	15	5	6	5	15	10	8	5	7	18	10	15	10	16	9	13	11	38	15	8	17	11	5	6	40	11	13	8	8	13	19	8	11	9	11									
10	Число действительных избирательных бюллетеней	54170	749	860	831	832	864	816	879	831	905	711	774	856	764	675	719	713	924	704	811	879	821	778	779	803	794	689	631	722	734	859	773	769	811	917	796	854	858	627	782	797	829	993	905	1024	859	749	656	819	845	687	823	890	955	786	823	715	670	643	665	481	888	646	621	774	822	631	870	817	593									
