Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																										
Дата голосования: 02.12.2007																										
																										
Наименование Избирательной комиссии:    ТИК Большесосновского МР																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519					
1	"Число избирателей, внесенных в списки избирателей"	11046	2422	1102	400	549	237	299	383	476	220	380	346	209	560	282	224	385	1760	337	475					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10936	2446	1092	417	555	217	278	370	471	236	369	319	213	563	288	224	395	1674	330	479					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5889	1303	536	214	193	177	194	178	258	139	235	160	112	278	202	116	232	832	200	330					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1195	86	56	43	151	32	36	95	103	22	25	65	25	84	21	11	48	250	30	12					
6	Число погашенных избирательных бюллетеней	3852	1057	500	160	211	8	48	97	110	75	109	94	76	201	65	97	115	592	100	137					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1195	86	56	43	151	32	36	95	103	22	25	65	25	84	21	11	48	250	30	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5888	1302	536	214	193	177	194	178	258	139	235	160	112	278	202	116	232	832	200	330					
9	Число недействительных избирательных бюллетеней	75	10	6	2	1	8	6	1	5	2	0	4	3	0	1	3	1	13	6	3					
10	Число действительных избирательных бюллетеней	7008	1378	586	255	343	201	224	272	356	159	260	221	134	362	222	124	279	1069	224	339					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	250	33	15	15	15	10	10	10	10	10	2	10	15	15	15	10	10	20	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	129	27	8	15	7	7	4	4	3	3	0	3	15	5	8	2	3	9	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	66	22	3	3	3	3	2	4	3	0	2	1	2	5	2	3	3	3	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	121	6	7	0	8	3	6	6	7	7	2	7	0	10	7	8	7	11	5	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
