Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Салехардская городская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174					
1	"Число избирателей, внесенных в список"	24266	2130	2384	2474	2155	2494	2009	2720	2118	1518	1673	2591					
2	Число полученных избирательных бюллетеней	20730	1730	2100	2100	1900	2200	1800	2200	1600	1300	1500	2300					
3	"Число избирательных бюллетеней, выданных  досрочно"	146	0	0	146	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18896	1680	1960	1858	1757	2028	1620	1989	1524	1184	1324	1972					
5	"Число избирательных бюллетеней, выданных вне помещения"	476	27	32	31	29	39	26	187	33	20	19	33					
6	Число погашенных избирательных бюллетеней	1211	23	108	65	114	133	154	23	43	96	157	295					
7	Число избирательных бюллетеней в переносных ящиках	622	27	32	177	29	39	26	187	33	20	19	33					
8	Число бюллетеней в стационарных ящиках для голосования	18891	1680	1960	1855	1755	2028	1620	1989	1524	1184	1324	1972					
9	Число недействительных избирательных бюллетеней	130	11	8	12	9	8	8	18	17	17	7	15					
10	Число действительных избирательных бюллетеней	19383	1696	1984	2020	1775	2059	1638	2158	1540	1187	1336	1990					
11	Число полученных открепительных  удостоверений	297	15	42	25	35	39	21	20	30	30	20	20					
12	Число выданных открепительных удостоверений	203	12	29	22	31	27	20	18	16	4	12	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	130	18	10	34	14	10	4	16	1	5	5	13					
14	Число неиспользованных открепительных удостоверений	94	3	13	3	4	12	1	2	14	26	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	53	3	16	1	5	8	4	6	2	1	2	5					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	1	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	645	43	74	56	69	70	61	59	47	37	48	81					
		3.31%	2.52%	3.71%	2.76%	3.87%	3.39%	3.71%	2.71%	3.02%	3.07%	3.57%	4.04%					
19	. Малышкин Олег Александрович	345	28	31	32	29	37	28	38	30	19	24	49					
		1.77%	1.64%	1.56%	1.57%	1.63%	1.79%	1.70%	1.75%	1.93%	1.58%	1.79%	2.44%					
20	. Миронов Сергей Михайлович	164	13	17	17	12	13	19	21	18	8	10	16					
		0.84%	0.76%	0.85%	0.84%	0.67%	0.63%	1.15%	0.97%	1.16%	0.66%	0.74%	0.80%					
21	. Путин Владимир Владимирович	15196	1372	1498	1586	1341	1582	1240	1729	1246	972	1069	1561					
		77.88%	80.37%	75.20%	78.05%	75.17%	76.54%	75.33%	79.46%	80.03%	80.73%	79.60%	77.86%					
22	. Хакамада Ирина Муцуовна	1275	98	159	138	122	164	120	132	89	66	61	126					
		6.53%	5.74%	7.98%	6.79%	6.84%	7.93%	7.29%	6.07%	5.72%	5.48%	4.54%	6.28%					
23	. Харитонов Николай Михайлович	752	63	82	76	94	68	75	71	49	43	64	67					
		3.85%	3.69%	4.12%	3.74%	5.27%	3.29%	4.56%	3.26%	3.15%	3.57%	4.77%	3.34%					
																		
24	Против всех	1006	79	123	115	108	125	95	108	61	42	60	90					
		5.16%	4.63%	6.17%	5.66%	6.05%	6.05%	5.77%	4.96%	3.92%	3.49%	4.47%	4.49%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
