Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Цумадинская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15708	878	638	492	368	75	727	185	345	650	183	357	102	426	935	667	117	64	57	46	267	400	72	764	153	441	115	340	96	80	131	158	231	437	902	116	242	185	132	168	133	70	179	225	309	196	194	437	130	123	150	329	68	223	89	111									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14775	800	600	450	350	75	700	170	340	600	180	330	95	400	950	600	110	60	60	45	260	400	60	760	150	430	100	330	90	80	120	150	200	400	800	100	250	150	125	150	125	65	170	225	260	180	175	430	125	100	150	320	70	180	80	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10498	552	461	138	350	60	656	101	286	266	75	318	72	98	789	580	68	55	57	34	121	171	44	650	95	422	67	146	54	74	87	113	169	211	96	43	212	142	38	76	112	38	160	223	250	153	125	429	89	59	134	296	68	165	80	70									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	156	80	21	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	7	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	4121	168	118	307	0	15	44	69	54	334	105	12	23	302	161	20	37	5	3	11	139	229	14	110	55	8	33	184	36	6	33	31	24	189	704	57	8	8	87	74	13	27	10	2	10	27	50	1	36	41	16	24	2	15	0	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	156	80	21	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	7	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10498	552	461	138	350	60	656	101	286	266	75	318	72	98	789	580	68	55	57	34	121	171	44	650	95	422	67	146	54	74	87	113	169	211	96	43	212	142	38	76	112	38	160	223	250	153	125	429	89	59	134	296	68	165	80	70									
9	Число недействительных избирательных бюллетеней	83	2	18	12	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	6	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	1	2									
10	Число действительных избирательных бюллетеней	10571	630	464	131	350	60	656	101	286	266	75	318	72	98	776	580	73	55	57	34	121	171	46	650	95	422	61	145	54	74	87	113	176	211	86	43	242	142	38	76	112	38	160	223	250	153	125	418	89	58	134	296	68	165	79	68									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	106	3	3	2	2	1	3	2	2	3	2	2	1	2	3	3	2	1	1	1	2	2	1	3	2	2	1	2	1	1	2	2	2	2	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	8	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	106	3	3	2	2	1	3	2	2	3	2	2	1	2	3	3	2	1	1	1	2	2	1	3	2	2	1	2	1	1	2	2	2	2	3	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2									
