Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Бавлинская городская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036					
1	"Число избирателей, внесенных в список избирателей"	17301	1085	1150	905	1129	1140	1100	1136	1089	1098	1178	1060	1036	1000	1065	1038	1092					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17840	1120	1150	1160	1150	1150	1110	1160	1120	1120	1180	1100	1060	1020	1080	1060	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14461	832	964	854	895	744	856	908	895	923	1046	917	956	914	957	845	955					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	571	26	28	51	41	56	25	42	26	11	14	14	36	35	41	105	20					
6	Число погашенных избирательных бюллетеней	2808	262	158	255	214	350	229	210	199	186	120	169	68	71	82	110	125					
7	Число избирательных бюллетеней в переносных ящиках для голосования	571	26	28	51	41	56	25	42	26	11	14	14	36	35	41	105	20					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14461	832	964	854	895	744	856	908	895	923	1046	917	956	914	957	845	955					
9	Число недействительных избирательных бюллетеней	131	14	21	16	2	7	6	4	8	0	6	13	5	4	2	6	17					
10	Число действительных избирательных бюллетеней	14901	844	971	889	934	793	875	946	913	934	1054	918	987	945	996	944	958					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	237	19	12	14	14	14	14	14	17	14	13	17	15	15	6	16	23					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	197	13	10	14	14	13	13	12	16	14	13	17	4	9	4	9	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	66	3	9	5	6	1	4	2	5	9	6	2	0	6	4	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	40	6	2	0	0	1	1	2	1	0	0	0	11	6	2	7	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	1	3	0	2	1	1	2	0	0	3	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	772	98	16	136	33	80	41	51	12	37	46	25	28	34	16	55	64					
		5.14%	11.42%	1.61%	15.03%	3.53%	10.00%	4.65%	5.37%	1.30%	3.96%	4.34%	2.69%	2.82%	3.58%	1.60%	5.79%	6.56%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	571	88	34	59	21	65	46	26	9	43	27	20	12	25	25	39	32					
		3.80%	10.26%	3.43%	6.52%	2.24%	8.13%	5.22%	2.74%	0.98%	4.60%	2.55%	2.15%	1.21%	2.63%	2.51%	4.11%	3.28%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	88	6	14	0	2	9	7	3	5	3	3	9	5	2	3	2	15					
		0.59%	0.70%	1.41%	0.00%	0.21%	1.13%	0.79%	0.32%	0.54%	0.32%	0.28%	0.97%	0.50%	0.21%	0.30%	0.21%	1.54%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1866	181	96	174	145	204	133	117	185	76	61	104	53	78	85	136	38					
		12.41%	21.10%	9.68%	19.23%	15.49%	25.50%	15.10%	12.32%	20.09%	8.14%	5.75%	11.17%	5.34%	8.22%	8.52%	14.32%	3.90%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	130	9	10	19	5	1	5	7	8	3	5	5	6	6	17	4	20					
		0.86%	1.05%	1.01%	2.10%	0.53%	0.13%	0.57%	0.74%	0.87%	0.32%	0.47%	0.54%	0.60%	0.63%	1.70%	0.42%	2.05%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11405	459	796	490	725	431	640	741	683	772	911	744	881	798	846	703	785					
		75.87%	53.50%	80.24%	54.14%	77.46%	53.88%	72.64%	78.00%	74.16%	82.66%	85.94%	79.91%	88.81%	84.09%	84.77%	74.00%	80.51%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	69	3	5	11	3	3	3	1	11	0	1	11	2	2	4	5	4					
		0.46%	0.35%	0.50%	1.22%	0.32%	0.38%	0.34%	0.11%	1.19%	0.00%	0.09%	1.18%	0.20%	0.21%	0.40%	0.53%	0.41%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
