Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Суетская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479					
1	"Число избирателей, внесенных в списки"	4713	602	458	1878	197	1117	203	258					
2	"Число бюллетеней, полученных участковыми комиссиями"	4907	617	510	1940	230	1120	230	260					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3216	487	372	1064	173	765	152	203					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	142	5	9	68	0	35	15	10					
6	Число погашенных бюллетеней	1549	125	129	808	57	320	63	47					
7	Число бюллетеней в переносных ящиках для голосования	142	5	9	68	0	35	15	10					
8	Число бюллетеней в стационарных ящиках для голосования	3216	487	372	1064	173	765	152	203					
9	Число недействительных бюллетеней	40	7	10	13	0	5	0	5					
10	Число действительных бюллетеней	3318	485	371	1119	173	795	167	208					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	99	15	10	20	5	34	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	6	0	1	4	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	5	2	0	2	0	0	1	0					
14	Число погашенных открепительных удостоверений	93	15	9	16	5	33	10	5					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	56	2	18	10	6	14	3	3					
		1.66%	0.40%	4.72%	0.88%	3.46%	1.75%	1.79%	1.40%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	53	0	6	21	4	5	11	6					
		1.57%	0.0%	1.57%	1.85%	2.31%	0.62%	6.58%	2.81%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	52	9	1	19	0	11	7	5					
		1.54%	1.82%	0.26%	1.67%	0.0%	1.37%	4.19%	2.34%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	31	6	4	6	2	11	2	0					
		0.92%	1.21%	1.04%	0.53%	1.15%	1.37%	1.19%	0.0%					
22	"5. ""За Русь Святую"""	9	1	0	3	1	1	2	1					
		0.26%	0.20%	0.0%	0.26%	0.57%	0.12%	1.19%	0.46%					
23	"6. ""Объединенная Российская партия ""Русь"""	5	0	0	1	0	4	0	0					
		0.14%	0.0%	0.0%	0.08%	0.0%	0.5%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	3	0	1	0	1	1	0	0					
		0.08%	0.0%	0.26%	0.0%	0.57%	0.12%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	7	1	0	5	0	1	0	0					
		0.20%	0.20%	0.0%	0.44%	0.0%	0.12%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	8	1	0	3	0	3	1	0					
		0.23%	0.20%	0.0%	0.26%	0.0%	0.37%	0.59%	0.0%					
27	"10. ""Аграрная партия России"""	1052	237	107	347	40	226	53	42					
		31.32%	48.17%	28.08%	30.65%	23.12%	28.25%	31.73%	19.71%					
28	"11. ""Истинные патриоты России"""	3	0	0	1	0	1	1	0					
		0.08%	0.0%	0.0%	0.08%	0.0%	0.12%	0.59%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	18	2	1	9	0	5	1	0					
		0.53%	0.40%	0.26%	0.79%	0.0%	0.62%	0.59%	0.0%					
30	"13. ""Демократическая партия России"""	12	1	3	5	0	1	1	1					
		0.35%	0.20%	0.78%	0.44%	0.0%	0.12%	0.59%	0.46%					
31	"14. ""Великая Россия - Евразийский Союз"""	2	0	0	1	0	1	0	0					
		0.05%	0.0%	0.0%	0.08%	0.0%	0.12%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	4	0	0	1	1	2	0	0					
		0.11%	0.0%	0.0%	0.08%	0.57%	0.25%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	117	11	12	60	4	20	0	10					
		3.48%	2.23%	3.14%	5.30%	2.31%	2.5%	0.0%	4.69%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	6	1	0	1	2	1	0	1					
		0.17%	0.20%	0.0%	0.08%	1.15%	0.12%	0.0%	0.46%					
35	"18. ""ЛДПР"""	467	61	50	137	14	121	30	54					
		13.90%	12.39%	13.12%	12.10%	8.09%	15.12%	17.96%	25.35%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	58	2	10	16	3	21	2	4					
		1.72%	0.40%	2.62%	1.41%	1.73%	2.62%	1.19%	1.87%					
37	"20. ""Политическая партия ""Единая Россия"""	859	111	124	270	54	205	34	61					
		25.58%	22.56%	32.54%	23.85%	31.21%	25.62%	20.35%	28.63%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	0	2	3	0	1	0	0					
		0.17%	0.0%	0.52%	0.26%	0.0%	0.12%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	2	0	0	0	0	1	0	1					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.46%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	403	30	20	176	40	117	7	13					
		12.00%	6.09%	5.24%	15.54%	23.12%	14.62%	4.19%	6.10%					
														
41	Против всех	85	9	12	24	1	21	12	6					
		2.53%	1.82%	3.14%	2.12%	0.57%	2.62%	7.18%	2.81%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
