Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																							
Дата голосования: 07.12.2003 0:00:00																							
																							
Наименование Избирательной комиссии:    Верхнекетская																							
																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																							
																							
		Сумма	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386					
1	"Число избирателей, внесенных в списки"	13485	2052	1899	1769	573	648	581	1749	1223	258	367	538	219	795	338	147	329					
2	"Число бюллетеней, полученных участковыми комиссиями"	12749	1864	1776	1649	545	616	555	1696	1167	241	351	522	210	767	324	151	315					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7709	1084	1039	887	293	451	356	918	684	174	226	366	165	468	268	116	214					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	776	106	36	67	66	23	31	113	118	14	38	61	10	26	6	8	53					
6	Число погашенных бюллетеней	4264	674	701	695	186	142	168	665	365	53	87	95	35	273	50	27	48					
7	Число бюллетеней в переносных ящиках для голосования	776	106	36	67	66	23	31	113	118	14	38	61	10	26	6	8	53					
8	Число бюллетеней в стационарных ящиках для голосования	7707	1084	1039	885	293	451	356	918	684	174	226	366	165	468	268	116	214					
9	Число недействительных бюллетеней	77	5	4	15	3	4	10	2	10	3	9	3	0	7	1	0	1					
10	Число действительных бюллетеней	8406	1185	1071	937	356	470	377	1029	792	185	255	424	175	487	273	124	266					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	275	25	20	15	10	20	20	30	20	10	10	15	15	25	10	10	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	126	22	11	9	6	4	6	24	5	0	2	15	2	11	0	1	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	45	14	2	4	1	0	6	4	1	2	0	3	1	2	1	1	3					
14	Число погашенных открепительных удостоверений	149	3	9	6	4	16	14	6	15	10	8	0	13	14	10	9	12					
15	Число открепительных удостоверений выданных ТИК	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
18	"1. ""ЕДИНЕНИЕ"""	133	14	9	9	7	13	9	12	10	2	8	9	4	12	3	8	4					
		1.56%	1.17%	0.83%	0.94%	1.94%	2.74%	2.32%	1.16%	1.24%	1.06%	3.03%	2.10%	2.28%	2.42%	1.09%	6.45%	1.49%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	121	17	29	20	14	4	2	6	11	1	4	3	1	4	2	0	3					
		1.42%	1.42%	2.69%	2.10%	3.89%	0.84%	0.51%	0.58%	1.37%	0.53%	1.51%	0.70%	0.57%	0.80%	0.72%	0.0%	1.12%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	257	24	15	26	5	15	17	48	24	5	10	11	3	27	4	6	17					
		3.02%	2.01%	1.39%	2.73%	1.39%	3.16%	4.39%	4.65%	2.99%	2.65%	3.78%	2.57%	1.71%	5.46%	1.45%	4.83%	6.36%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	225	48	35	34	18	15	12	17	17	0	4	3	0	10	10	1	1					
