Выборы Президента Российской Федерации																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Астрахань, Ленинская"																																																																																		
																																																																																		
Итоги голосования 																																																																																		
																																																																																		
		Сумма	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519					
1	"Число избирателей, внесенных в список"	102480	1745	1209	1095	1193	1357	1400	1974	2332	1739	1652	1337	1295	1539	995	692	1479	2052	1151	1369	1320	1592	1131	1514	1191	1271	1085	1528	2013	732	1498	1546	979	1550	1621	1299	1103	1275	1193	1076	1147	1528	1104	1281	1386	1791	1808	1655	1132	1424	1200	1096	1041	1195	1106	807	960	1704	1448	1255	1224	1796	1872	1241	1431	1658	1549	1468	1650	1011	1383	858	1318	1615	1285	931					
2	Число полученных избирательных бюллетеней	99150	1700	1100	1000	1200	1400	1400	1900	2300	1700	1600	1300	1200	1500	1000	700	1400	2000	1100	1300	1300	1500	1100	1500	1300	1200	1000	1500	2000	700	1500	1500	900	1500	1600	1300	1000	1200	1100	1000	1100	1500	1000	1200	1300	1800	1800	1600	1100	1400	1200	1000	1000	900	800	750	900	1700	1400	1200	1200	1700	1800	1200	1400	1800	1500	1400	1700	1000	1300	800	1300	1600	1300	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	54861	820	562	511	556	594	664	1135	1257	932	1061	795	688	834	403	283	665	745	528	673	662	814	535	698	584	596	489	692	902	321	843	931	623	897	967	666	606	753	739	407	664	835	648	757	733	996	932	1037	613	841	736	581	645	829	666	509	573	1082	928	787	703	963	1085	621	907	819	896	915	785	514	816	459	694	800	556	505					
5	"Число избирательных бюллетеней, выданных вне помещения"	3393	53	54	40	38	43	36	23	33	30	15	16	19	7	82	37	166	23	59	80	75	64	75	62	51	25	62	27	66	45	26	35	32	30	29	23	35	43	13	35	19	14	20	24	17	18	48	37	34	51	26	10	32	11	32	9	52	53	28	16	52	67	86	30	59	47	39	40	49	45	23	110	38	23	33	394					
6	Число погашенных избирательных бюллетеней	40896	827	484	449	606	763	700	742	1010	738	524	489	493	659	515	380	569	1232	513	547	563	622	490	740	665	579	449	781	1032	334	631	534	245	573	604	611	359	404	348	558	417	651	332	419	550	786	820	526	453	508	438	409	323	60	102	232	275	565	444	397	445	670	629	549	434	934	565	445	866	441	461	231	568	777	711	101					
7	Число избирательных бюллетеней в переносных ящиках	3392	53	54	40	38	43	36	23	33	30	15	15	19	7	82	37	166	23	59	80	75	64	75	62	51	25	62	27	66	45	26	35	32	30	29	23	35	43	13	35	19	14	20	24	17	18	48	37	34	51	26	10	32	11	32	9	52	53	28	16	52	67	86	30	59	47	39	40	49	45	23	110	38	23	33	394					
8	Число бюллетеней в стационарных ящиках для голосования	54833	820	562	511	556	594	664	1135	1257	932	1061	795	688	834	403	283	664	745	528	673	662	814	535	698	584	596	489	692	900	321	843	931	623	897	967	645	606	753	739	407	664	835	648	757	733	996	930	1037	613	840	736	581	645	829	666	509	573	1082	928	787	703	963	1085	621	907	819	896	915	785	514	816	459	694	800	556	504					
9	Число недействительных избирательных бюллетеней	419	16	5	9	5	5	9	6	9	11	7	11	5	7	1	11	3	12	4	5	10	8	7	7	5	10	3	7	6	1	3	7	0	16	1	6	2	3	4	0	4	7	6	3	5	13	4	2	6	4	4	5	4	3	9	5	1	4	6	3	5	8	2	1	6	9	6	3	1	1	9	3	1	6	6	7					
10	Число действительных избирательных бюллетеней	57806	857	611	542	589	632	691	1152	1281	951	1069	799	702	834	484	309	827	756	583	748	727	870	603	753	630	611	548	712	960	365	866	959	655	911	995	662	639	793	748	442	679	842	662	778	745	1001	974	1072	641	887	758	586	673	837	689	513	624	1131	950	800	750	1022	1169	650	960	857	929	952	833	558	830	566	731	817	583	891					
