Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Шигонская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №4501	УИК №4502	УИК №4503	УИК №4504	УИК №4505	УИК №4506	УИК №4507	УИК №4508	УИК №4509	УИК №4510	УИК №4511	УИК №4512	УИК №4513	УИК №4514	УИК №4515	УИК №4516	УИК №4517	УИК №4518	УИК №4519	УИК №4520	УИК №4521	УИК №4522	УИК №4523	УИК №4524	УИК №4525	УИК №4526	УИК №4527	УИК №4528									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14575	529	220	79	394	410	898	955	1071	1046	213	848	1039	658	264	350	205	212	679	363	193	194	716	688	738	276	550	467	320									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15730	620	250	80	445	450	1030	1040	1080	1100	240	870	1080	740	270	400	230	235	770	400	220	230	700	680	800	300	570	540	360									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9565	315	106	44	310	311	573	526	549	682	107	430	818	496	197	182	117	146	524	245	98	153	470	348	637	229	457	301	194									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1396	30	33	33	61	51	90	66	49	38	28	39	26	48	30	75	35	45	114	23	28	19	76	48	53	32	65	85	76									
6	Число погашенных избирательных бюллетеней	4769	275	111	3	74	88	367	448	482	380	105	401	236	196	43	143	78	44	132	132	94	58	154	284	110	39	48	154	90									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1395	30	32	33	61	51	90	66	49	38	28	39	26	48	30	75	35	45	114	23	28	19	76	48	53	32	65	85	76									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9563	315	106	44	310	311	573	526	549	682	107	430	818	496	197	182	117	145	524	245	98	153	470	347	637	229	457	301	194									
9	Число недействительных избирательных бюллетеней	350	5	6	0	15	9	28	27	28	22	6	12	16	26	10	4	5	3	34	2	1	6	16	15	16	9	10	13	6									
10	Число действительных избирательных бюллетеней	10608	340	132	77	356	353	635	565	570	698	129	457	828	518	217	253	147	187	604	266	125	166	530	380	674	252	512	373	264									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	367	5	5	5	15	10	18	24	14	15	5	14	15	26	9	8	5	15	48	5	5	15	10	10	34	1	10	13	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	367	5	5	5	15	10	18	24	14	15	5	14	15	26	9	8	5	15	48	5	5	15	10	10	34	1	10	13	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	137	5	3	4	2	10	9	6	7	4	2	6	5	6	1	5	1	8	3	7	0	3	6	7	10	1	10	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	2	2	0	0	0	1	1	4	1	2	1	2	16	1	1	0	0	10	0	0	0	0	0	0	0	0	12	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
