Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Павлово-Посадская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085					
1	"Число избирателей, внесенных в список"	66153	264	1016	2391	1809	562	897	1195	1759	1454	2262	1593	1813	1284	1181	1546	1317	1705	1479	2460	1811	1605	2191	2390	2050	1880	1619	1601	1392	1540	1699	1082	996	838	2267	1613	770	123	139	328	926	329	1511	241	2674	556	766	274	1827	384	313	431					
2	Число полученных избирательных бюллетеней	66430	350	1020	2400	1810	560	910	1185	1770	1470	2250	1600	1860	1290	1170	1530	1310	1720	1490	2470	1820	1660	2240	2410	2050	1800	1630	1600	1400	1570	1710	1090	1000	830	2240	1600	770	110	130	330	940	290	1540	255	2700	545	760	280	1850	385	290	440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32786	143	502	1223	886	280	440	586	920	706	1208	813	944	607	530	754	615	882	655	1197	975	760	1146	1177	1037	989	737	860	765	894	808	501	455	378	1145	765	355	40	60	133	362	114	689	113	1429	237	333	180	899	130	168	261					
5	"Число избирательных бюллетеней, выданных вне помещения"	3016	99	43	44	91	27	34	23	31	27	53	29	27	89	38	26	73	28	51	22	28	47	34	43	28	29	100	25	23	64	51	52	46	88	47	72	74	47	33	51	181	104	152	35	127	136	138	25	87	100	32	62					
6	Число погашенных избирательных бюллетеней	30628	108	475	1133	833	253	436	576	819	737	989	758	889	594	602	750	622	810	784	1251	817	853	1060	1190	985	782	793	715	612	612	851	537	499	364	1048	763	341	23	37	146	397	72	699	107	1144	172	289	75	864	155	90	117					
7	Число избирательных бюллетеней в переносных ящиках	3016	99	43	44	91	27	34	23	31	27	53	29	27	89	38	26	73	28	51	22	28	47	34	43	28	29	100	25	23	64	51	52	46	88	47	72	74	47	33	51	181	104	152	35	127	136	138	25	87	100	32	62					
8	Число бюллетеней в стационарных ящиках для голосования	32763	143	502	1221	886	280	440	586	919	705	1208	812	942	607	530	754	615	882	655	1197	975	760	1142	1177	1037	989	737	860	763	894	807	501	453	378	1144	765	355	40	60	133	362	114	689	112	1427	237	330	180	899	130	168	261					
9	Число недействительных избирательных бюллетеней	381	7	0	10	4	3	3	7	7	10	13	9	13	4	5	18	7	7	9	21	14	2	13	8	7	11	9	15	6	0	15	3	18	0	19	10	4	0	2	2	3	3	7	0	18	6	5	1	18	0	3	2					
10	Число действительных избирательных бюллетеней	35398	235	545	1255	973	304	471	602	943	722	1248	832	956	692	563	762	681	903	697	1198	989	805	1163	1212	1058	1007	828	870	780	958	843	550	481	466	1172	827	425	87	91	182	540	215	834	147	1536	367	463	204	968	230	197	321					
11	Число полученных открепительных  удостоверений	2492	0	50	70	50	30	50	50	50	50	100	50	50	50	40	50	50	50	50	70	100	50	100	100	100	70	50	50	50	50	50	50	50	50	100	50	30	10	10	10	30	0	40	27	100	20	30	10	100	15	10	20					
12	Число выданных открепительных удостоверений	746	0	4	20	18	6	6	16	21	13	25	17	18	16	12	19	12	18	16	27	21	8	28	22	15	20	22	12	18	25	18	8	4	2	25	9	25	0	1	5	10	0	31	27	39	20	2	10	26	3	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	416	11	12	11	17	7	10	5	6	11	14	10	10	6	8	8	14	5	6	10	5	2	7	9	11	7	7	11	7	8	3	3	4	11	6	10	2	6	2	8	10	7	12	4	14	15	5	7	9	7	9	7					
14	Число неиспользованных открепительных удостоверений	1746	0	46	50	32	24	44	34	29	37	75	33	32	34	28	31	38	32	34	43	79	42	72	78	85	50	28	38	32	25	32	42	46	48	75	41	5	10	9	5	20	0	9	0	61	0	28	0	74	12	10	14					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
