Выборы Президента Российской Федерации																																																								
																																																								
"Наименование Избирательной комиссии:    Ульяновск, Засвияжская N1"																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925					
1	"Число избирателей, внесенных в список"	89366	1874	1838	1813	1865	1480	2011	511	2271	1369	2519	1443	1890	1774	1841	1568	2073	2181	1710	1562	1392	2866	1793	1718	2659	1737	1803	1911	1463	1759	305	1510	2075	2545	1917	1664	1936	1747	2824	2275	1038	1458	1557	1792	1492	2122	2692	2008	1611	2104					
2	Число полученных избирательных бюллетеней	84412	1795	1749	1729	1771	1408	1889	482	2160	1262	2212	1377	1803	1681	1752	1486	1966	2071	1620	1498	1316	2701	1612	1631	2512	1648	1715	1802	1381	1675	400	1432	1976	2387	1806	1572	1816	1640	2670	2158	977	1374	1478	1674	1398	1992	2542	1900	1533	1983					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	48486	979	1116	1144	1105	923	1119	309	1125	421	1515	824	1051	997	1081	997	1228	1146	938	887	822	1551	931	995	1548	1019	1023	1115	714	935	149	789	1136	1322	972	746	873	1004	1515	1019	515	756	914	983	817	1059	1371	955	863	1170					
5	"Число избирательных бюллетеней, выданных вне помещения"	1429	21	34	23	30	15	26	4	18	0	28	22	17	17	30	18	35	48	39	53	47	33	126	21	45	35	36	38	19	17	135	33	32	32	39	28	25	32	18	7	18	16	19	11	19	12	6	12	24	16					
6	Число погашенных избирательных бюллетеней	34497	795	599	562	636	470	744	169	1017	841	669	531	735	667	641	471	703	877	643	558	447	1117	555	615	919	594	656	649	648	723	116	610	808	1033	795	798	918	604	1137	1132	444	602	545	680	562	921	1165	933	646	797					
7	Число избирательных бюллетеней в переносных ящиках	1429	21	34	23	30	15	26	4	18	0	28	22	17	17	30	18	35	48	39	53	47	33	126	21	45	35	36	38	19	17	135	33	32	32	39	28	25	32	18	7	18	16	19	11	19	12	6	12	24	16					
8	Число бюллетеней в стационарных ящиках для голосования	48422	979	1116	1144	1104	921	1118	309	1125	420	1515	822	1049	992	1076	997	1225	1138	936	885	822	1551	931	995	1548	1019	1022	1114	714	935	149	789	1133	1322	972	746	873	1004	1513	1019	515	756	914	983	798	1055	1371	955	863	1170					
9	Число недействительных избирательных бюллетеней	563	3	7	14	9	6	8	12	13	4	9	11	6	8	15	6	5	11	11	19	10	20	16	13	21	14	15	12	8	13	7	14	15	25	14	11	14	12	17	9	7	6	14	4	9	22	6	14	12	12					
10	Число действительных избирательных бюллетеней	49288	997	1143	1153	1125	930	1136	301	1130	416	1534	833	1060	1001	1091	1009	1255	1175	964	919	859	1564	1041	1003	1572	1040	1043	1140	725	939	277	808	1150	1329	997	763	884	1024	1514	1017	526	766	919	990	808	1045	1371	953	875	1174					
