Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Калганская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6563	459	237	581	758	2632	134	566	342	335	350	169									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6725	474	244	597	775	2677	140	576	363	343	360	176									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2149	237	71	152	231	665	63	173	137	184	169	67									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	430	0	19	54	26	181	13	41	46	20	10	20									
6	Число погашенных избирательных бюллетеней	4146	237	154	391	518	1831	64	362	180	139	181	89									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	430	0	19	54	26	181	13	41	46	20	10	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2149	237	71	152	231	665	63	173	137	184	169	67									
9	Число недействительных избирательных бюллетеней	74	6	0	8	12	20	3	3	9	10	2	1									
10	Число действительных избирательных бюллетеней	2505	231	90	198	245	826	73	211	174	194	177	86									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	277	27	15	25	30	50	15	25	25	25	25	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	51	12	0	2	4	21	0	2	8	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	21	8	0	0	3	5	0	3	0	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	226	15	15	23	26	29	15	23	17	25	25	13									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	2	0	1	0	18	0	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	5	0	0	4	9	1	3	0	3	5	2									
		1.24%	2.11%	0.00%	0.00%	1.56%	1.06%	1.32%	1.40%	0.00%	1.47%	2.79%	2.30%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	102	5	4	11	19	30	2	5	9	7	7	3									
		3.96%	2.11%	4.44%	5.34%	7.39%	3.55%	2.63%	2.34%	4.92%	3.43%	3.91%	3.45%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	73	0	4	8	10	25	1	8	3	3	7	4									
		2.83%	0.00%	4.44%	3.88%	3.89%	2.96%	1.32%	3.74%	1.64%	1.47%	3.91%	4.60%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	977	84	17	81	84	316	21	101	84	107	45	37									
		37.88%	35.44%	18.89%	39.32%	32.68%	37.35%	27.63%	47.20%	45.90%	52.45%	25.14%	42.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	0	1	1	1	1	4	2	0	2	2	1									
		0.58%	0.00%	1.11%	0.49%	0.39%	0.12%	5.26%	0.93%	0.00%	0.98%	1.12%	1.15%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	1	1	1	5	5	0	0	0	0	0	0									
		0.50%	0.42%	1.11%	0.49%	1.95%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	797	102	34	56	68	250	23	69	49	47	78	21									
		30.90%	43.04%	37.78%	27.18%	26.46%	29.55%	30.26%	32.24%	26.78%	23.04%	43.58%	24.14%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	8	1	0	0	1	2	0	0	2	2	0	0									
		0.31%	0.42%	0.00%	0.00%	0.39%	0.24%	0.00%	0.00%	1.09%	0.98%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3	0	2	0	0	1	0	0	0	0	0	0									
		0.12%	0.00%	2.22%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	0	0	1	2	2	1	0	0	0	1	1									
		0.31%	0.00%	0.00%	0.49%	0.78%	0.24%	1.32%	0.00%	0.00%	0.00%	0.56%	1.15%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	9	0	0	0	4	1	0	1	1	0	2	0									
		0.35%	0.00%	0.00%	0.00%	1.56%	0.12%	0.00%	0.47%	0.55%	0.00%	1.12%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	413	31	25	38	40	169	15	19	23	16	22	15									
		16.01%	13.08%	27.78%	18.45%	15.56%	19.98%	19.74%	8.88%	12.57%	7.84%	12.29%	17.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	2	1	0	2	5	0	0	0	0	2	0									
		0.47%	0.84%	1.11%	0.00%	0.78%	0.59%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	43	0	1	1	5	10	5	3	3	7	6	2									
		1.67%	0.00%	1.11%	0.49%	1.95%	1.18%	6.58%	1.40%	1.64%	3.43%	3.35%	2.30%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
