Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Грязинская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	62082	1830	1914	1904	1765	2018	1948	1893	1855	1664	520	1338	1698	1592	1696	1900	1165	860	1065	962	1996	1582	1722	1942	2284	111	1050	638	970	1803	2278	919	415	629	971	341	243	1164	183	790	514	769	313	1584	633	1098	310	819	392	2152	1880									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57205	1700	1750	1750	1550	1800	1750	1750	1700	1550	500	1250	1550	1450	1550	1750	1050	800	1065	900	1850	1450	1550	1800	2100	110	1000	600	900	1650	2100	850	400	600	900	310	240	1050	170	750	500	700	300	1450	600	1000	300	750	360	2000	1700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	30871	972	570	718	570	1033	1448	858	1106	898	297	579	1068	918	851	1153	817	331	540	631	771	660	646	929	1298	50	384	421	668	774	1194	552	108	358	574	216	155	561	135	447	251	385	148	797	296	513	143	334	264	799	682									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	11944	263	280	510	338	402	87	529	497	355	150	281	344	311	523	400	232	274	471	205	460	456	272	430	312	37	252	147	60	233	198	56	133	128	126	58	47	225	14	209	169	245	44	191	104	205	60	134	70	297	120									
6	Число погашенных избирательных бюллетеней	14390	465	900	522	642	365	215	363	97	297	53	390	138	221	176	197	1	195	54	64	619	334	632	441	490	23	364	32	172	643	708	242	159	114	200	36	38	264	21	94	80	70	108	462	200	282	97	282	26	904	898									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	11944	263	280	510	338	402	87	529	497	355	150	281	344	311	523	400	232	274	471	205	460	456	272	430	312	37	252	147	60	233	198	56	133	128	126	58	47	225	14	209	169	245	44	191	104	205	60	134	70	297	120									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	30871	972	570	718	570	1033	1448	858	1106	898	297	579	1068	918	851	1153	817	331	540	631	771	660	646	929	1298	50	384	421	668	774	1194	552	108	358	574	216	155	561	135	447	251	385	148	797	296	513	143	334	264	799	682									
9	Число недействительных избирательных бюллетеней	214	0	13	7	0	0	10	0	0	0	0	0	0	0	0	0	0	0	16	7	70	16	0	0	10	0	1	0	0	0	9	0	0	0	0	0	4	0	3	0	0	0	3	20	8	4	2	0	0	1	10									
10	Число действительных избирательных бюллетеней	42601	1235	837	1221	908	1435	1525	1387	1603	1253	447	860	1412	1229	1374	1553	1049	605	995	829	1161	1100	918	1359	1600	87	635	568	728	1007	1383	608	241	486	700	274	198	786	146	656	420	630	189	968	392	714	201	468	334	1095	792									
