Выборы Президента Российской Федерации																																																					
Дата голосования: 02.03.2008																																																					
																																																					
Наименование Избирательной комиссии:    Петуховская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
	Число участковых избирательных комиссий	46																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	46																																																			
																																																					
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №1155	УИК №1190					
1	"Число избирателей, включенных в списки избирателей"	17960	492	136	1002	1099	1033	588	1288	34	1005	771	790	993	270	569	47	81	218	52	291	337	297	314	101	261	205	680	422	75	74	483	78	84	102	881	516	77	218	85	384	298	131	460	68	55	465	50					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17417	470	145	960	1020	980	580	1200	50	930	740	760	930	256	565	50	85	220	57	285	320	285	310	100	250	200	660	415	79	78	470	84	88	107	890	511	85	220	89	370	285	135	455	74	64	450	60					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	11294	320	99	623	637	578	292	610	30	529	380	445	539	171	354	34	60	129	37	228	272	241	224	75	206	162	414	347	50	72	390	56	62	86	547	349	57	179	81	268	247	106	277	61	44	276	50					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1138	36	19	67	52	68	59	77	0	43	69	43	69	13	76	0	0	21	2	21	20	14	36	2	9	5	73	14	7	0	13	7	4	6	45	45	7	14	2	24	8	6	24	0	0	18	0					
6	Число погашенных избирательных бюллетеней	4985	114	27	270	331	334	229	513	20	358	291	272	322	72	135	16	25	70	18	36	28	30	50	23	35	33	173	54	22	6	67	21	22	15	298	117	21	27	6	78	30	23	154	13	20	156	10					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1138	36	19	67	52	68	59	77	0	43	69	43	69	13	76	0	0	21	2	21	20	14	36	2	9	5	73	14	7	0	13	7	4	6	45	45	7	14	2	24	8	6	24	0	0	18	0					
8	Число бюллетеней в стационарных ящиках для голосования	11294	320	99	623	637	578	292	610	30	529	380	445	539	171	354	34	60	129	37	228	272	241	224	75	206	162	414	347	50	72	390	56	62	86	547	349	57	179	81	268	247	106	277	61	44	276	50					
9	Число недействительных избирательных бюллетеней	50	2	1	4	1	2	0	0	0	5	1	1	5	0	2	0	0	1	0	2	0	1	0	0	3	0	3	2	0	2	2	0	0	0	3	2	1	0	0	1	1	0	1	0	0	1	0					
10	Число действительных избирательных бюллетеней	12382	354	117	686	688	644	351	687	30	567	448	487	603	184	428	34	60	149	39	247	292	254	260	77	212	167	484	359	57	70	401	63	66	92	589	392	63	193	83	291	254	112	300	61	44	293	50					
11	Число полученных открепительных  удостоверений	432	7	5	15	25	13	10	15	0	15	16	10	10	5	20	6	3	25	3	10	8	8	13	3	8	7	25	10	3	3	10	3	3	3	35	12	5	10	3	8	8	5	12	3	3	8	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	280	2	1	13	17	12	4	9	0	9	14	9	7	4	16	0	0	21	0	5	0	2	10	0	1	6	25	1	0	0	5	0	0	2	33	12	0	10	3	6	4	0	12	0	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	165	6	1	6	7	9	5	7	15	17	5	5	8	4	2	1	1	2	1	1	1	4	2	1	2	1	3	1	0	1	1	1	1	1	1	3	2	0	2	4	2	1	1	0	1	2	23					
14	Число неиспользованных открепительных удостоверений	152	5	4	2	8	1	6	6	0	6	2	1	3	1	4	6	3	4	3	5	8	6	3	3	7	1	0	9	3	3	5	3	3	1	2	0	5	0	0	2	4	5	0	3	3	3	0					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	13	1	0	2	1	4	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	Богданов Андрей Владимирович	97	0	0	5	6	6	3	7	0	6	2	2	3	1	3	0	0	2	0	0	1	0	2	1	4	1	7	0	1	0	10	0	0	0	9	5	0	0	0	4	0	0	1	2	1	2	0					
		0.78%	0.00%	0.00%	0.72%	0.87%	0.93%	0.85%	1.02%	0.00%	1.05%	0.45%	0.41%	0.49%	0.54%	0.70%	0.00%	0.00%	1.33%	0.00%	0.00%	0.34%	0.00%	0.77%	1.30%	1.86%	0.60%	1.44%	0.00%	1.75%	0.00%	2.48%	0.00%	0.00%	0.00%	1.52%	1.27%	0.00%	0.00%	0.00%	1.37%	0.00%	0.00%	0.33%	3.28%	2.27%	0.68%	0.00%					
19	Жириновский Владимир Вольфович	1476	48	4	64	82	95	34	71	3	63	38	64	82	15	57	8	1	20	2	28	31	37	15	11	36	18	65	38	6	9	63	16	9	18	65	50	10	29	10	34	24	17	38	4	5	33	6					
		11.87%	13.48%	3.39%	9.28%	11.90%	14.71%	9.69%	10.33%	10.00%	11.01%	8.46%	13.11%	13.49%	8.15%	13.26%	23.53%	1.67%	13.33%	5.13%	11.24%	10.62%	14.51%	5.77%	14.29%	16.74%	10.78%	13.35%	10.53%	10.53%	12.50%	15.63%	25.40%	13.64%	19.57%	10.98%	12.69%	15.63%	15.03%	12.05%	11.64%	9.41%	15.18%	12.62%	6.56%	11.36%	11.22%	12.00%					
20	Зюганов Геннадий Андреевич	1903	59	14	159	130	74	49	137	0	90	61	52	75	46	30	13	1	22	3	42	34	36	22	13	11	23	83	34	0	27	137	11	18	9	74	72	9	19	9	39	24	6	57	9	2	56	12					
