Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Зилаирская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №1976	УИК №1981	УИК №1982	УИК №1985	УИК №1987	УИК №1988	УИК №1989	УИК №1992	УИК №1997	УИК №1999	УИК №2001	УИК №2002	УИК №2006	УИК №2009	УИК №2010	УИК №2011	УИК №2012									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11895	401	446	485	723	552	2128	493	773	1633	611	141	434	225	1493	289	735	333									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12075	411	449	485	725	557	2145	496	795	1656	622	141	436	225	1562	291	738	341									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7213	345	354	212	420	309	901	438	632	1301	232	88	193	155	668	280	548	137									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	677	27	0	134	0	16	29	10	62	166	76	18	75	0	0	0	23	41									
6	Число погашенных избирательных бюллетеней	4185	39	95	139	305	232	1215	48	101	189	314	35	168	70	894	11	167	163									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	677	27	0	134	0	16	29	10	62	166	76	18	75	0	0	0	23	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7153	345	354	212	416	309	901	428	632	1301	232	88	193	155	628	280	542	137									
9	Число недействительных избирательных бюллетеней	82	6	0	0	5	13	9	2	8	0	11	4	2	2	20	0	0	0									
10	Число действительных избирательных бюллетеней	7748	366	354	346	411	312	921	436	686	1467	297	102	266	153	608	280	565	178									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	3	3	2	5	3	10	10	10	10	5	0	0	2	10	2	5	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	52	3	1	1	1	3	8	1	8	7	4	0	0	1	7	2	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	0	1	3	1	1	5	0	3	2	0	1	5	0	10	1	1	3									
14	Число погашенных неиспользованных открепительных удостоверений	28	0	2	1	4	0	2	9	2	3	1	0	0	1	3	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	43	1	6	2	0	4	8	4	6	0	3	1	0	0	5	0	3	0									
		0.55%	0.27%	1.69%	0.58%	0.00%	1.23%	0.86%	0.91%	0.86%	0.00%	0.97%	0.94%	0.00%	0.00%	0.80%	0.00%	0.53%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	283	16	12	9	15	11	24	3	52	0	15	2	15	12	58	5	31	3									
		3.61%	4.30%	3.39%	2.60%	3.61%	3.38%	2.58%	0.68%	7.49%	0.00%	4.87%	1.89%	5.60%	7.74%	9.24%	1.79%	5.49%	1.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	82	5	8	2	7	2	12	6	15	0	2	0	0	3	10	0	7	3									
		1.05%	1.34%	2.26%	0.58%	1.68%	0.62%	1.29%	1.37%	2.16%	0.00%	0.65%	0.00%	0.00%	1.94%	1.59%	0.00%	1.24%	1.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5489	192	247	265	279	176	576	338	496	1278	221	75	193	100	298	240	366	149									
		70.10%	51.61%	69.77%	76.59%	67.07%	54.15%	61.94%	77.17%	71.47%	87.12%	71.75%	70.75%	72.01%	64.52%	47.45%	85.71%	64.78%	83.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	2	0	0	1	3	4	2	4	0	3	2	0	0	6	0	1	0									
		0.36%	0.54%	0.00%	0.00%	0.24%	0.92%	0.43%	0.46%	0.58%	0.00%	0.97%	1.89%	0.00%	0.00%	0.96%	0.00%	0.18%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	1	0	0	0	3	0	0	1	0	1	0	0	1	7	0	3	0									
		0.22%	0.27%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.14%	0.00%	0.32%	0.00%	0.00%	0.65%	1.11%	0.00%	0.53%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	530	62	54	30	41	17	87	45	21	59	9	2	13	11	28	5	38	8									
		6.77%	16.67%	15.25%	8.67%	9.86%	5.23%	9.35%	10.27%	3.03%	4.02%	2.92%	1.89%	4.85%	7.10%	4.46%	1.79%	6.73%	4.49%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	0	0	1	0	0	5	1	1	0	0	0	0	0	6	0	1	0									
		0.19%	0.00%	0.00%	0.29%	0.00%	0.00%	0.54%	0.23%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.18%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	21	1	0	1	1	1	8	2	1	0	1	0	0	0	3	0	2	0									
		0.27%	0.27%	0.00%	0.29%	0.24%	0.31%	0.86%	0.46%	0.14%	0.00%	0.32%	0.00%	0.00%	0.00%	0.48%	0.00%	0.35%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	1	0	0	0	0	0	0	0	0	1	0	0	0	5	0	1	0									
		0.10%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.80%	0.00%	0.18%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	1	0	0	1	0	5	1	1	0	0	0	0	1	6	0	1	0									
		0.22%	0.27%	0.00%	0.00%	0.24%	0.00%	0.54%	0.23%	0.14%	0.00%	0.00%	0.00%	0.00%	0.65%	0.96%	0.00%	0.18%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	768	22	27	26	45	58	136	28	67	88	28	7	18	16	88	25	76	13									
		9.81%	5.91%	7.63%	7.51%	10.82%	17.85%	14.62%	6.39%	9.65%	5.99%	9.09%	6.60%	6.72%	10.32%	14.01%	8.93%	13.45%	7.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	1	0	0	0	3	5	0	1	0	1	0	0	0	1	0	2	0									
		0.18%	0.27%	0.00%	0.00%	0.00%	0.92%	0.54%	0.00%	0.14%	0.00%	0.32%	0.00%	0.00%	0.00%	0.16%	0.00%	0.35%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	433	61	0	10	21	34	51	6	20	42	12	13	27	9	87	5	33	2									
		5.53%	16.40%	0.00%	2.89%	5.05%	10.46%	5.48%	1.37%	2.88%	2.86%	3.90%	12.26%	10.07%	5.81%	13.85%	1.79%	5.84%	1.12%									
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
