Выборы Президента Российской Федерации																																																																																																		
Дата голосования: 04.03.2012																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №2																																																																																																		
																																																																																																		
Сводная таблица итогов голосования																																																																																																		
																																																																																																		
	Число участковых избирательных комиссий	87																																																																																																
	Число участковых избирательных комиссий, приступивших к передаче сведений	87																																																																																																
																																																																																																		
		Сумма	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160									
1	Число избирателей, включенных в список избирателей	161500	1545	2172	1660	1771	1789	1784	1764	1858	1973	1682	1343	2334	2337	2371	1684	2358	1788	1804	1898	1816	1738	1969	2774	1725	1704	1740	1812	1960	1838	1715	2070	2162	1839	2404	1640	2256	1897	1822	1356	1721	2008	2287	1926	2422	2202	2041	1738	1914	2156	1991	2505	2335	2193	1416	1756	1734	1767	1692	1355	1901	1917	1949	2537	2928	2113	2133	2175	1964	1929	1893	2135	2149	2176	2137	18	1626	2586	2720	22	13	41	22	117	16	138	3722	5112									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	122669	1400	1500	1200	1200	1200	1200	1200	1300	1400	1200	1000	1600	1600	1800	1100	1700	1300	1300	1600	1500	1400	1400	1900	1200	1200	1200	1400	1400	1400	1400	1700	1600	1400	1600	1200	1600	1300	1400	1000	1400	1500	1600	1400	1800	1900	1500	1400	1400	1600	1300	1900	1600	1680	1600	1300	1300	1300	1300	1000	1400	1400	1400	1750	2100	1700	1600	1500	1600	1400	1400	1500	1550	1500	1500	20	1500	2500	2500	22	13	41	22	117	16	138	3700	5000									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	108057	1082	1274	1030	1119	1040	1172	967	1020	1198	1095	850	1384	1320	1411	1031	1652	1227	1109	1277	1277	1281	1081	1620	1144	958	1010	1265	1262	1278	1233	1329	1288	1282	1574	1104	1379	1207	1211	794	1209	1329	1381	1215	1637	1505	1291	1329	1191	1411	1210	1494	1498	1442	1328	1091	1161	1145	1137	834	1231	1367	1290	1625	1994	1477	1321	1439	1250	1305	1161	1429	1366	1325	1249	18	1365	2475	2015	22	13	41	20	113	16	138	3524	4795									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2230	71	55	20	15	10	19	11	23	35	32	7	100	27	30	8	18	16	17	78	65	63	28	8	23	13	6	19	22	17	27	21	62	30	21	26	21	42	14	19	35	27	10	20	48	30	28	60	38	47	23	31	14	21	3	14	21	20	21	24	28	27	14	17	84	23	14	51	81	12	35	54	42	32	42	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	12382	247	171	150	66	150	9	222	257	167	73	143	116	253	359	61	30	57	174	245	158	56	291	272	33	229	184	116	116	105	140	350	250	88	5	70	200	51	175	187	156	144	209	165	115	365	181	11	171	142	67	375	88	217	269	195	118	135	142	142	141	6	96	108	22	200	265	10	269	83	204	17	142	143	209	2	135	25	485	0	0	0	2	4	0	0	176	205									
