Выборы Президента Российской Федерации																																																																																																					
Дата голосования: 18.03.2018																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №2																																																																																																					
																																																																																																					
Сводная таблица итогов голосования																																																																																																					
																																																																																																					
	Число участковых избирательных комиссий	90																																																																																																			
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	90																																																																																																			
																																																																																																					
		Сумма	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193									
1	"Число избирателей, включенных в список избирателей"	139622	1582	1771	1467	1404	1468	1634	1450	1726	1901	1626	1427	2114	2389	1801	1963	2004	1743	1472	1458	1644	1777	1578	1299	1467	1820	1491	2137	1322	1750	2067	1996	2060	1598	1406	2151	1601	1602	1793	1652	1006	1357	2109	1483	2041	2623	1752	1417	1957	1624	2440	1961	1218	2242	1678	2686	1357	1533	1558	1424	1188	1801	1769	1816	1938	2577	1537	2308	1378	2013	1823	1913	1682	2093	1992	1800	2143	1041	1763	1124	149	379	876	225	86	25	16	37	13	21	19									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	130000	1500	1750	1500	1500	1500	1500	1500	1500	1500	1500	1200	2000	2000	1500	1500	2000	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	2000	1000	2000	1800	1800	2000	1500	1600	1600	1500	1500	1500	1500	1000	1500	1500	1500	2000	2000	1500	1500	2000	1500	2000	2000	1000	2000	1550	2650	1500	1500	1500	1500	1000	1500	1500	1500	2000	2000	1500	2000	1500	2000	1500	2000	1500	2000	2000	2000	2000	900	1300	1000	200	800	900	233	86	25	16	37	13	21	19									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	86	25	14	37	12	21	19									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	87310	1117	1291	866	983	914	1048	744	977	998	941	994	1229	1266	1026	977	1181	975	870	954	891	951	955	839	841	1052	959	1032	795	1233	1234	1496	1122	1058	1278	1378	1047	1020	983	988	643	878	1320	769	1022	1451	1304	896	1330	1174	1541	1381	862	1398	1215	2055	951	984	985	998	780	1295	1095	1142	1055	1662	968	1398	1100	1370	1178	1245	1054	1252	1247	1148	1248	740	1078	756	79	25	735	0	0	0	0	0	0	0	0									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3527	114	19	24	14	88	58	47	21	27	26	61	32	23	22	18	100	66	83	19	21	14	19	23	84	23	12	33	5	126	103	17	39	163	20	18	79	25	13	111	11	28	25	5	19	66	45	27	32	38	51	52	14	31	18	1	51	40	59	67	30	29	41	25	12	12	12	22	33	35	34	29	38	17	107	68	23	8	3	6	40	340	73	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	38737	269	440	610	503	498	394	709	502	475	533	145	739	711	452	505	719	459	547	527	588	535	526	638	575	425	529	935	199	641	463	287	839	279	302	204	374	455	504	401	346	594	155	726	959	483	151	577	638	288	408	567	124	571	317	594	498	476	456	435	190	176	364	333	933	326	520	580	367	595	288	726	408	731	646	784	729	152	219	238	81	435	92	22	0	0	2	0	1	0	0									
