Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Верховская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15290	2101	2742	2169	463	146	112	101	880	919	219	244	271	381	205	207	303	286	439	407	928	940	247	260	320									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15360	2125	2800	2200	450	150	100	100	880	920	210	240	270	380	200	200	300	285	450	410	930	950	250	250	310									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6481	728	1033	837	197	61	55	37	279	533	103	152	190	161	112	101	163	98	185	173	433	468	140	97	145									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1038	31	17	23	24	18	11	28	117	28	14	10	20	38	39	42	62	89	107	98	62	57	15	38	50									
6	Число погашенных избирательных бюллетеней	7841	1366	1750	1340	229	71	34	35	484	359	93	78	60	181	49	57	75	98	158	139	435	425	95	115	115									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1038	31	17	23	24	18	11	28	117	28	14	10	20	38	39	42	62	89	107	98	62	57	15	38	50									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6481	728	1033	837	197	61	55	37	279	533	103	152	190	161	112	101	163	98	185	173	433	468	140	97	145									
9	Число недействительных избирательных бюллетеней	107	25	22	12	10	4	0	0	10	4	0	0	0	0	0	0	1	2	0	0	5	7	2	1	2									
10	Число действительных избирательных бюллетеней	7412	734	1028	848	211	75	66	65	386	557	117	162	210	199	151	143	224	185	292	271	490	518	153	134	193									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	337	34	51	30	10	10	2	10	20	20	10	2	10	4	10	10	10	10	10	10	20	20	4	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	204	29	44	30	4	8	2	0	5	9	1	1	6	4	1	0	3	4	10	5	15	18	3	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	28	0	4	3	2	1	2	2	1	5	0	0	1	1	1	0	1	0	0	1	2	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	133	5	7	0	6	2	0	10	15	11	9	1	4	0	9	10	7	6	0	5	5	2	1	9	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	7	5	11	0	0	0	0	2	2	1	3	0	2	1	0	0	0	0	4	3	5	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	69	10	11	8	1	0	0	0	3	5	4	4	0	2	0	0	1	1	1	1	5	10	1	1	0									
		0.92%	1.32%	1.05%	0.93%	0.45%	0.00%	0.00%	0.00%	0.76%	0.89%	3.42%	2.47%	0.00%	1.01%	0.00%	0.00%	0.44%	0.53%	0.34%	0.37%	1.01%	1.90%	0.65%	0.74%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	401	48	53	49	13	10	1	2	22	19	12	4	4	12	5	3	14	9	16	26	23	36	8	6	6									
		5.33%	6.32%	5.05%	5.70%	5.88%	12.66%	1.52%	3.08%	5.56%	3.39%	10.26%	2.47%	1.90%	6.03%	3.31%	2.10%	6.22%	4.81%	5.48%	9.59%	4.65%	6.86%	5.16%	4.44%	3.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	99	11	10	12	4	1	0	0	4	5	1	4	5	2	2	0	0	2	3	3	8	21	1	0	0									
		1.32%	1.45%	0.95%	1.40%	1.81%	1.27%	0.00%	0.00%	1.01%	0.89%	0.85%	2.47%	2.38%	1.01%	1.32%	0.00%	0.00%	1.07%	1.03%	1.11%	1.62%	4.00%	0.65%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3815	331	424	367	100	40	25	48	187	312	48	84	112	100	81	88	133	133	191	154	335	217	87	74	144									
		50.74%	43.61%	40.38%	42.67%	45.25%	50.63%	37.88%	73.85%	47.22%	55.61%	41.03%	51.85%	53.33%	50.25%	53.64%	61.54%	59.11%	71.12%	65.41%	56.83%	67.68%	41.33%	56.13%	54.81%	73.85%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	42	4	6	5	1	0	1	0	2	4	0	1	0	0	0	0	1	1	0	0	0	15	0	1	0									
		0.56%	0.53%	0.57%	0.58%	0.45%	0.00%	1.52%	0.00%	0.51%	0.71%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.44%	0.53%	0.00%	0.00%	0.00%	2.86%	0.00%	0.74%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	2	1	1	0	0	0	0	1	1	3	1	0	0	1	0	0	0	0	2	0	4	0	1	1									
		0.25%	0.26%	0.10%	0.12%	0.00%	0.00%	0.00%	0.00%	0.25%	0.18%	2.56%	0.62%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.76%	0.00%	0.74%	0.51%									
