Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Октябрьская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849					
1	"Число избирателей, внесенных в список"	97090	1736	1688	1753	1292	2818	1537	2560	1355	1605	1152	2262	2346	2619	2531	2807	2767	2525	2531	2517	2504	2654	2100	2610	2330	2071	2568	2130	2119	2388	2350	2512	2074	2449	1418	1893	1021	2000	1825	506	2232	1470	764	679	354	1594	1751	1627	1878	316	451	425	833	342	132	139	180					
2	Число полученных избирательных бюллетеней	96990	1760	1670	1790	1280	2750	1440	2530	1360	1620	1050	2010	2370	2660	2570	2810	2860	2500	2500	2500	2560	2680	2130	2610	2350	2130	2540	2140	2060	2180	2350	2510	2080	2450	1450	2000	1030	2000	1800	510	2250	1510	750	700	360	1640	1730	1660	1910	340	450	400	850	340	160	150	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	78324	1453	1418	1576	931	2464	1053	2243	890	1228	721	1969	1788	1953	1868	1954	2145	1874	1916	1894	2169	2313	1652	2051	1759	1654	2098	1797	1581	1792	2138	1970	1699	2277	979	1297	974	1776	1685	410	2165	1436	681	526	296	1341	1403	1355	1713	254	225	255	621	234	132	139	139					
5	"Число избирательных бюллетеней, выданных вне помещения"	9728	141	85	45	221	79	335	116	397	148	186	39	208	320	334	267	307	360	392	388	87	208	197	196	248	232	222	112	349	350	100	480	121	114	266	224	42	114	85	88	29	13	48	128	54	120	171	190	71	58	192	128	177	106	0	0	40					
6	Число погашенных избирательных бюллетеней	8938	166	167	169	128	207	52	171	73	244	143	2	374	387	368	589	408	266	192	218	304	159	281	363	343	244	220	231	130	38	112	60	260	59	205	479	14	110	30	12	56	61	21	46	10	179	156	115	126	28	33	17	52	0	28	11	21					
7	Число избирательных бюллетеней в переносных ящиках	9728	141	85	45	221	79	335	116	397	148	186	39	208	320	334	267	307	360	392	388	87	208	197	196	248	232	222	112	349	350	100	480	121	114	266	224	42	114	85	88	29	13	48	128	54	120	171	190	71	58	192	128	177	106	0	0	40					
8	Число бюллетеней в стационарных ящиках для голосования	78287	1453	1418	1576	931	2464	1053	2243	890	1228	721	1965	1788	1941	1865	1954	2145	1872	1916	1894	2169	2313	1652	2050	1759	1652	2098	1797	1581	1792	2138	1970	1699	2277	979	1294	974	1768	1685	410	2165	1436	681	526	296	1341	1403	1355	1713	254	225	255	621	232	132	139	139					
9	Число недействительных избирательных бюллетеней	879	10	0	10	13	5	9	4	54	0	7	163	7	18	27	15	29	0	11	4	0	4	0	3	12	9	11	10	155	15	13	7	9	4	1	2	0	8	4	2	5	7	41	45	19	21	10	14	12	2	0	26	20	0	0	2	0					
10	Число действительных избирательных бюллетеней	87136	1584	1503	1611	1139	2538	1379	2355	1233	1376	900	1841	1989	2243	2172	2206	2423	2232	2297	2278	2256	2517	1849	2243	1995	1875	2309	1899	1775	2127	2225	2443	1811	2387	1244	1516	1016	1874	1766	496	2189	1442	688	609	331	1440	1564	1531	1772	310	417	357	778	338	132	137	179					
11	Число полученных открепительных  удостоверений	3360	50	50	80	50	100	50	50	50	50	50	70	100	100	50	100	100	100	100	100	100	100	100	100	100	100	100	100	50	50	100	100	50	50	50	100	60	50	60	30	40	30	30	40	20	50	50	50	30	10	10	20	20	10	0	0	0					
12	Число выданных открепительных удостоверений	2332	47	30	58	21	78	28	35	33	28	34	48	55	81	48	72	91	72	66	73	65	67	95	67	60	74	54	46	36	45	73	58	36	38	37	63	60	32	41	8	27	22	7	27	15	41	25	50	30	6	4	11	11	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1845	4	34	37	17	20	79	44	15	7	65	407	16	47	16	17	23	19	16	28	10	22	3	21	10	8	23	15	108	259	40	33	22	21	10	21	0	7	9	4	12	73	9	3	4	5	6	12	8	3	6	10	8	4	17	56	52					
14	Число неиспользованных открепительных удостоверений	1028	3	20	22	29	22	22	15	17	22	16	22	45	19	2	28	9	28	34	27	35	33	5	33	40	26	46	54	14	5	27	42	14	12	13	37	0	18	19	22	13	8	23	13	5	9	25	0	0	4	6	9	9	7	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																															
18	. Глазьев Сергей Юрьевич	1484	31	26	65	8	17	26	24	29	8	17	20	58	73	54	78	55	47	29	55	48	28	20	32	64	26	30	48	28	29	23	16	26	26	12	50	1	28	26	5	22	16	13	10	2	8	56	15	6	2	3	2	32	11	0	0	0					
		1.69%	1.94%	1.73%	4.01%	0.69%	0.67%	1.87%	1.02%	2.25%	0.58%	1.87%	1.00%	2.91%	3.23%	2.46%	3.51%	2.24%	2.11%	1.26%	2.41%	2.13%	1.11%	1.08%	1.42%	3.19%	1.38%	1.29%	2.51%	1.45%	1.35%	1.03%	0.65%	1.43%	1.09%	0.96%	3.29%	0.10%	1.49%	1.47%	1.00%	1.00%	1.10%	1.78%	1.53%	0.57%	0.55%	3.56%	0.97%	0.34%	0.64%	0.72%	0.52%	4.01%	3.25%	0.00%	0.00%	0.00%					
19	. Малышкин Олег Александрович	820	9	11	48	2	13	12	36	27	24	18	31	34	46	22	40	12	16	34	25	23	9	6	29	9	19	14	19	23	6	6	12	13	6	12	27	3	19	30	5	6	0	9	7	3	3	9	1	7	0	2	4	10	8	0	1	0					
