Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Улаганская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
1	"Число избирателей, внесенных в список избирателей"	7678	277	447	135	871	228	518	180	2053	444	2204	321					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8000	235	447	152	968	230	540	160	2000	480	2378	410					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	276	9	82	25	19	27	49	26	0	16	0	23					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4486	166	282	101	456	109	386	98	1244	298	1075	271					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	363	15	20	6	39	9	21	8	92	33	93	27					
6	Число погашенных избирательных бюллетеней	2875	45	63	20	454	85	84	28	664	133	1210	89					
7	Число избирательных бюллетеней в переносных ящиках для голосования	639	24	102	31	58	36	70	34	92	49	93	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4486	166	282	101	456	109	386	98	1244	298	1075	271					
9	Число недействительных избирательных бюллетеней	37	3	4	1	6	2	1	0	8	3	7	2					
10	Число действительных избирательных бюллетеней	5088	187	380	131	508	143	455	132	1328	344	1161	319					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	100	5	8	5	10	5	8	5	27	0	20	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	60	1	2	4	2	0	4	0	24	0	20	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	1	0	0	1	0	1	0	11	0	5	0					
14	Число погашенных неиспользованных открепительных удостоверений	40	4	6	1	8	5	4	5	3	0	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	432	12	20	4	42	14	25	25	143	24	103	20					
		8.43%	6.32%	5.21%	3.03%	8.17%	9.66%	5.48%	18.94%	10.70%	6.92%	8.82%	6.23%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	194	3	8	0	7	6	7	0	145	1	14	3					
		3.79%	1.58%	2.08%	0.00%	1.36%	4.14%	1.54%	0.00%	10.85%	0.29%	1.20%	0.93%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	31	1	2	0	2	1	2	0	15	0	6	2					
		0.60%	0.53%	0.52%	0.00%	0.39%	0.69%	0.44%	0.00%	1.12%	0.00%	0.51%	0.62%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1000	40	57	19	66	32	50	5	360	60	265	46					
		19.51%	21.05%	14.84%	14.39%	12.84%	22.07%	10.96%	3.79%	26.95%	17.29%	22.69%	14.33%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	34	1	0	0	0	4	1	0	19	2	6	1					
		0.66%	0.53%	0.00%	0.00%	0.00%	2.76%	0.22%	0.00%	1.42%	0.58%	0.51%	0.31%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3372	128	292	108	389	85	369	101	638	255	762	245					
		65.80%	67.37%	76.04%	81.82%	75.68%	58.62%	80.92%	76.52%	47.75%	73.49%	65.24%	76.32%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	25	2	1	0	2	1	1	1	8	2	5	2					
		0.49%	1.05%	0.26%	0.00%	0.39%	0.69%	0.22%	0.76%	0.60%	0.58%	0.43%	0.62%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
