Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																						
Дата голосования: 04.12.2011																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Пушкинская																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №2290	УИК №2291	УИК №2292	УИК №2293	УИК №2294	УИК №2295	УИК №2296	УИК №2297	УИК №2298	УИК №2299	УИК №2300	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368					
1	"Число избирателей, внесенных в список избирателей"	133386	2650	2559	2664	1226	1210	2430	2680	2396	2036	2137	1764	2303	2360	2489	2499	2844	2601	1908	2351	2058	2803	1741	2144	2134	1782	2611	2372	2238	1979	545	976	2733	2174	646	1747	2017	1154	805	679	1037	389	2274	1848	653	1691	2435	2197	2342	2039	2381	1796	2756	719	811	1308	1819	1436	1203	391	322	710	2353	2229	1746	914	1174	1135	675	272	211	937	666	649	2015	2860	2232	1447	453	416					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	104450	2100	2050	2100	950	1100	1900	2100	1900	1600	1700	1400	1800	1850	2000	2000	2250	2100	1500	1900	1600	2200	1400	1700	1700	1400	2050	1900	1900	1600	400	700	2200	1700	500	1350	1600	800	600	500	800	300	1750	1400	500	1150	1900	1750	1800	1600	1800	1400	2200	550	650	1000	1400	1100	900	300	250	550	1800	1800	1400	700	850	900	400	200	150	700	500	500	1600	2300	1750	1100	350	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	58752	1009	1012	1103	488	548	1056	1292	1090	907	1033	789	881	981	1163	1032	1351	1026	808	942	842	1082	647	884	869	765	1281	1070	1159	915	267	379	1156	901	244	718	882	404	328	337	383	127	930	1208	266	850	1099	941	972	933	1016	839	1251	314	317	650	820	561	571	151	174	231	1399	1201	832	429	594	488	361	122	96	323	225	362	884	1303	900	624	179	185					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2315	25	14	16	8	200	7	0	39	23	21	8	24	12	21	20	13	7	18	16	7	30	36	11	13	14	15	8	19	17	28	11	15	7	3	13	17	121	18	28	55	118	67	136	48	36	23	26	43	42	32	27	14	6	26	29	56	41	40	54	10	69	40	11	40	23	11	42	23	23	21	5	16	5	20	25	23	37	15	14					
6	Число погашенных избирательных бюллетеней	43382	1066	1024	981	454	352	837	808	771	670	646	603	895	857	816	948	886	1067	673	942	751	1088	717	805	818	621	754	822	722	668	105	310	1029	792	253	619	701	275	254	135	362	55	753	56	186	264	778	783	785	625	752	534	935	230	307	321	524	498	289	95	66	250	361	588	528	248	245	370	16	55	33	372	259	133	696	972	827	439	156	101					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2315	25	14	16	8	200	7	0	39	23	21	8	24	12	21	20	13	7	18	16	7	30	36	11	13	14	15	8	19	17	28	11	15	7	3	13	17	121	18	28	55	118	67	136	48	36	23	26	43	42	32	27	14	6	26	29	56	41	40	54	10	69	40	11	40	23	11	42	23	23	21	5	16	5	20	25	23	37	15	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	58660	1005	1012	1098	486	548	1056	1292	1090	907	1031	789	881	979	1163	1032	1351	1026	808	938	840	1079	646	884	869	765	1278	1068	1155	894	267	379	1153	897	244	718	882	404	328	337	383	127	929	1207	266	849	1094	940	970	933	1012	839	1251	314	317	650	820	561	571	151	174	231	1398	1197	831	429	592	488	361	122	96	318	225	362	884	1301	900	624	179	185					
9	Число недействительных избирательных бюллетеней	1976	46	29	35	18	21	25	40	39	21	24	30	19	26	25	30	51	32	29	34	26	48	16	30	36	31	45	35	39	27	5	18	26	30	10	19	44	14	9	8	13	3	49	39	9	30	42	40	37	29	37	34	26	21	8	29	26	19	24	10	5	3	41	43	30	16	17	12	15	2	2	9	7	9	34	44	41	24	1	6					
10	Число действительных избирательных бюллетеней	58999	984	997	1079	476	727	1038	1252	1090	909	1028	767	886	965	1159	1022	1313	1001	797	920	821	1061	666	865	846	748	1248	1041	1135	884	290	372	1142	874	237	712	855	511	337	357	425	242	947	1304	305	855	1075	926	976	946	1007	832	1239	299	335	650	850	583	587	195	179	297	1397	1165	841	436	586	518	369	143	115	314	234	358	870	1282	882	637	193	193					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2358	40	45	30	15	15	35	40	25	45	55	39	25	25	30	35	50	30	35	45	25	30	30	25	25	30	30	35	25	45	10	15	55	40	10	40	35	15	20	10	20	25	35	10	10	15	25	25	33	50	25	25	45	10	30	20	40	25	20	5	15	10	80	70	45	15	160	25	10	5	5	20	10	15	55	61	25	15	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1864	35	38	28	12	10	30	36	25	32	40	27	18	22	27	35	33	23	21	37	23	26	21	16	16	22	22	29	20	24	5	15	55	35	5	30	29	12	19	10	11	11	34	5	7	15	22	19	31	41	25	21	40	9	13	18	33	16	15	4	9	0	56	55	42	14	136	22	6	2	3	16	9	13	42	43	21	11	4	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2018	22	17	16	30	49	18	22	46	38	27	7	14	21	14	6	15	16	19	6	10	25	20	18	6	10	49	6	18	38	28	43	23	23	8	27	13	22	19	43	11	16	81	37	10	98	32	5	42	24	105	12	16	12	13	17	61	18	26	7	9	8	12	23	3	34	103	36	148	11	6	7	13	9	21	21	23	20	6	10					
14	Число погашенных неиспользованных открепительных удостоверений	494	5	7	2	3	5	5	4	0	13	15	12	7	3	3	0	17	7	14	8	2	4	9	9	9	8	8	6	5	21	5	0	0	5	5	10	6	3	1	0	9	14	1	5	3	0	3	6	2	9	0	4	5	1	17	2	7	9	5	1	6	10	24	15	3	1	24	3	4	3	2	4	1	2	13	18	4	4	1	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	1	0	1	1	0	2	1	1	0	2	0	1	0	1	1	1	1	1	0	0	0	1	2	0	0	1	0	1	1	0	0	0	2	1	0	2	1	0	0	0	1	0	0	0	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	1	1	1	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9983	188	194	193	102	134	173	251	223	192	192	153	182	175	243	189	228	165	148	145	127	159	104	159	184	143	267	201	205	179	48	60	212	122	41	142	135	81	53	50	78	30	150	105	46	147	210	155	148	180	194	137	226	47	45	93	107	94	93	34	39	32	164	107	101	90	94	66	66	9	13	33	39	40	161	198	159	79	15	17					
		16.37%	18.25%	18.91%	17.32%	20.65%	17.91%	16.27%	19.43%	19.75%	20.65%	18.25%	19.20%	20.11%	17.66%	20.52%	17.97%	16.72%	15.97%	17.92%	15.20%	14.99%	14.34%	15.25%	17.77%	20.86%	18.36%	20.65%	18.68%	17.46%	19.65%	16.27%	15.38%	18.15%	13.50%	16.60%	19.43%	15.02%	15.43%	15.32%	13.70%	17.81%	12.24%	15.06%	7.82%	14.65%	16.61%	18.80%	16.05%	14.61%	18.46%	18.58%	15.82%	17.87%	14.69%	13.12%	13.70%	12.21%	15.61%	15.22%	16.59%	21.20%	10.67%	11.40%	8.86%	11.60%	19.91%	15.59%	12.45%	17.19%	6.21%	11.11%	10.22%	16.18%	10.90%	17.81%	14.93%	17.23%	11.95%	7.73%	8.54%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9037	138	127	189	62	134	126	160	137	123	120	107	113	134	168	125	163	181	127	136	128	157	100	111	131	122	186	171	142	111	41	58	173	128	39	99	133	67	37	49	61	20	168	290	49	121	163	160	149	103	139	84	186	55	65	106	178	92	131	25	34	28	307	195	147	75	118	80	43	22	24	58	30	69	139	220	164	123	37	26					
		14.82%	13.40%	12.38%	16.97%	12.55%	17.91%	11.85%	12.38%	12.13%	13.23%	11.41%	13.43%	12.49%	13.52%	14.19%	11.88%	11.95%	17.52%	15.38%	14.26%	15.11%	14.16%	14.66%	12.40%	14.85%	15.66%	14.39%	15.89%	12.10%	12.18%	13.90%	14.87%	14.81%	14.16%	15.79%	13.54%	14.79%	12.76%	10.69%	13.42%	13.93%	8.16%	16.87%	21.59%	15.61%	13.67%	14.59%	16.56%	14.71%	10.56%	13.31%	9.70%	14.70%	17.19%	18.95%	15.61%	20.32%	15.28%	21.44%	12.20%	18.48%	9.33%	21.35%	16.14%	16.88%	16.59%	19.57%	15.09%	11.20%	15.17%	20.51%	17.96%	12.45%	18.80%	15.38%	16.59%	17.77%	18.61%	19.07%	13.07%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	844	8	12	18	8	7	11	16	18	12	28	10	13	16	11	13	18	10	14	12	7	14	12	15	13	11	21	10	14	17	6	6	16	20	1	19	10	5	3	6	1	2	12	13	2	8	14	14	11	15	12	10	11	5	6	7	10	6	5	2	0	6	35	22	18	8	9	6	7	1	1	3	2	8	15	25	16	9	0	6					
