Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва											
Дата голосования: 02.12.2007											
											
Наименование Избирательной комиссии:    Среднеканская ТИК											
											
Сводная таблица результатов выборов											
											
		Сумма	УИК №71	УИК №72	УИК №73	УИК №74					
1	"Число избирателей, внесенных в списки избирателей"	3034	1362	1210	321	141					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	3052	1387	1170	332	163					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1677	725	611	234	107					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	73	33	26	9	5					
6	Число погашенных избирательных бюллетеней	1302	629	533	89	51					
7	Число избирательных бюллетеней в переносных ящиках для голосования	73	33	26	9	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1676	725	610	234	107					
9	Число недействительных избирательных бюллетеней	14	5	8	1	0					
10	Число действительных избирательных бюллетеней	1735	753	628	242	112					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	28	10	10	4	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	10	6	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3	0	3	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	18	4	6	4	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0					
											
18	1.Политическая партия «Аграрная партия России»	32	16	8	5	3					
		1.83%	2.11%	1.26%	2.06%	2.68%					
19	2.Всероссийская политическая партия «Гражданская Сила»	30	20	9	0	1					
		1.72%	2.64%	1.42%	0.00%	0.89%					
20	3.Политическая партия «Демократическая партия России»	3	2	0	1	0					
		0.17%	0.26%	0.00%	0.41%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	287	140	124	11	12					
		16.41%	18.47%	19.50%	4.53%	10.71%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	6	6	0	0	0					
		0.34%	0.79%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	5	2	3	0	0					
		0.29%	0.26%	0.47%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	287	114	103	52	18					
		16.41%	15.04%	16.19%	21.40%	16.07%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	109	63	39	2	5					
		6.23%	8.31%	6.13%	0.82%	4.46%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	21	9	11	1	0					
		1.20%	1.19%	1.73%	0.41%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	939	370	326	170	73					
		53.69%	48.81%	51.26%	69.96%	65.18%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	16	11	5	0	0					
		0.91%	1.45%	0.79%	0.00%	0.00%					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
