Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Мартыновская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29151	2055	1189	953	1300	654	888	388	720	127	165	1003	969	389	1094	743	803	691	566	2267	1480	1609	226	660	700	258	259	303	255	536	231	256	632	194	336	350	1093	1137	558	563	551									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29265	2065	1190	960	1330	650	890	385	720	210	165	1000	975	390	1100	750	810	695	565	2240	1475	1630	220	665	705	250	260	300	260	540	230	255	635	180	335	345	1105	1110	560	560	555									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11670	807	481	368	493	262	285	162	331	99	69	408	304	153	426	259	252	254	297	969	636	532	99	241	336	108	95	159	150	212	109	133	254	93	111	210	390	389	279	260	195									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1330	166	101	20	34	31	27	14	34	24	7	57	53	10	44	47	37	25	11	83	46	73	6	20	33	6	19	21	3	11	11	0	18	0	35	0	56	82	24	32	9									
6	Число погашенных избирательных бюллетеней	16265	1092	608	572	803	357	578	209	355	87	89	535	618	227	630	444	521	416	257	1188	793	1025	115	404	336	136	146	120	107	317	110	122	363	87	189	135	659	639	257	268	351									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1330	166	101	20	34	31	27	14	34	24	7	57	53	10	44	47	37	25	11	83	46	73	6	20	33	6	19	21	3	11	11	0	18	0	35	0	56	82	24	32	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11667	807	481	368	493	262	285	162	331	99	69	408	304	153	426	259	252	254	297	967	636	531	99	241	336	108	95	159	150	212	109	133	254	93	111	210	390	389	279	260	195									
9	Число недействительных избирательных бюллетеней	430	16	28	6	30	10	19	5	4	0	1	9	1	6	21	7	14	18	19	42	13	16	5	2	14	5	8	4	2	10	7	11	7	4	1	4	11	9	6	14	21									
10	Число действительных избирательных бюллетеней	12567	957	554	382	497	283	293	171	361	123	75	456	356	157	449	299	275	261	289	1008	669	588	100	259	355	109	106	176	151	213	113	122	265	89	145	206	435	462	297	278	183									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	650	40	40	30	40	10	10	10	10	5	5	20	20	10	20	10	20	10	10	60	40	40	10	20	15	5	5	10	10	5	5	5	15	5	5	5	20	20	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	113	7	0	0	12	2	1	1	0	0	0	3	0	1	5	0	0	4	1	22	6	9	1	3	8	0	0	0	6	0	0	0	3	0	2	0	6	7	1	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	89	2	4	1	1	3	2	1	2	4	2	1	0	1	2	0	3	4	4	6	4	2	4	1	5	2	1	1	1	1	0	1	1	1	2	0	2	4	4	5	4									
14	Число погашенных неиспользованных открепительных удостоверений	537	33	40	30	28	8	9	9	10	5	5	17	20	9	15	10	20	6	9	38	34	31	9	17	7	5	5	10	4	5	5	5	12	5	3	5	14	13	9	8	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	3	1	1	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	205	24	11	9	13	3	8	1	4	0	1	3	1	3	7	6	7	6	5	8	10	7	6	6	0	4	0	0	3	2	2	5	1	4	4	4	4	9	4	3	7									
		1.58%	2.47%	1.89%	2.32%	2.47%	1.02%	2.56%	0.57%	1.10%	0.00%	1.32%	0.65%	0.28%	1.84%	1.49%	1.96%	2.42%	2.15%	1.62%	0.76%	1.47%	1.16%	5.71%	2.30%	0.00%	3.51%	0.00%	0.00%	1.96%	0.90%	1.67%	3.76%	0.37%	4.30%	2.74%	1.90%	0.90%	1.91%	1.32%	1.03%	3.43%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	499	48	22	13	17	5	14	9	8	2	1	12	23	8	14	13	5	11	11	43	35	21	7	12	7	2	4	9	3	10	5	6	15	4	1	8	11	31	7	12	10									
		3.84%	4.93%	3.78%	3.35%	3.23%	1.71%	4.49%	5.11%	2.19%	1.63%	1.32%	2.58%	6.44%	4.91%	2.98%	4.25%	1.73%	3.94%	3.57%	4.10%	5.13%	3.48%	6.67%	4.60%	1.90%	1.75%	3.51%	5.00%	1.96%	4.48%	4.17%	4.51%	5.51%	4.30%	0.68%	3.81%	2.47%	6.58%	2.31%	4.11%	4.90%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	271	23	21	6	11	10	5	4	11	1	0	4	11	2	12	11	4	8	5	18	13	15	1	5	11	3	3	5	1	1	3	4	3	1	3	2	4	11	6	7	2									
		2.09%	2.36%	3.61%	1.55%	2.09%	3.41%	1.60%	2.27%	3.01%	0.81%	0.00%	0.86%	3.08%	1.23%	2.55%	3.59%	1.38%	2.87%	1.62%	1.71%	1.91%	2.48%	0.95%	1.92%	2.98%	2.63%	2.63%	2.78%	0.65%	0.45%	2.50%	3.01%	1.10%	1.08%	2.05%	0.95%	0.90%	2.34%	1.98%	2.40%	0.98%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7058	518	303	227	266	142	210	89	204	97	45	280	213	80	254	185	186	134	160	471	316	301	66	182	184	60	60	102	107	114	59	78	142	43	91	156	225	193	202	177	136									
		54.30%	53.24%	52.06%	58.51%	50.47%	48.46%	67.31%	50.57%	55.89%	78.86%	59.21%	60.22%	59.66%	49.08%	54.04%	60.46%	64.36%	48.03%	51.95%	44.86%	46.33%	49.83%	62.86%	69.73%	49.86%	52.63%	52.63%	56.67%	69.93%	51.12%	49.17%	58.65%	52.21%	46.24%	62.33%	74.29%	50.45%	40.98%	66.67%	60.62%	66.67%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	95	9	10	3	7	1	3	0	0	0	0	4	1	1	2	1	0	1	7	4	2	3	2	1	5	0	0	3	1	3	1	3	1	3	0	2	1	3	3	3	1									
		0.73%	0.92%	1.72%	0.77%	1.33%	0.34%	0.96%	0.00%	0.00%	0.00%	0.00%	0.86%	0.28%	0.61%	0.43%	0.33%	0.00%	0.36%	2.27%	0.38%	0.29%	0.50%	1.90%	0.38%	1.36%	0.00%	0.00%	1.67%	0.65%	1.35%	0.83%	2.26%	0.37%	3.23%	0.00%	0.95%	0.22%	0.64%	0.99%	1.03%	0.49%									
24	"6. Политическая партия ""Гражданская Платформа"""	52	2	2	2	2	2	1	2	1	0	0	0	1	1	0	0	1	4	6	0	4	1	1	1	1	0	1	0	0	2	1	1	0	5	0	0	1	0	0	3	3									
		0.40%	0.21%	0.34%	0.52%	0.38%	0.68%	0.32%	1.14%	0.27%	0.00%	0.00%	0.00%	0.28%	0.61%	0.00%	0.00%	0.35%	1.43%	1.95%	0.00%	0.59%	0.17%	0.95%	0.38%	0.27%	0.00%	0.88%	0.00%	0.00%	0.90%	0.83%	0.75%	0.00%	5.38%	0.00%	0.00%	0.22%	0.00%	0.00%	1.03%	1.47%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1875	113	65	40	76	51	27	23	53	8	21	71	44	30	65	39	27	50	34	217	118	105	2	33	79	23	16	23	20	26	25	9	33	11	28	6	86	99	40	30	9									
		14.43%	11.61%	11.17%	10.31%	14.42%	17.41%	8.65%	13.07%	14.52%	6.50%	27.63%	15.27%	12.32%	18.40%	13.83%	12.75%	9.34%	17.92%	11.04%	20.67%	17.30%	17.38%	1.90%	12.64%	21.41%	20.18%	14.04%	12.78%	13.07%	11.66%	20.83%	6.77%	12.13%	11.83%	19.18%	2.86%	19.28%	21.02%	13.20%	10.27%	4.41%									
