Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																					
Дата голосования: 04.12.2011																																					
																																					
Наименование Избирательной комиссии:    Железноводская городская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455					
1	"Число избирателей, внесенных в список избирателей"	39170	2300	1147	1376	1523	1444	1202	1224	1619	1582	1971	148	118	583	31	1487	207	513	1966	751	2093	1707	2610	1208	1685	1368	1856	442	1807	1675	1527					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38080	2200	1100	1350	1500	1450	1200	1200	1600	1470	1900	150	150	540	150	1400	230	475	1900	740	2000	1650	2400	1200	1670	1260	1800	455	1790	1650	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	16779	1043	509	667	727	687	564	560	732	691	827	148	104	270	28	594	202	245	811	313	857	702	766	439	571	473	794	442	724	636	653					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2906	406	50	214	50	312	30	15	31	135	379	0	0	15	0	318	0	38	32	47	96	35	60	29	123	42	141	0	60	211	37					
6	Число погашенных избирательных бюллетеней	18395	751	541	469	723	451	606	625	837	644	694	2	46	255	122	488	28	192	1057	380	1047	913	1574	732	976	745	865	13	1006	803	810					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2903	406	50	211	50	312	30	15	31	135	379	0	0	15	0	318	0	38	32	47	96	35	60	29	123	42	141	0	60	211	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	16778	1043	509	667	727	687	564	560	732	691	827	148	104	270	28	594	202	245	811	313	857	702	765	439	571	473	794	442	724	636	653					
9	Число недействительных избирательных бюллетеней	445	26	14	15	21	17	18	16	14	17	14	2	0	3	1	12	4	4	13	11	22	26	22	13	56	9	17	6	16	17	19					
10	Число действительных избирательных бюллетеней	19236	1423	545	863	756	982	576	559	749	809	1192	146	104	282	27	900	198	279	830	349	931	711	803	455	638	506	918	436	768	830	671					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	292	20	10	10	10	10	10	10	11	10	10	0	0	5	0	10	0	15	25	5	15	15	15	10	10	10	16	0	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	210	18	4	10	10	7	8	6	11	2	7	0	0	3	0	6	0	10	15	5	14	11	9	7	4	6	13	0	8	6	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	594	5	10	11	11	2	7	7	7	95	11	57	56	33	18	60	74	18	7	8	12	9	5	4	2	9	20	0	12	13	11					
14	Число погашенных неиспользованных открепительных удостоверений	82	2	6	0	0	3	2	4	0	8	3	0	0	2	0	4	0	5	10	0	1	4	6	3	6	4	3	0	2	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	1	0	0	1	1	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2865	168	97	123	115	116	100	104	158	121	156	19	22	53	3	106	37	26	143	72	152	119	124	39	106	77	135	21	135	124	94					
		14.56%	11.59%	17.35%	14.01%	14.80%	11.61%	16.84%	18.09%	20.71%	14.65%	12.94%	12.84%	21.15%	18.60%	10.71%	11.62%	18.32%	9.19%	16.96%	20.00%	15.95%	16.15%	15.03%	8.33%	15.27%	14.95%	14.44%	4.75%	17.22%	14.64%	13.62%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2714	186	112	147	139	109	100	103	112	122	151	5	12	40	2	113	9	66	117	39	132	106	131	68	80	80	95	10	104	95	129					
		13.79%	12.84%	20.04%	16.74%	17.89%	10.91%	16.84%	17.91%	14.68%	14.77%	12.52%	3.38%	11.54%	14.04%	7.14%	12.39%	4.46%	23.32%	13.88%	10.83%	13.85%	14.38%	15.88%	14.53%	11.53%	15.53%	10.16%	2.26%	13.27%	11.22%	18.70%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	267	24	6	12	10	9	16	7	15	8	13	7	0	3	2	16	7	3	13	4	10	8	12	5	13	9	8	1	13	5	8					
		1.36%	1.66%	1.07%	1.37%	1.29%	0.90%	2.69%	1.22%	1.97%	0.97%	1.08%	4.73%	0.00%	1.05%	7.14%	1.75%	3.47%	1.06%	1.54%	1.11%	1.05%	1.09%	1.45%	1.07%	1.87%	1.75%	0.86%	0.23%	1.66%	0.59%	1.16%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5272	342	170	216	218	218	179	169	225	219	264	73	40	89	12	190	82	53	256	99	278	198	229	199	213	146	250	42	216	217	170					
