Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    рабочего поселка (п.г.т.) Прогресс																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11496	256	361	599	795	469	1743	2351	2464	1779	679									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11676	256	364	610	816	477	1777	2393	2502	1795	686									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4168	120	104	192	232	133	620	852	1046	661	208									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	177	5	5	7	19	9	27	53	32	15	5									
6	Число погашенных избирательных бюллетеней	7331	131	255	411	565	335	1130	1488	1424	1119	473									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	177	5	5	7	19	9	27	53	32	15	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4165	120	104	192	232	133	617	852	1046	661	208									
9	Число недействительных избирательных бюллетеней	151	6	5	10	10	2	17	34	33	23	11									
10	Число действительных избирательных бюллетеней	4191	119	104	189	241	140	627	871	1045	653	202									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	136	5	10	15	15	10	15	20	26	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	48	1	2	4	2	1	4	11	20	2	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	24	4	1	0	2	2	3	2	5	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	88	4	8	11	13	9	11	9	6	13	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	1	1	2	5	2	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	38	0	1	0	2	2	6	10	10	4	3									
		0.88%	0.00%	0.92%	0.00%	0.80%	1.41%	0.93%	1.10%	0.93%	0.59%	1.41%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	162	8	6	10	20	6	18	30	42	16	6									
		3.73%	6.40%	5.50%	5.03%	7.97%	4.23%	2.80%	3.31%	3.90%	2.37%	2.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	97	3	2	7	6	2	7	27	25	14	4									
		2.23%	2.40%	1.83%	3.52%	2.39%	1.41%	1.09%	2.98%	2.32%	2.07%	1.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1358	40	29	60	81	52	194	282	357	199	64									
		31.28%	32.00%	26.61%	30.15%	32.27%	36.62%	30.12%	31.16%	33.12%	29.44%	30.05%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	0	0	0	0	0	2	5	8	6	3									
		0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.55%	0.74%	0.89%	1.41%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	1	1	0	0	0	2	1	1	1	1									
		0.18%	0.80%	0.92%	0.00%	0.00%	0.00%	0.31%	0.11%	0.09%	0.15%	0.47%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1202	30	33	53	44	48	190	260	289	186	69									
		27.68%	24.00%	30.28%	26.63%	17.53%	33.80%	29.50%	28.73%	26.81%	27.51%	32.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	0	1	0	0	2	1	0	4	2	0									
		0.23%	0.00%	0.92%	0.00%	0.00%	1.41%	0.16%	0.00%	0.37%	0.30%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	19	0	0	1	1	0	6	3	4	3	1									
		0.44%	0.00%	0.00%	0.50%	0.40%	0.00%	0.93%	0.33%	0.37%	0.44%	0.47%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	1	0	0	0	0	2	3	3	1	1									
		0.25%	0.80%	0.00%	0.00%	0.00%	0.00%	0.31%	0.33%	0.28%	0.15%	0.47%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	0	1	0	1	1	8	2	6	4	1									
		0.55%	0.00%	0.92%	0.00%	0.40%	0.70%	1.24%	0.22%	0.56%	0.59%	0.47%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1073	33	26	54	80	25	161	216	243	190	45									
		24.71%	26.40%	23.85%	27.14%	31.87%	17.61%	25.00%	23.87%	22.54%	28.11%	21.13%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	18	0	0	1	1	0	4	3	3	5	1									
