Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Волоконовская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26323	659	1768	1428	1862	1186	1341	1027	1274	854	369	213	633	486	753	147	159	785	188	453	1750	1944	307	201	889	314	341	398	672	362	659	242	519	625	415	253	211	636									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26016	650	1750	1400	1800	1150	1300	1000	1250	850	365	214	640	485	760	149	160	785	188	455	1700	1900	310	200	885	315	345	395	670	360	660	245	535	625	415	255	210	640									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19281	499	1177	1157	1137	855	920	677	988	653	265	138	473	329	485	84	144	660	170	325	1496	1581	264	134	547	234	166	234	429	255	524	178	391	498	342	218	147	507									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3135	115	56	56	126	68	81	47	104	148	67	57	126	141	137	62	11	74	15	100	115	132	41	57	174	55	129	105	148	76	43	38	102	85	61	28	53	102									
6	Число погашенных избирательных бюллетеней	3600	36	517	187	537	227	299	276	158	49	33	19	41	15	138	3	5	51	3	30	89	187	5	9	164	26	50	56	93	29	93	29	42	42	12	9	10	31									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3135	115	56	56	126	68	81	47	104	148	67	57	126	141	137	62	11	74	15	100	115	132	41	57	174	55	129	105	148	76	43	38	102	85	61	28	53	102									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19281	499	1177	1157	1137	855	920	677	988	653	265	138	473	329	485	84	144	660	170	325	1496	1581	264	134	547	234	166	234	429	255	524	178	391	498	342	218	147	507									
9	Число недействительных избирательных бюллетеней	366	14	18	14	25	18	14	21	27	14	7	1	17	0	8	7	10	2	1	0	6	12	3	2	12	5	3	11	9	3	8	1	6	9	8	6	11	33									
10	Число действительных избирательных бюллетеней	22050	600	1215	1199	1238	905	987	703	1065	787	325	194	582	470	614	139	145	732	184	425	1605	1701	302	189	709	284	292	328	568	328	559	215	487	574	395	240	189	576									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	398	10	28	15	20	15	20	15	15	15	10	5	10	5	10	5	5	10	5	5	10	20	5	5	10	5	10	5	10	5	20	5	35	10	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	281	10	28	8	16	10	16	3	7	11	10	4	10	5	3	2	3	10	3	5	6	13	4	0	2	0	7	3	7	2	20	5	35	4	2	2	2	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	123	0	12	13	13	4	5	4	9	3	5	2	1	0	0	1	2	1	2	2	3	11	0	2	5	2	2	4	4	2	1	0	0	3	2	0	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	117	0	0	7	4	5	4	12	8	4	0	1	0	0	7	3	2	0	2	0	4	7	1	5	8	5	3	2	3	3	0	0	0	6	3	3	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	9	4	5	1	2	0	3	0	0	0	1	0	0	0	0	0	0	0	5	3	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																
