Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    Коломенская																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849					
1	"Число избирателей, внесенных в список"	34913	974	1892	1563	881	1432	289	1313	1112	264	612	1258	1083	1426	1065	522	636	1079	2529	1969	790	2188	652	519	647	976	264	2109	806	922	308	620	258	1536	419					
2	Число полученных избирательных бюллетеней	35035	965	1875	1575	885	1435	295	1320	1105	260	625	1260	1080	1425	1045	525	640	1080	2585	2000	775	2210	650	520	650	980	265	2085	810	940	305	630	260	1555	420					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18457	490	946	1210	361	690	231	733	644	155	254	755	605	750	460	263	381	545	1522	858	290	1247	301	246	276	556	124	1292	370	499	128	261	123	687	204					
5	"Число избирательных бюллетеней, выданных вне помещения"	3018	72	120	7	170	116	2	84	82	24	182	55	47	45	153	13	26	114	135	312	140	71	58	69	105	41	42	20	142	63	103	164	22	180	39					
6	Число погашенных избирательных бюллетеней	13560	403	809	358	354	629	62	503	379	81	189	450	428	630	432	249	233	421	928	830	345	892	291	205	269	383	99	773	298	378	74	205	115	688	177					
7	Число избирательных бюллетеней в переносных ящиках	3018	72	120	7	170	116	2	84	82	24	182	55	47	45	153	13	26	114	135	312	140	71	58	69	105	41	42	20	142	63	103	164	22	180	39					
8	Число бюллетеней в стационарных ящиках для голосования	18453	490	946	1210	361	690	231	733	644	155	254	755	605	750	460	263	381	545	1522	856	290	1247	301	246	276	556	124	1290	370	499	128	261	123	687	204					
9	Число недействительных избирательных бюллетеней	191	4	9	12	5	4	1	5	3	2	1	0	8	8	2	3	10	3	14	36	5	5	4	2	5	8	2	13	0	3	2	2	0	8	2					
10	Число действительных избирательных бюллетеней	21280	558	1057	1205	526	802	232	812	723	177	435	810	644	787	611	273	397	656	1643	1132	425	1313	355	313	376	589	164	1297	512	559	229	423	145	859	241					
11	Число полученных открепительных  удостоверений	1450	35	60	60	35	45	40	45	45	15	35	45	45	45	45	35	35	45	95	60	35	65	35	35	35	35	25	85	35	35	25	35	20	60	25					
12	Число выданных открепительных удостоверений	471	10	12	5	0	13	19	8	14	0	12	9	2	10	12	9	4	11	95	39	5	22	2	3	5	5	0	70	10	20	9	10	1	23	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	182	12	12	1	7	7	4	2	5	2	3	5	8	4	9	2	1	2	15	15	10	4	2	6	5	1	1	11	8	2	3	2	2	7	2					
14	Число неиспользованных открепительных удостоверений	979	25	48	55	35	32	21	37	31	15	23	36	43	35	33	26	31	34	0	21	30	43	33	32	30	30	25	15	25	15	16	25	19	37	23					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	760	22	57	30	17	28	7	16	24	5	19	20	16	30	27	7	14	17	92	78	16	24	21	6	13	8	3	57	11	15	9	11	2	33	5					
		3.54%	3.91%	5.35%	2.47%	3.20%	3.47%	3.00%	1.96%	3.31%	2.79%	4.36%	2.47%	2.45%	3.77%	4.40%	2.54%	3.44%	2.58%	5.55%	6.68%	3.72%	1.82%	5.85%	1.90%	3.41%	1.34%	1.81%	4.35%	2.15%	2.67%	3.90%	2.59%	1.38%	3.81%	2.06%					
19	. Малышкин Олег Александрович	385	15	11	21	7	19	13	22	22	8	12	6	9	11	12	1	8	11	23	29	4	22	3	6	6	13	5	26	10	7	2	5	2	11	3					
		1.79%	2.67%	1.03%	1.73%	1.32%	2.36%	5.58%	2.69%	3.03%	4.47%	2.75%	0.74%	1.38%	1.38%	1.96%	0.36%	1.97%	1.67%	1.39%	2.48%	0.93%	1.67%	0.84%	1.90%	1.57%	2.18%	3.01%	1.98%	1.95%	1.25%	0.87%	1.18%	1.38%	1.27%	1.23%					
20	. Миронов Сергей Михайлович	127	6	6	5	3	3	0	6	5	0	1	2	4	3	3	2	3	3	10	17	4	5	4	3	3	5	1	10	1	3	1	1	0	3	1					
