Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Чаплыгинская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25169	2491	2673	2395	2558	310	283	405	346	85	229	531	572	268	326	320	249	319	1257	1517	1117	856	383	428	300	64	690	286	410	245	102	798	254	329	867	804	102									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25300	2502	2668	2421	2552	307	280	409	349	86	234	535	573	274	328	319	254	325	1269	1525	1115	867	381	430	302	62	695	289	414	259	100	803	255	328	868	818	104									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11589	1008	1325	1047	1202	93	102	184	144	27	94	231	266	115	93	125	91	178	613	825	594	571	108	148	171	33	271	183	183	155	65	313	147	46	325	453	60									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4332	192	152	109	96	102	73	105	55	28	122	208	182	91	100	117	83	116	152	157	126	219	167	231	74	25	222	89	115	61	29	200	89	214	133	67	31									
6	Число погашенных избирательных бюллетеней	9379	1302	1191	1265	1254	112	105	120	150	31	18	96	125	68	135	77	80	31	504	543	395	77	106	51	57	4	202	17	116	43	6	290	19	68	410	298	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4332	192	152	109	96	102	73	105	55	28	122	208	182	91	100	117	83	116	152	157	126	219	167	231	74	25	222	89	115	61	29	200	89	214	133	67	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11588	1007	1325	1047	1202	93	102	184	144	27	94	231	266	115	93	125	91	178	613	825	594	571	108	148	171	33	271	183	183	155	65	313	147	46	325	453	60									
9	Число недействительных избирательных бюллетеней	234	26	29	11	19	0	3	1	3	6	6	0	3	11	0	1	0	8	13	19	12	2	0	0	10	0	2	1	2	0	5	3	4	3	16	15	0									
10	Число действительных избирательных бюллетеней	15686	1173	1448	1145	1279	195	172	288	196	49	210	439	445	195	193	241	174	286	752	963	708	788	275	379	235	58	491	271	296	216	89	510	232	257	442	505	91									
