Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																					
Дата голосования: 18.09.2016																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Армавирская 																																																																																					
																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																					
																																																																																					
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №498	УИК №499									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	125961	1750	1494	1774	1469	1816	1016	1071	1688	1395	2025	1349	1402	1947	731	994	1867	2089	2564	1937	2024	1727	2742	2341	2267	1927	2004	1974	1505	2190	2057	1911	1801	1636	2264	2236	1354	1895	2471	2450	2588	2188	2344	2437	1335	1632	1695	2104	1700	1693	1807	1797	2342	1823	2626	1138	2475	2584	1834	1553	1318	1991	510	1645	624	1088	428	125	2488	560	511	1748	1145	631	300									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	125590	1900	1500	1700	1400	1800	1000	1000	1600	1400	2000	1300	1300	1900	700	1000	1800	2000	2600	1900	2000	1700	2700	2300	2300	1900	2000	2000	1500	2000	2000	2200	1800	1600	2200	2200	1300	1900	2500	2400	2600	2200	2300	2400	2500	1600	1700	2100	1700	1600	1800	1800	2400	1800	2500	1100	2500	2400	1900	1700	1500	2000	500	1300	600	1100	400	140	2400	500	500	1700	1100	650	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	52662	602	612	535	492	729	473	425	700	561	948	471	618	689	276	342	733	854	934	749	730	479	935	1133	797	581	1067	994	659	1186	736	748	578	386	775	893	522	732	916	929	1025	856	1600	834	1244	601	665	810	544	658	845	1107	897	742	945	557	1166	1386	939	548	514	1210	296	894	289	364	230	88	994	215	242	761	329	448	300									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	6781	88	64	63	160	39	66	21	16	58	34	70	116	79	99	44	45	147	119	31	163	74	109	57	122	100	320	36	133	45	42	138	79	84	93	65	41	75	153	93	123	136	189	170	91	40	47	98	101	88	140	61	149	48	32	21	217	29	200	135	33	61	53	28	48	134	15	6	68	42	65	237	312	183	0									
6	Число погашенных избирательных бюллетеней	66147	1210	824	1102	748	1032	461	554	884	781	1018	759	566	1132	325	614	1022	999	1547	1120	1107	1147	1656	1110	1381	1219	613	970	708	769	1222	1314	1143	1130	1332	1242	737	1093	1431	1378	1452	1208	511	1396	1165	959	988	1192	1055	854	815	632	1354	1010	1523	522	1117	985	761	1017	953	729	151	378	263	602	155	46	1338	243	193	702	459	19	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	6781	88	64	63	160	39	66	21	16	58	34	70	116	79	99	44	45	147	119	31	163	74	109	57	122	100	320	36	133	45	42	138	79	84	93	65	41	75	153	93	123	136	189	170	91	40	47	98	101	88	140	61	149	48	32	21	217	29	200	135	33	61	53	28	48	134	15	6	68	42	65	237	312	183	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	52543	602	612	535	492	729	473	425	700	561	948	471	618	689	276	342	688	854	934	749	730	479	928	1133	797	581	1067	993	659	1186	736	748	577	386	775	828	522	732	916	929	1025	856	1600	834	1244	601	665	810	544	658	845	1107	897	742	945	557	1166	1386	939	548	514	1210	296	894	289	364	230	88	994	215	242	761	329	448	300									
9	Число недействительных избирательных бюллетеней	1447	24	36	13	22	15	12	12	5	10	26	18	15	20	27	8	60	7	36	20	31	17	9	54	26	14	22	6	7	36	26	30	11	19	28	0	15	11	25	25	5	19	20	29	25	12	22	5	23	26	33	28	30	13	41	12	21	32	21	11	17	22	0	44	13	28	9	2	21	4	1	10	6	41	3									
10	Число действительных избирательных бюллетеней	57877	666	640	585	630	753	527	434	711	609	956	523	719	748	348	378	673	994	1017	760	862	536	1028	1136	893	667	1365	1023	785	1195	752	856	645	451	840	893	548	796	1044	997	1143	973	1769	975	1310	629	690	903	622	720	952	1140	1016	777	936	566	1362	1383	1118	672	530	1249	349	878	324	470	236	92	1041	253	306	988	635	590	297									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1891	20	20	20	20	30	15	17	20	20	25	34	10	30	10	10	25	30	40	30	30	25	40	35	35	25	30	30	20	30	30	30	25	20	35	35	20	30	35	35	40	35	35	35	40	25	25	35	25	25	25	25	35	25	40	22	40	35	25	25	20	30	10	50	15	15	7	13	40	3	10	25	15	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1454	16	14	13	12	29	15	17	18	12	25	30	8	30	4	10	20	12	22	27	12	25	40	32	28	21	30	30	20	30	29	30	20	10	14	13	20	30	35	14	22	20	23	16	40	18	17	19	16	17	24	20	35	25	20	22	40	35	7	19	7	30	7	31	15	7	7	13	20	3	10	25	7	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1129	3	6	18	26	14	30	13	19	16	24	5	117	15	7	11	12	5	6	7	12	11	19	5	15	14	21	17	10	11	10	7	9	6	15	8	17	13	18	11	7	18	12	18	20	10	6	13	10	11	21	14	28	9	16	11	21	51	7	11	5	6	6	6	4	9	6	1	8	13	8	7	16	112	5									
14	Число погашенных неиспользованных открепительных удостоверений	437	4	6	7	8	1	0	0	2	8	0	4	2	0	6	0	5	18	18	3	18	0	0	3	7	4	0	0	0	0	1	0	5	10	21	22	0	0	0	21	18	15	12	19	0	7	8	16	9	8	1	5	0	0	20	0	0	0	18	6	13	0	3	19	0	8	0	0	20	0	0	0	8	0	0									
