Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Кетовская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №1187	УИК №1188					
1	"Число избирателей, внесенных в списки избирателей"	42757	1091	1095	1433	1419	1246	444	1399	1500	1169	581	313	793	411	1160	524	631	545	359	806	227	698	960	227	181	259	885	252	1493	286	1958	1684	103	192	2091	1426	439	633	175	1978	146	1649	884	1144	292	476	452	483	1058	411	2068	103	114	135	107	169					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	40900	1050	1100	1400	1350	1200	400	1050	1300	1130	580	300	770	400	1150	500	600	530	320	750	200	680	920	200	150	250	880	250	1470	250	1900	1550	80	170	2050	1400	420	630	150	1900	120	1600	880	1120	300	450	450	450	1050	400	2020	100	100	130	100	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	24070	637	607	703	651	725	294	1035	1025	657	319	151	382	220	631	341	326	268	219	530	113	423	596	154	127	162	483	163	749	209	1054	820	77	109	1031	799	254	339	96	1051	87	805	566	644	133	236	331	354	560	222	1155	91	83	97	75	101					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1823	32	39	51	51	38	7	3	22	18	11	39	19	40	32	14	27	61	28	35	15	15	25	20	7	19	46	10	53	7	27	141	3	16	47	19	20	37	6	87	0	117	54	86	59	39	31	40	46	81	56	4	0	0	23	0					
6	Число погашенных избирательных бюллетеней	15007	381	454	646	648	437	99	12	253	455	250	110	369	140	487	145	247	201	73	185	72	242	299	26	16	69	351	77	668	34	819	589	0	45	972	582	146	254	48	762	33	678	260	390	108	175	88	56	444	97	809	5	17	33	2	149					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1823	32	39	51	51	38	7	3	22	18	11	39	19	40	32	14	27	61	28	35	15	15	25	20	7	19	46	10	53	7	27	141	3	16	47	19	20	37	6	87	0	117	54	86	59	39	31	40	46	81	56	4	0	0	23	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24067	637	607	703	651	725	294	1035	1025	657	319	151	382	220	631	341	326	268	219	530	113	423	596	154	127	162	483	163	749	209	1052	820	77	109	1031	799	254	339	96	1051	87	804	566	644	133	236	331	354	560	222	1155	91	83	97	75	101					
9	Число недействительных избирательных бюллетеней	199	12	4	4	6	9	2	5	8	5	0	0	2	1	2	3	1	2	0	10	2	3	5	3	0	1	3	0	6	3	7	5	0	0	19	9	3	1	0	15	0	9	2	2	0	3	3	0	1	1	14	0	0	0	3	0					
10	Число действительных избирательных бюллетеней	25691	657	642	750	696	754	299	1033	1039	670	330	190	399	259	661	352	352	327	247	555	126	435	616	171	134	180	526	173	796	213	1072	956	80	125	1059	809	271	375	102	1123	87	912	618	728	192	272	359	394	605	302	1197	95	83	97	95	101					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	599	10	10	14	10	15	5	30	30	13	5	5	5	5	10	5	8	5	5	10	5	6	20	10	5	5	10	5	15	5	20	20	5	5	30	15	5	5	5	30	10	20	15	15	5	5	25	15	20	5	20	3	5	5	5	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	493	10	10	14	10	15	4	24	23	9	3	5	5	2	4	3	6	5	3	6	1	6	20	8	0	2	10	3	15	4	20	15	2	1	30	15	5	5	1	28	5	17	13	15	5	5	25	15	13	3	20	0	1	2	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	567	7	6	7	12	17	7	83	123	13	7	5	7	8	5	1	6	4	4	14	5	4	15	11	3	2	10	0	5	8	6	8	7	5	13	5	3	5	5	14	1	5	5	10	2	3	5	1	7	3	12	0	1	0	2	40					
14	Число погашенных неиспользованных открепительных удостоверений	106	0	0	0	0	0	1	6	7	4	2	0	0	3	6	2	2	0	2	4	4	0	0	2	5	3	0	2	0	1	0	5	3	4	0	0	0	0	4	2	5	3	2	0	0	0	0	0	7	2	0	3	4	3	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																														
