Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Мосальская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6396	1624	1604	192	240	284	168	179	149	339	106	363	95	153	245	287	148	220									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6820	1650	1600	210	260	280	180	230	190	380	110	400	120	170	320	330	150	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3318	815	763	102	112	173	79	118	89	121	72	221	66	90	166	112	86	133									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	914	106	45	47	78	29	34	38	51	96	20	62	22	38	58	108	28	54									
6	Число погашенных избирательных бюллетеней	2588	729	792	61	70	78	67	74	50	163	18	117	32	42	96	110	36	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	914	106	45	47	78	29	34	38	51	96	20	62	22	38	58	108	28	54									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3316	814	763	102	112	173	79	118	89	121	72	221	66	90	166	112	86	132									
9	Число недействительных избирательных бюллетеней	73	20	24	1	2	9	0	0	3	3	0	4	0	0	2	5	0	0									
10	Число действительных избирательных бюллетеней	4157	900	784	148	188	193	113	156	137	214	92	279	88	128	222	215	114	186									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	559	60	61	20	25	12	15	46	29	45	10	40	10	20	90	41	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	553	60	61	20	25	12	15	46	29	45	10	40	8	20	86	41	15	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	97	25	13	1	2	6	3	1	7	1	7	5	8	3	2	5	7	1									
14	Число погашенных неиспользованных открепительных удостоверений	6	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	141	12	13	0	10	4	2	1	27	5	3	17	28	2	0	17	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	19	11	6	2	6	0	0	4	0	0	4	0	0	0	5	2	1									
		1.42%	2.07%	1.36%	4.03%	1.05%	2.97%	0.00%	0.00%	2.86%	0.00%	0.00%	1.41%	0.00%	0.00%	0.00%	2.27%	1.75%	0.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	114	22	26	4	7	6	5	4	4	6	5	7	4	3	2	4	2	3									
		2.70%	2.39%	3.22%	2.68%	3.68%	2.97%	4.42%	2.56%	2.86%	2.76%	5.43%	2.47%	4.55%	2.34%	0.89%	1.82%	1.75%	1.61%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	66	17	15	0	8	3	3	0	1	2	2	8	1	2	2	0	0	2									
		1.56%	1.85%	1.86%	0.00%	4.21%	1.49%	2.65%	0.00%	0.71%	0.92%	2.17%	2.83%	1.14%	1.56%	0.89%	0.00%	0.00%	1.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2460	467	387	97	119	98	68	112	89	141	51	171	43	95	160	160	71	131									
		58.16%	50.76%	47.90%	65.10%	62.63%	48.51%	60.18%	71.79%	63.57%	64.98%	55.43%	60.42%	48.86%	74.22%	71.43%	72.73%	62.28%	70.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	4	4	2	1	0	0	0	0	1	0	0	0	0	1	0	1	0									
		0.33%	0.43%	0.50%	1.34%	0.53%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.88%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	1	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1									
		0.14%	0.11%	0.00%	0.00%	0.53%	0.00%	0.88%	0.00%	0.00%	0.00%	2.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	696	180	185	25	27	28	8	24	19	28	13	36	20	19	14	32	17	21									
		16.45%	19.57%	22.90%	16.78%	14.21%	13.86%	7.08%	15.38%	13.57%	12.90%	14.13%	12.72%	22.73%	14.84%	6.25%	14.55%	14.91%	11.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	5	6	0	1	0	3	0	2	0	0	0	0	0	0	0	0	1									
		0.43%	0.54%	0.74%	0.00%	0.53%	0.00%	2.65%	0.00%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	27	6	6	0	2	4	3	0	1	0	1	1	1	0	2	0	0	0									
		0.64%	0.65%	0.74%	0.00%	1.05%	1.98%	2.65%	0.00%	0.71%	0.00%	1.09%	0.35%	1.14%	0.00%	0.89%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.07%	0.11%	0.12%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	25	3	6	0	0	0	4	0	1	4	0	0	2	0	3	2	0	0									
		0.59%	0.33%	0.74%	0.00%	0.00%	0.00%	3.54%	0.00%	0.71%	1.84%	0.00%	0.00%	2.27%	0.00%	1.34%	0.91%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	555	137	113	10	18	38	17	16	14	32	11	45	17	7	30	9	17	24									
		13.12%	14.89%	13.99%	6.71%	9.47%	18.81%	15.04%	10.26%	10.00%	14.75%	11.96%	15.90%	19.32%	5.47%	13.39%	4.09%	14.91%	12.90%									
