Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Мишкинская																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17068	294	128	206	191	155	565	240	439	453	772	592	678	1363	1144	472	417	253	212	546	375	397	172	463	145	260	461	338	138	449	319	300	406	623	253	386	364	128	665	192	181	191	114	109	400	119									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19850	327	154	227	201	180	626	293	508	497	849	649	806	1537	1305	576	459	311	309	597	399	431	199	491	180	294	527	386	158	570	418	393	487	792	284	432	373	158	870	256	212	223	143	132	491	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13276	247	113	171	161	139	438	200	289	301	572	492	572	1185	680	374	326	218	187	387	230	242	128	394	130	201	439	211	94	340	263	214	292	497	245	317	312	107	515	155	154	157	98	87	313	89									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1281	30	11	17	13	12	35	19	36	45	45	23	34	40	45	29	41	9	10	69	49	21	19	29	12	42	9	56	19	40	21	44	50	63	2	24	12	12	55	19	17	19	14	8	44	18									
6	Число погашенных избирательных бюллетеней	5293	50	30	39	27	29	153	74	183	151	232	134	200	312	580	173	92	84	112	141	120	168	52	68	38	51	79	119	45	190	134	135	145	232	37	91	49	39	300	82	41	47	31	37	134	33									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1281	30	11	17	13	12	35	19	36	45	45	23	34	40	45	29	41	9	10	69	49	21	19	29	12	42	9	56	19	40	21	44	50	63	2	24	12	12	55	19	17	19	14	8	44	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13276	247	113	171	161	139	438	200	289	301	572	492	572	1185	680	374	326	218	187	387	230	242	128	394	130	201	439	211	94	340	263	214	292	497	245	317	312	107	515	155	154	157	98	87	313	89									
9	Число недействительных избирательных бюллетеней	178	3	0	3	0	1	8	0	2	7	6	5	7	28	19	10	1	3	6	3	2	1	3	2	0	26	4	5	0	5	0	0	3	3	0	4	0	0	1	3	0	2	0	2	0	0									
10	Число действительных избирательных бюллетеней	14379	274	124	185	174	150	465	219	323	339	611	510	599	1197	706	393	366	224	191	453	277	262	144	421	142	217	444	262	113	375	284	258	339	557	247	337	324	119	569	171	171	174	112	93	357	107									
