Выборы Президента Российской Федерации																																																																																																												
Дата голосования: 04.03.2012																																																																																																												
																																																																																																												
Наименование Избирательной комиссии:    Калининград, Московская																																																																																																												
																																																																																																												
Сводная таблица итогов голосования																																																																																																												
																																																																																																												
	Число участковых избирательных комиссий	97																																																																																																										
	Число участковых избирательных комиссий, приступивших к передаче сведений	97																																																																																																										
																																																																																																												
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739									
1	Число избирателей, включенных в список избирателей	126924	2594	2800	2277	1406	2834	1969	2093	2771	2550	2249	1795	2225	2270	1023	421	1521	2684	2383	1754	1259	1908	1871	1654	2578	2234	2542	817	2127	1003	2461	2104	1969	1876	2489	1781	2330	2516	2185	2798	2096	2372	1361	2124	2469	2084	2432	2065	2514	2415	2493	2786	2964	2442	2602	3007	2011	1973	2107	1055	17	17	33	14	72	73	35	72	72	70	70	95	37	15	17	17	17	18	15	11	11	12	11	12	69	70	67	69	17	39	25	22	67	29	42	42	29	11									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	102657	2000	2200	1800	1100	2300	1600	1700	2200	2100	1800	1500	1800	1800	800	500	1200	2100	1900	1400	1000	1600	1500	1300	2100	1800	1900	900	1700	800	2000	1700	1600	1500	2000	1500	1900	2000	1800	2300	1700	1900	1100	1700	2000	1700	2000	1700	2000	2000	2000	2200	2400	1900	2100	2400	1500	1600	1700	900	17	19	33	14	73	73	37	72	74	72	71	95	37	15	17	17	17	18	15	11	11	13	11	12	73	72	67	71	17	43	26	22	67	30	43	42	29	11									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	75052	1412	1572	1112	758	1682	1052	1055	1519	1597	1366	1019	1322	1327	589	377	920	1521	1332	1018	617	1134	1192	945	1468	1251	1375	624	1233	595	1551	1343	1198	1180	1425	1182	1416	1386	1241	1583	1180	1330	764	1191	1392	1062	1500	1260	1478	1412	1428	1790	1865	1329	1466	2322	1315	1191	1288	591	17	17	33	14	67	69	35	72	69	70	65	95	34	15	17	17	17	18	15	11	11	12	11	12	69	70	66	69	17	39	24	22	67	29	42	42	29	11									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1019	98	14	11	6	8	25	14	17	11	20	15	24	14	3	0	7	15	11	15	4	12	14	20	13	15	12	6	8	8	15	22	11	22	30	6	15	31	24	29	16	25	6	13	25	21	20	17	21	15	21	10	11	57	14	32	6	22	13	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	26583	490	614	675	336	610	523	631	664	492	414	466	454	459	208	123	273	564	557	367	379	454	294	335	619	534	513	270	459	197	434	335	391	297	545	312	469	583	535	688	504	545	330	496	583	617	480	423	501	573	551	400	524	514	620	46	179	387	399	300	0	2	0	0	6	4	2	0	5	2	6	0	3	0	0	0	0	0	0	0	0	1	0	0	4	2	1	2	0	4	2	0	0	1	1	0	0	0									
