Выборы Президента Российской Федерации																																			
																																			
"Наименование Избирательной комиссии:    Калининград, Московская"																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273					
1	"Число избирателей, внесенных в список"	66848	2429	2479	2161	2109	2223	2172	2434	2710	2345	2529	2681	2877	1671	1860	2315	2028	2465	2120	2662	2666	2777	2771	2925	2155	2683	2484	1997	2120					
2	Число полученных избирательных бюллетеней	62000	2300	2300	2000	1900	2100	2000	2300	2500	2200	2300	2500	2600	1500	1700	2100	1900	2300	2000	2500	2500	2600	2600	2700	2000	2500	2400	1700	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33265	1346	1257	1160	1154	1095	1063	1077	1420	1071	1157	1352	1297	731	721	1095	918	1300	1063	1239	1305	1294	1424	1545	892	1215	1888	1133	1053					
5	"Число избирательных бюллетеней, выданных вне помещения"	512	20	29	27	21	27	9	8	22	19	37	32	28	15	19	25	20	15	10	7	13	23	6	12	32	10	6	4	16					
6	Число погашенных избирательных бюллетеней	28223	934	1014	813	725	978	928	1215	1058	1110	1106	1116	1275	754	960	980	962	985	927	1254	1182	1283	1170	1143	1076	1275	506	563	931					
7	Число избирательных бюллетеней в переносных ящиках	512	20	29	27	21	27	9	8	22	19	37	32	28	15	19	25	20	15	10	7	13	23	6	12	32	10	6	4	16					
8	Число бюллетеней в стационарных ящиках для голосования	33241	1346	1257	1160	1154	1093	1063	1076	1417	1070	1154	1352	1296	731	721	1095	918	1299	1063	1238	1305	1294	1422	1544	891	1213	1884	1133	1052					
9	Число недействительных избирательных бюллетеней	224	10	9	7	4	4	6	5	9	5	13	10	15	5	12	5	9	11	3	12	10	12	5	5	3	11	12	4	8					
10	Число действительных избирательных бюллетеней	33529	1356	1277	1180	1171	1116	1066	1079	1430	1084	1178	1374	1309	741	728	1115	929	1303	1070	1233	1308	1305	1423	1551	920	1212	1878	1133	1060					
