Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Сурская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13490	591	230	143	420	80	89	603	288	61	177	151	260	322	58	860	88	359	1586	1623	853	1334	235	456	209	123	123	129	264	193	226	121	94	395	194	184	368									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14355	640	270	170	440	90	100	640	310	65	180	160	270	370	60	920	90	390	1630	1670	920	1370	230	500	220	150	120	140	290	210	250	130	110	430	210	210	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8273	479	127	100	188	50	55	284	179	49	119	115	132	205	42	559	67	213	960	867	718	596	143	322	121	63	89	51	149	84	172	76	44	255	136	152	312									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2378	67	45	28	44	25	16	135	79	5	30	13	11	80	10	130	14	45	161	128	92	383	33	69	70	41	14	52	87	98	42	45	48	125	45	27	41									
6	Число погашенных избирательных бюллетеней	3704	94	98	42	208	15	29	221	52	11	31	32	127	85	8	231	9	132	509	675	110	391	54	109	29	46	17	37	54	28	36	9	18	50	29	31	47									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2378	67	45	28	44	25	16	135	79	5	30	13	11	80	10	130	14	45	161	128	92	383	33	69	70	41	14	52	87	98	42	45	48	125	45	27	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8273	479	127	100	188	50	55	284	179	49	119	115	132	205	42	559	67	213	960	867	718	596	143	322	121	63	89	51	149	84	172	76	44	255	136	152	312									
9	Число недействительных избирательных бюллетеней	122	6	2	0	0	0	0	13	3	0	0	7	0	4	0	5	0	9	14	5	4	11	2	0	0	4	1	2	2	0	2	1	15	0	9	1	0									
10	Число действительных избирательных бюллетеней	10529	540	170	128	232	75	71	406	255	54	149	121	143	281	52	684	81	249	1107	990	806	968	174	391	191	100	102	101	234	182	212	120	77	380	172	178	353									
