Выборы Президента Российской Федерации																																																																																																																																																				
																																																																																																																																																				
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																																																																				
																																																																																																																																																				
Итоги голосования 																																																																																																																																																				
																																																																																																																																																				
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808					
1	"Число избирателей, внесенных в список"	49297	1118	2629	2421	2442	2106	2451	1486	1157	1246	1228	671	1712	1027	2589	1879	2267	2516	2394	2111	2348	1784	522	1426	1532	284	442	109	81	329	689	650	360	88	22	63	24	23	28	21	26	23	18	26	26	25	38	21	22	31	30	26	24	24	22	24	24	29	22	29	23	21	20	23	20	123	21	23	23	26	21	23	21	24	26	34	26	67	22	23	30	26	21	51	23	30	26	30	42	24	23	28	31	23	25	26	21	21	22	30	24	26	22	26	25	27	20	166	29	21	24	20	25	52	23	28	27	25	24	26	24	25	67	135	26	26	23	23	26	25	23	23	25	24	29	26	29	27	26	19	19	19					
2	Число полученных избирательных бюллетеней	47736	1750	2300	2250	2200	1850	2100	1250	1050	1050	1100	600	1550	850	2300	1750	2000	2300	2200	1850	2100	2350	600	1350	1650	300	600	150	100	500	800	1000	600	100	22	63	24	23	28	21	26	23	18	26	26	25	38	21	22	31	30	26	24	24	22	24	24	29	22	29	23	21	20	23	20	123	21	23	23	26	21	23	21	24	26	34	26	67	22	23	30	26	21	51	23	33	26	30	42	24	23	28	31	23	25	26	21	21	22	30	24	26	22	26	25	27	20	180	40	21	24	20	25	52	23	28	27	25	24	26	24	25	67	135	26	26	23	23	26	25	23	23	25	24	29	26	29	27	26	19	24	19					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33205	1097	1636	1282	1627	1159	1502	1047	686	714	648	402	1019	584	1583	1185	1273	1515	1397	1130	1385	1657	374	929	1170	278	442	109	81	329	686	650	360	88	22	62	24	23	27	21	26	23	18	26	26	25	38	21	22	31	30	26	24	24	22	24	24	29	21	27	23	21	20	23	20	123	21	23	23	26	21	23	21	24	26	34	26	65	22	23	30	26	21	51	20	30	26	30	42	24	22	28	31	23	25	26	21	21	22	29	24	26	22	26	25	27	19	166	29	21	24	20	24	52	23	20	27	25	24	26	24	25	67	135	26	26	23	23	26	25	23	23	25	24	29	26	29	27	26	19	19	19					
5	"Число избирательных бюллетеней, выданных вне помещения"	856	21	35	27	31	18	32	26	29	23	21	24	48	16	33	44	32	59	40	35	33	1	0	167	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	13675	632	629	941	542	673	566	177	335	313	431	174	483	250	684	521	695	726	763	685	682	692	226	254	419	22	158	41	19	171	114	350	240	12	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	14	11	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0					
7	Число избирательных бюллетеней в переносных ящиках	856	21	35	27	31	18	32	26	29	23	21	24	48	16	33	44	32	59	40	35	33	1	0	167	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	33102	1096	1636	1282	1596	1159	1502	1046	686	714	648	402	1019	583	1583	1183	1273	1456	1391	1130	1385	1657	374	929	1170	278	442	109	81	329	685	649	360	88	22	62	24	23	27	21	26	23	18	26	26	25	38	21	22	31	30	26	24	24	22	24	24	29	21	27	23	21	20	23	20	123	21	23	23	26	21	23	21	24	26	34	26	65	22	23	30	26	21	51	20	30	26	30	42	24	22	28	31	23	25	26	21	21	22	29	24	26	22	26	25	27	19	166	29	21	24	20	24	52	23	20	27	25	24	26	24	25	67	135	26	26	23	23	26	25	23	23	25	24	29	26	29	27	26	19	19	19					
9	Число недействительных избирательных бюллетеней	291	15	15	20	10	7	8	0	0	4	6	0	2	1	90	0	8	5	9	4	9	12	0	12	13	3	6	1	1	3	3	4	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	33667	1102	1656	1289	1617	1170	1526	1072	715	733	663	426	1065	598	1526	1227	1297	1510	1422	1161	1409	1646	374	1084	1218	275	436	108	80	326	682	645	359	87	22	62	24	23	27	21	26	22	18	26	25	24	37	21	22	30	30	26	24	24	22	24	24	29	21	25	23	20	20	23	20	123	21	23	23	26	21	23	21	23	25	34	26	64	21	23	30	26	21	51	20	30	26	30	42	24	22	28	29	23	25	25	21	21	22	29	23	26	22	26	25	26	19	166	29	21	24	20	24	52	23	20	27	25	23	26	24	25	67	135	26	26	23	23	26	25	23	23	25	24	29	26	29	27	26	19	19	19					
