Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Долгоруковская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503					
1	"Число избирателей, внесенных в список"	15565	466	118	392	174	566	174	390	271	142	438	167	392	909	2882	751	178	122	457	382	792	828	252	187	515	340	584	173	508	282	399	260	1074					
2	Число полученных избирательных бюллетеней	15565	492	130	394	173	561	174	388	274	140	443	167	389	917	2871	730	177	122	458	377	795	810	248	184	509	351	586	173	504	282	407	266	1073					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8435	310	61	170	74	412	107	123	194	79	219	74	200	591	1742	345	88	51	101	236	373	370	160	132	236	163	322	63	243	105	245	166	680					
5	"Число избирательных бюллетеней, выданных вне помещения"	3796	64	47	146	79	46	42	190	38	30	148	81	109	136	174	198	74	57	239	70	230	210	58	23	185	132	180	86	213	153	104	74	180					
6	Число погашенных избирательных бюллетеней	3334	118	22	78	20	103	25	75	42	31	76	12	80	190	955	187	15	14	118	71	192	230	30	29	88	56	84	24	48	24	58	26	213					
7	Число избирательных бюллетеней в переносных ящиках	3796	64	47	146	79	46	42	190	38	30	148	81	109	136	174	198	74	57	239	70	230	210	58	23	185	132	180	86	213	153	104	74	180					
8	Число бюллетеней в стационарных ящиках для голосования	8434	310	61	170	74	412	107	123	194	79	219	74	200	591	1741	345	88	51	101	236	373	370	160	132	236	163	322	63	243	105	245	166	680					
9	Число недействительных избирательных бюллетеней	90	2	0	0	1	3	1	2	0	0	7	1	12	5	22	3	0	0	0	1	6	4	0	3	2	1	0	2	3	0	4	3	2					
10	Число действительных избирательных бюллетеней	12140	372	108	316	152	455	148	311	232	109	360	154	297	722	1893	540	162	108	340	305	597	576	218	152	419	294	502	147	453	258	345	237	858					
11	Число полученных открепительных  удостоверений	500	14	4	11	5	16	5	11	8	4	14	5	12	26	127	22	5	4	13	11	23	24	7	5	15	10	19	4	15	8	12	8	33					
12	Число выданных открепительных удостоверений	52	0	0	3	0	0	0	1	1	0	1	0	0	14	20	3	0	0	3	0	2	2	0	0	0	2	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	3	1	2	0	2	0	1	0	3	2	1	0	2	20	2	1	2	1	0	0	2	2	0	4	2	3	3	2	0	0	2	0					
14	Число неиспользованных открепительных удостоверений	448	14	4	8	5	16	5	10	7	4	13	5	12	12	107	19	5	4	10	11	21	22	7	5	15	8	19	4	15	8	12	8	33					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	222	2	1	5	2	5	4	5	8	3	10	0	3	14	43	13	5	0	12	7	11	11	2	5	6	5	9	0	4	5	10	3	9					
		1.82%	0.53%	0.93%	1.58%	1.31%	1.09%	2.68%	1.60%	3.45%	2.75%	2.72%	0.00%	0.97%	1.93%	2.25%	2.39%	3.09%	0.00%	3.53%	2.29%	1.82%	1.90%	0.92%	3.23%	1.43%	1.69%	1.79%	0.00%	0.88%	1.94%	2.87%	1.25%	1.05%					
19	. Малышкин Олег Александрович	332	9	3	9	3	16	4	8	4	2	10	2	12	32	52	14	2	2	2	10	16	18	1	0	6	15	12	3	20	11	10	9	15					
		2.71%	2.41%	2.78%	2.85%	1.96%	3.49%	2.68%	2.56%	1.72%	1.83%	2.72%	1.29%	3.88%	4.40%	2.72%	2.58%	1.23%	1.85%	0.59%	3.27%	2.65%	3.10%	0.46%	0.00%	1.43%	5.08%	2.39%	2.01%	4.39%	4.26%	2.87%	3.75%	1.74%					
20	. Миронов Сергей Михайлович	93	1	0	0	1	1	0	4	0	2	5	0	4	8	14	9	0	1	9	4	5	0	1	0	2	4	3	0	1	3	3	2	6					
		0.76%	0.27%	0.00%	0.00%	0.65%	0.22%	0.00%	1.28%	0.00%	1.83%	1.36%	0.00%	1.29%	1.10%	0.73%	1.66%	0.00%	0.93%	2.65%	1.31%	0.83%	0.00%	0.46%	0.00%	0.48%	1.36%	0.60%	0.00%	0.22%	1.16%	0.86%	0.83%	0.70%					
21	. Путин Владимир Владимирович	7745	259	88	227	103	252	77	133	99	57	251	107	169	428	1121	328	116	75	195	168	396	359	172	104	286	190	367	104	319	155	232	163	645					
		63.33%	69.25%	81.48%	71.84%	67.32%	55.02%	51.68%	42.49%	42.67%	52.29%	68.39%	69.03%	54.69%	58.87%	58.54%	60.41%	71.60%	69.44%	57.35%	54.90%	65.67%	61.90%	78.90%	67.10%	67.93%	64.41%	73.11%	69.80%	69.96%	60.08%	66.48%	67.92%	75.00%					
22	. Хакамада Ирина Муцуовна	187	3	0	4	0	7	0	7	5	1	7	0	10	9	37	21	4	3	10	5	9	8	1	1	6	3	1	1	4	1	4	1	14					
		1.53%	0.80%	0.00%	1.27%	0.00%	1.53%	0.00%	2.24%	2.16%	0.92%	1.91%	0.00%	3.24%	1.24%	1.93%	3.87%	2.47%	2.78%	2.94%	1.63%	1.49%	1.38%	0.46%	0.65%	1.43%	1.02%	0.20%	0.67%	0.88%	0.39%	1.15%	0.42%	1.63%					
23	. Харитонов Николай Михайлович	3260	96	16	70	34	161	58	144	112	41	69	44	98	200	538	142	34	23	100	105	149	168	36	42	109	67	107	37	95	76	79	55	155					
