Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Большесосновская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11087	1903	969	625	413	466	214	291	397	452	216	492	345	182	557	288	196	391	1444	384	404	458									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8350	1400	740	470	320	350	170	210	300	340	170	380	260	140	420	210	150	300	1080	290	300	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4252	763	351	207	137	155	88	118	129	181	115	159	137	84	225	158	74	175	532	134	165	165									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	505	14	7	5	21	80	18	5	55	30	11	42	42	5	40	4	5	32	16	21	16	36									
6	Число погашенных избирательных бюллетеней	3593	623	382	258	162	115	64	87	116	129	44	179	81	51	155	48	71	93	532	135	119	149									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	505	14	7	5	21	80	18	5	55	30	11	42	42	5	40	4	5	32	16	21	16	36									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4252	763	351	207	137	155	88	118	129	181	115	159	137	84	225	158	74	175	532	134	165	165									
9	Число недействительных избирательных бюллетеней	175	26	9	5	5	3	3	4	13	12	6	6	7	2	10	4	4	9	25	4	9	9									
10	Число действительных избирательных бюллетеней	4582	751	349	207	153	232	103	119	171	199	120	195	172	87	255	158	75	198	523	151	172	192									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	320	45	30	20	15	10	10	10	10	10	10	15	10	10	15	10	10	10	40	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	67	4	2	7	4	7	1	0	1	3	6	7	2	7	1	1	3	4	5	1	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	9	3	2	0	0	0	0	1	0	0	2	0	1	3	4	1	0	3	2	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	253	41	28	13	11	3	9	10	9	7	4	8	8	3	14	9	7	6	35	9	10	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	4	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	62	11	4	5	2	2	0	0	0	2	0	5	2	3	5	2	0	3	8	3	2	3									
		1.30%	1.42%	1.12%	2.36%	1.27%	0.85%	0.00%	0.00%	0.00%	0.95%	0.00%	2.49%	1.12%	3.37%	1.89%	1.23%	0.00%	1.45%	1.46%	1.94%	1.10%	1.49%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	110	20	8	4	5	3	1	2	2	3	4	4	4	0	5	5	5	7	20	6	1	1									
		2.31%	2.57%	2.23%	1.89%	3.16%	1.28%	0.94%	1.63%	1.09%	1.42%	3.17%	1.99%	2.23%	0.00%	1.89%	3.09%	6.33%	3.38%	3.65%	3.87%	0.55%	0.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	96	21	10	4	4	1	2	2	4	6	3	9	1	3	1	2	0	3	10	4	0	6									
		2.02%	2.70%	2.79%	1.89%	2.53%	0.43%	1.89%	1.63%	2.17%	2.84%	2.38%	4.48%	0.56%	3.37%	0.38%	1.23%	0.00%	1.45%	1.82%	2.58%	0.00%	2.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2429	340	168	116	73	153	61	88	86	125	84	128	71	61	159	70	36	110	218	61	106	115									
		51.06%	43.76%	46.93%	54.72%	46.20%	65.11%	57.55%	71.54%	46.74%	59.24%	66.67%	63.68%	39.66%	68.54%	60.00%	43.21%	45.57%	53.14%	39.78%	39.35%	58.56%	57.21%									
