Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																		
Дата голосования: 04.12.2011																																																		
																																																		
Наименование Избирательной комиссии:    Заларинская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473					
1	"Число избирателей, внесенных в список избирателей"	22620	2004	1094	1559	1744	1396	837	214	386	154	167	297	94	164	98	603	569	835	235	144	101	193	395	233	64	106	387	245	267	209	511	490	181	600	228	98	876	538	249	1736	1577	155	461	126					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22255	2000	1100	1500	1600	1400	800	220	390	150	160	310	95	170	100	620	560	840	230	140	100	195	390	230	65	110	390	240	250	200	500	480	180	600	230	95	880	540	240	1700	1500	160	460	135					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10399	914	382	708	767	487	304	115	253	84	73	178	52	123	82	386	216	352	125	71	33	144	256	119	39	73	174	47	190	116	273	221	82	236	105	61	352	305	112	868	545	80	227	69					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1976	19	9	27	90	26	389	30	60	28	25	52	18	15	8	47	81	48	20	15	29	2	45	53	4	15	70	110	57	41	34	25	42	115	16	0	18	56	18	84	101	17	14	3					
6	Число погашенных избирательных бюллетеней	9880	1067	709	765	743	887	107	75	77	38	62	80	25	32	10	187	263	440	85	54	38	49	89	58	22	22	146	83	3	43	193	234	56	249	109	34	510	179	110	748	854	63	219	63					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1976	19	9	27	90	26	389	30	60	28	25	52	18	15	8	47	81	48	20	15	29	2	45	53	4	15	70	110	57	41	34	25	42	115	16	0	18	56	18	84	101	17	14	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10398	914	382	708	767	487	304	115	253	84	73	178	52	123	82	386	216	352	125	71	33	144	256	119	39	73	174	47	190	116	273	221	82	236	105	61	352	304	112	868	545	80	227	69					
9	Число недействительных избирательных бюллетеней	159	9	10	3	14	7	13	1	4	0	0	1	0	0	1	5	1	7	2	0	0	3	3	4	0	0	3	0	4	2	0	4	0	9	2	0	5	8	0	18	9	2	4	1					
10	Число действительных избирательных бюллетеней	12215	924	381	732	843	506	680	144	309	112	98	229	70	138	89	428	296	393	143	86	62	143	298	168	43	88	241	157	243	155	307	242	124	342	119	61	365	352	130	934	637	95	237	71					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	347	25	7	19	31	11	15	3	17	0	1	18	3	4	6	21	3	11	0	1	0	5	5	2	3	9	15	8	23	1	5	2	3	8	5	0	5	13	2	14	7	3	8	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	347	25	7	19	31	11	15	3	17	0	1	18	3	4	6	21	3	11	0	1	0	5	5	2	3	9	15	8	23	1	5	2	3	8	5	0	5	13	2	14	7	3	8	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	154	2	7	12	13	6	12	1	3	2	3	3	1	2	2	2	4	4	3	5	1	2	2	1	1	3	3	5	1	2	2	2	2	1	3	1	2	2	3	11	8	2	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1239	134	37	125	116	73	56	9	29	5	7	12	6	8	12	12	42	33	12	3	4	7	19	13	1	5	20	17	6	21	36	24	12	30	11	13	35	32	10	94	62	5	18	13					
		10.01%	14.36%	9.46%	17.01%	13.54%	14.23%	8.08%	6.21%	9.27%	4.46%	7.14%	5.22%	8.57%	5.80%	13.33%	2.77%	14.14%	8.25%	8.28%	3.49%	6.45%	4.79%	6.31%	7.56%	2.33%	5.68%	8.20%	10.83%	2.43%	13.38%	11.73%	9.76%	9.68%	8.55%	9.09%	21.31%	9.46%	8.89%	7.69%	9.87%	9.60%	5.15%	7.47%	18.06%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2428	186	66	148	164	108	128	27	64	22	23	45	15	16	26	92	97	79	36	39	15	21	49	50	15	22	42	27	28	42	61	49	24	66	37	6	58	62	35	159	127	24	26	2					
		19.62%	19.94%	16.88%	20.14%	19.14%	21.05%	18.47%	18.62%	20.45%	19.64%	23.47%	19.57%	21.43%	11.59%	28.89%	21.25%	32.66%	19.75%	24.83%	45.35%	24.19%	14.38%	16.28%	29.07%	34.88%	25.00%	17.21%	17.20%	11.34%	26.75%	19.87%	19.92%	19.35%	18.80%	30.58%	9.84%	15.68%	17.22%	26.92%	16.70%	19.66%	24.74%	10.79%	2.78%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	120	7	2	11	7	3	6	1	5	1	2	4	0	5	0	1	1	1	2	1	0	1	3	2	0	1	3	3	2	2	1	0	3	4	3	0	6	8	1	10	2	1	3	1					
		0.97%	0.75%	0.51%	1.50%	0.82%	0.58%	0.87%	0.69%	1.60%	0.89%	2.04%	1.74%	0.00%	3.62%	0.00%	0.23%	0.34%	0.25%	1.38%	1.16%	0.00%	0.68%	0.99%	1.16%	0.00%	1.14%	1.23%	1.91%	0.81%	1.27%	0.33%	0.00%	2.42%	1.14%	2.48%	0.00%	1.62%	2.22%	0.77%	1.05%	0.31%	1.03%	1.24%	1.39%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3025	264	116	235	256	141	189	40	31	13	14	57	21	28	14	71	44	110	41	14	17	38	48	34	4	17	47	27	57	27	51	66	8	117	26	10	95	55	16	314	177	16	47	12					
		24.45%	28.30%	29.67%	31.97%	29.87%	27.49%	27.27%	27.59%	9.90%	11.61%	14.29%	24.78%	30.00%	20.29%	15.56%	16.40%	14.81%	27.50%	28.28%	16.28%	27.42%	26.03%	15.95%	19.77%	9.30%	19.32%	19.26%	17.20%	23.08%	17.20%	16.61%	26.83%	6.45%	33.33%	21.49%	16.39%	25.68%	15.28%	12.31%	32.98%	27.40%	16.49%	19.50%	16.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	132	8	3	9	12	5	15	0	3	2	0	2	0	0	0	3	0	6	2	0	1	6	1	1	0	2	2	0	0	0	8	0	0	1	0	0	4	0	1	16	12	0	6	1					
		1.07%	0.86%	0.77%	1.22%	1.40%	0.97%	2.16%	0.00%	0.96%	1.79%	0.00%	0.87%	0.00%	0.00%	0.00%	0.69%	0.00%	1.50%	1.38%	0.00%	1.61%	4.11%	0.33%	0.58%	0.00%	2.27%	0.82%	0.00%	0.00%	0.00%	2.61%	0.00%	0.00%	0.28%	0.00%	0.00%	1.08%	0.00%	0.77%	1.68%	1.86%	0.00%	2.49%	1.39%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5226	319	156	201	286	173	280	67	175	69	52	109	28	80	36	248	111	164	50	29	24	70	177	67	23	41	127	80	150	63	149	103	77	122	41	32	166	195	67	341	252	48	136	42					
		42.23%	34.19%	39.90%	27.35%	33.37%	33.72%	40.40%	46.21%	55.91%	61.61%	53.06%	47.39%	40.00%	57.97%	40.00%	57.27%	37.37%	41.00%	34.48%	33.72%	38.71%	47.95%	58.80%	38.95%	53.49%	46.59%	52.05%	50.96%	60.73%	40.13%	48.53%	41.87%	62.10%	34.76%	33.88%	52.46%	44.86%	54.17%	51.54%	35.82%	39.01%	49.48%	56.43%	58.33%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	45	6	1	3	2	3	6	0	2	0	0	0	0	1	1	1	1	0	0	0	1	0	1	1	0	0	0	3	0	0	1	0	0	2	1	0	1	0	0	0	5	1	1	0					
		0.36%	0.64%	0.26%	0.41%	0.23%	0.58%	0.87%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.72%	1.11%	0.23%	0.34%	0.00%	0.00%	0.00%	1.61%	0.00%	0.33%	0.58%	0.00%	0.00%	0.00%	1.91%	0.00%	0.00%	0.33%	0.00%	0.00%	0.57%	0.83%	0.00%	0.27%	0.00%	0.00%	0.00%	0.77%	1.03%	0.41%	0.00%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
