Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Аларская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  199					
1	"Число избирателей, внесенных в списки"	18348	643	94	600	411	250	535	274	559	719	1577	1037	205	292	300	271	259	173	532	125	483	463	627	189	692	357	1405	266	216	528	825	108	106	187	538	113	109	141	85	2054					
2	"Число бюллетеней, полученных участковыми комиссиями"	19002	650	100	620	410	240	500	270	591	500	1800	1100	220	300	280	360	250	180	550	120	680	470	650	250	660	350	1500	220	220	500	1000	100	120	200	520	120	160	150	91	2000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11467	336	51	420	248	149	386	209	388	350	955	534	119	235	161	254	146	120	266	49	439	324	392	170	259	214	655	121	176	320	495	83	74	65	354	86	83	101	51	1629					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1067	50	4	53	30	15	26	12	7	23	32	19	16	1	30	17	18	5	27	13	44	21	0	19	144	14	191	51	10	18	19	5	8	21	32	0	2	5	7	58					
6	Число погашенных бюллетеней	6476	264	45	147	132	76	88	49	201	127	813	547	85	64	89	89	86	55	257	58	197	125	258	61	257	122	654	48	34	165	486	12	38	114	134	34	75	44	33	313					
7	Число бюллетеней в переносных ящиках для голосования	1065	49	4	52	30	15	26	12	7	23	32	19	16	1	30	17	18	5	27	13	44	21	0	19	144	14	191	51	10	18	19	5	8	21	32	0	2	5	7	58					
8	Число бюллетеней в стационарных ящиках для голосования	11463	337	51	420	248	149	386	209	383	350	955	534	119	235	161	254	146	120	266	49	439	324	392	170	259	214	655	121	176	320	495	83	74	65	354	86	83	101	51	1629					
9	Число недействительных бюллетеней	338	16	6	13	15	7	11	1	13	13	22	11	7	17	8	6	5	5	4	4	13	17	10	5	16	11	16	1	6	7	12	0	1	0	12	1	1	8	1	16					
10	Число действительных бюллетеней	12190	370	49	459	263	157	401	220	377	360	965	542	128	219	183	265	159	120	289	58	470	328	382	184	387	217	830	171	180	331	502	88	81	86	374	85	84	98	57	1671					
