Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Новоземельская										
										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)										
										
		Сумма	УИК №637	УИК №638	УИК №639					
1	"Число избирателей, внесенных в списки"	2545	1428	941	176					
2	"Число бюллетеней, полученных участковыми комиссиями"	2728	1538	1000	190					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	86	44	16	26					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2360	1347	863	150					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	99	37	62	0					
6	Число погашенных бюллетеней	183	110	59	14					
7	Число бюллетеней в переносных ящиках для голосования	115	37	78	0					
8	Число бюллетеней в стационарных ящиках для голосования	2392	1354	862	176					
9	Число недействительных бюллетеней	23	13	9	1					
10	Число действительных бюллетеней	2484	1378	931	175					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	77	52	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	41	41	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	7	0	0					
14	Число погашенных открепительных удостоверений	36	11	15	10					
15	Число открепительных удостоверений выданных ТИК	63	63	0	0					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	37	12	23	2					
		1.47%	0.86%	2.44%	1.13%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	58	29	29	0					
		2.31%	2.08%	3.08%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	35	23	9	3					
		1.39%	1.65%	0.95%	1.70%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	53	19	31	3					
		2.11%	1.36%	3.29%	1.70%					
22	"5. ""За Русь Святую"""	12	6	4	2					
		0.47%	0.43%	0.42%	1.13%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	4	4	0					
		0.31%	0.28%	0.42%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	20	10	9	1					
		0.79%	0.71%	0.95%	0.56%					
25	"8. ""Народно-республиканская партия России"""	5	0	4	1					
		0.19%	0.0%	0.42%	0.56%					
26	"9. ""Российская экологическая партия ""Зеленые"""	14	11	3	0					
		0.55%	0.79%	0.31%	0.0%					
27	"10. ""Аграрная партия России"""	15	10	4	1					
		0.59%	0.71%	0.42%	0.56%					
28	"11. ""Истинные патриоты России"""	4	1	3	0					
		0.15%	0.07%	0.31%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	18	15	2	1					
		0.71%	1.07%	0.21%	0.56%					
30	"13. ""Демократическая партия России"""	5	3	2	0					
		0.19%	0.21%	0.21%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	5	4	1	0					
		0.19%	0.28%	0.10%	0.0%					
32	"15. ""Партия СЛОН"""	7	3	2	2					
		0.27%	0.21%	0.21%	1.13%					
33	"16. ""Родина"" (народно-патриотический союз)"""	116	98	13	5					
		4.62%	7.04%	1.38%	2.84%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	13	4	7	2					
		0.51%	0.28%	0.74%	1.13%					
35	"18. ""ЛДПР"""	587	277	281	29					
		23.41%	19.91%	29.89%	16.47%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	25	17	7	1					
		0.99%	1.22%	0.74%	0.56%					
37	"20. ""Политическая партия ""Единая Россия"""	1193	702	382	109					
		47.58%	50.46%	40.63%	61.93%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	2	3	1					
		0.23%	0.14%	0.31%	0.56%					
39	"22. ""Развитие предпринимательства"""	6	2	3	1					
		0.23%	0.14%	0.31%	0.56%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	77	56	17	4					
		3.07%	4.02%	1.80%	2.27%					
										
41	Против всех	165	70	88	7					
		6.58%	5.03%	9.36%	3.97%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
