Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																				
Дата голосования: 18.09.2016																				
																				
Наименование Избирательной комиссии:    Южно-Курильская																				
																				
Сводная таблица итогов голосования по федеральному избирательному округу																				
																				
		Сумма	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №377	УИК №378									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7088	1123	990	585	821	957	448	351	1301	512									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5550	763	888	579	777	650	375	306	862	350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	342	0	0	68	0	0	274	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3430	345	888	357	411	416	95	282	504	132									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	36	16	0	0	6	12	0	0	2	0									
6	Число погашенных избирательных бюллетеней	1742	402	0	154	360	222	6	24	356	218									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	378	16	0	68	6	12	274	0	2	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3430	345	888	357	411	416	95	282	504	132									
9	Число недействительных избирательных бюллетеней	90	10	7	11	15	7	8	6	24	2									
10	Число действительных избирательных бюллетеней	3718	351	881	414	402	421	361	276	482	130									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	106	4	18	30	0	22	1	20	11	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	105	4	18	30	0	21	1	20	11	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	52	5	26	4	0	1	0	10	6	0									
14	Число погашенных неиспользованных открепительных удостоверений	1	0	0	0	0	1	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	74	16	28	14	0	0	0	0	11	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0									
																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	50	7	11	10	9	5	0	5	2	1									
		1.31%	1.94%	1.24%	2.35%	2.16%	1.17%	0.00%	1.77%	0.40%	0.76%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	81	11	17	8	6	12	5	3	14	5									
		2.13%	3.05%	1.91%	1.88%	1.44%	2.80%	1.36%	1.06%	2.77%	3.79%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	86	18	8	6	16	14	4	1	17	2									
		2.26%	4.99%	0.90%	1.41%	3.84%	3.27%	1.08%	0.35%	3.36%	1.52%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2122	159	668	220	165	162	250	179	246	73									
		55.72%	44.04%	75.23%	51.76%	39.57%	37.85%	67.75%	63.48%	48.62%	55.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	28	4	4	5	5	3	3	1	2	1									
		0.74%	1.11%	0.45%	1.18%	1.20%	0.70%	0.81%	0.35%	0.40%	0.76%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	1	1	1	0	1	0	2	0									
		0.18%	0.28%	0.11%	0.24%	0.24%	0.00%	0.27%	0.00%	0.40%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	815	55	120	118	135	139	65	60	100	23									
		21.40%	15.24%	13.51%	27.76%	32.37%	32.48%	17.62%	21.28%	19.76%	17.42%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	4	3	1	2	0	0	1	2	0									
		0.34%	1.11%	0.34%	0.24%	0.48%	0.00%	0.00%	0.35%	0.40%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	1	1	2	2	8	3	0	3	0									
		0.53%	0.28%	0.11%	0.47%	0.48%	1.87%	0.81%	0.00%	0.59%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	2	1	1	0	0	1	0	0	1									
		0.16%	0.55%	0.11%	0.24%	0.00%	0.00%	0.27%	0.00%	0.00%	0.76%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	9	8	2	4	4	3	1	7	1									
		1.02%	2.49%	0.90%	0.47%	0.96%	0.93%	0.81%	0.35%	1.38%	0.76%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	343	67	20	26	44	63	13	18	74	18									
		9.01%	18.56%	2.25%	6.12%	10.55%	14.72%	3.52%	6.38%	14.62%	13.64%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	3	5	8	3	4	3	3	2	1									
		0.84%	0.83%	0.56%	1.88%	0.72%	0.93%	0.81%	1.06%	0.40%	0.76%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	76	10	14	6	10	7	10	4	11	4									
		1.99%	2.77%	1.58%	1.41%	2.40%	1.64%	2.71%	1.42%	2.17%	3.03%									
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
