Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Брасовская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34					
1	"Число избирателей, внесенных в списки"	18548	1210	249	372	350	568	189	84	60	444	128	251	470	1367	347	133	342	252	125	339	170	303	295	76	788	137	167	166	1912	1658	1294	1257	1791	861	393					
2	"Число бюллетеней, полученных участковыми комиссиями"	18400	1150	250	350	320	560	180	90	60	430	120	260	460	1360	330	130	360	240	130	350	160	300	300	70	800	140	180	170	1880	1650	1300	1230	1780	890	420					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9115	547	139	207	154	283	100	47	42	187	67	133	185	652	185	64	214	175	76	150	62	177	181	51	386	37	87	83	882	839	611	621	867	361	263					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1130	25	23	32	58	81	24	9	4	28	12	18	82	45	48	37	27	13	19	63	43	48	47	15	25	56	25	37	17	53	33	16	42	19	6					
6	Число погашенных бюллетеней	8155	578	88	111	108	196	56	34	14	215	41	109	193	663	97	29	119	52	35	137	55	75	72	4	389	47	68	50	981	758	656	593	871	510	151					
7	Число бюллетеней в переносных ящиках для голосования	1129	25	23	32	58	81	24	9	4	28	11	18	82	45	48	37	27	13	19	63	43	48	47	15	25	56	25	37	17	53	33	16	42	19	6					
8	Число бюллетеней в стационарных ящиках для голосования	9113	547	139	207	154	283	100	47	42	187	67	133	185	652	184	64	214	175	76	150	62	177	181	51	386	37	87	83	882	838	611	621	867	361	263					
9	Число недействительных бюллетеней	219	9	1	5	3	17	3	2	4	5	3	0	3	13	6	0	1	3	1	4	0	2	6	0	20	1	9	6	15	8	26	15	10	13	5					
10	Число действительных бюллетеней	10023	563	161	234	209	347	121	54	42	210	75	151	264	684	226	101	240	185	94	209	105	223	222	66	391	92	103	114	884	883	618	622	899	367	264					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	299	10	5	5	5	5	5	5	5	5	5	10	11	10	5	5	10	10	5	5	5	5	5	5	10	5	5	5	30	25	20	20	15	10	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	124	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	0	5	3	2	0	0	0	28	21	16	18	12	6	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	133	3	2	3	2	2	4	1	4	5	4	1	3	6	5	4	1	4	2	3	2	4	3	6	5	1	4	4	7	7	5	6	7	6	7					
14	Число погашенных открепительных удостоверений	175	10	5	3	5	4	5	5	5	5	5	10	11	9	4	5	9	10	5	3	5	5	0	2	8	5	5	5	2	4	4	2	3	4	3					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
