Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Щучанская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072	УИК  1073	УИК  1074	УИК  1075	УИК  1076	УИК  1077	УИК  1078	УИК  1079	УИК  1080	УИК  1081	УИК  1082	УИК  1083	УИК  1084	УИК  1085	УИК  1086	УИК  1087	УИК  1088	УИК  1089	УИК  1090	УИК  1091	УИК  1092	УИК  1093	УИК  1094	УИК  1095	УИК  1096	УИК  1097	УИК  1098	УИК  1099	УИК  1100	УИК  1101	УИК  1102	УИК  1103	УИК  1104	УИК  1105	УИК  1106	УИК  1107	УИК  1108	УИК  1109	УИК  1110	УИК  1111	УИК  1112	УИК  1113	УИК  1114	УИК  1115	УИК  1116					
1	"Число избирателей, внесенных в список"	19875	914	718	793	555	617	793	610	580	958	542	1181	503	337	157	320	631	212	137	452	472	126	229	316	190	348	117	852	206	486	225	202	94	405	385	143	111	571	40	381	133	92	436	78	255	159	76	352	98	70	967	250					
2	Число полученных избирательных бюллетеней	19325	842	661	753	520	576	746	564	522	884	511	1057	513	335	155	320	650	214	139	459	462	125	233	306	189	348	119	850	210	494	229	205	95	386	379	136	111	557	40	384	135	93	450	78	256	158	76	359	108	79	994	260					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12698	459	355	454	363	330	476	303	283	527	315	835	396	223	107	241	433	178	94	352	337	109	138	194	146	264	61	498	120	359	141	118	73	235	199	122	84	390	35	283	93	79	331	53	207	123	60	243	83	62	573	161					
5	"Число избирательных бюллетеней, выданных вне помещения"	1314	30	32	24	34	24	66	63	46	14	43	81	39	32	20	35	47	11	12	0	0	0	16	28	10	10	33	106	34	25	6	15	7	42	43	0	0	33	3	19	0	0	15	8	7	5	5	40	8	0	107	36					
6	Число погашенных избирательных бюллетеней	5313	353	274	275	123	222	204	198	193	343	153	141	78	80	28	44	170	25	33	107	125	16	79	84	33	74	25	246	56	110	82	72	15	109	137	14	27	134	2	82	42	14	104	17	42	30	11	76	17	17	314	63					
7	Число избирательных бюллетеней в переносных ящиках	1314	30	32	24	34	24	66	63	46	14	43	81	39	32	20	35	47	11	12	0	0	0	16	28	10	10	33	106	34	25	6	15	7	42	43	0	0	33	3	19	0	0	15	8	7	5	5	40	8	0	107	36					
8	Число бюллетеней в стационарных ящиках для голосования	12698	459	355	454	363	330	476	303	283	527	315	835	396	223	107	241	433	178	94	352	337	109	138	194	146	264	61	498	120	359	141	118	73	235	199	122	84	390	35	283	93	79	331	53	207	123	60	243	83	62	573	161					
9	Число недействительных избирательных бюллетеней	132	5	2	5	3	2	6	5	4	7	1	11	3	0	1	3	9	1	0	3	1	1	0	1	1	1	0	2	1	6	1	1	3	4	2	1	0	6	0	7	1	5	0	0	0	2	0	2	2	0	9	1					
10	Число действительных избирательных бюллетеней	13880	484	385	473	394	352	536	361	325	534	357	905	432	255	126	273	471	188	106	349	336	108	154	221	155	273	94	602	153	378	146	132	77	273	240	121	84	417	38	295	92	74	346	61	214	126	65	281	89	62	671	196					
