Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
Наименование Избирательной комиссии:    Йошкар-Олинская городская № 1																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62					
1	"Число избирателей, внесенных в список избирателей"	106084	2293	765	2025	1265	1976	314	1260	2260	2064	2188	1626	1644	1119	2002	1614	1672	2027	2467	2409	1261	2443	1186	2023	1892	1896	1662	2007	1911	2372	1951	1476	1862	1605	2113	1952	1700	2073	1745	2003	1565	318	1447	1364	2160	2355	1630	2266	1853	1604	1356	2120	2149	2089	1686	131	2117	1798	1881	1830	1206	513	523					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	106290	2420	700	2120	1180	1930	350	1260	2300	2000	2200	1500	1600	1100	2000	1630	1620	1950	2550	2450	1300	2300	1800	2000	1800	2000	1600	2000	1800	2400	1900	1500	1900	1600	2100	1900	1700	2000	1800	2000	1500	500	1500	1400	2200	2300	1650	2300	1900	1600	1400	2200	2100	2000	1700	130	2000	1750	1900	1850	1150	500	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	92	0	0	6	0	52	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	65759	1470	468	1545	814	1282	314	740	1479	1349	1475	989	1065	640	1035	931	1094	1254	1707	1275	678	1325	1164	1315	1190	1178	1058	1339	1231	1603	1239	914	1177	968	1292	1213	1117	1322	1146	1016	848	203	828	690	1255	1315	899	1314	979	1068	842	1372	1468	1295	1196	102	1348	946	1118	1055	702	299	206					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1938	27	24	33	23	26	0	21	42	37	26	14	24	6	38	36	28	40	40	20	44	24	22	29	31	28	35	28	15	15	17	20	47	22	22	22	21	35	16	28	17	115	25	41	25	67	13	37	35	33	26	20	55	25	15	25	31	96	34	22	58	40	57					
6	Число погашенных избирательных бюллетеней	38355	923	208	542	343	622	36	499	779	614	699	497	511	454	927	663	498	656	803	1155	578	951	614	656	579	794	507	633	554	782	644	566	676	610	786	665	562	643	638	956	635	182	647	669	920	918	738	949	886	411	532	716	577	680	483	3	569	708	748	773	390	161	237					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2175	27	24	33	23	26	0	20	42	37	26	14	24	6	38	36	28	40	40	20	44	24	22	29	31	28	35	28	15	15	17	20	47	22	22	22	21	35	16	28	17	115	25	41	25	67	13	37	35	121	26	112	55	25	21	25	83	96	34	22	58	40	57					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	65694	1466	468	1543	813	1272	314	740	1479	1349	1474	989	1064	640	1031	926	1077	1254	1707	1275	678	1324	1164	1315	1190	1177	1058	1339	1231	1600	1239	914	1177	965	1292	1210	1117	1322	1145	1016	848	203	828	690	1255	1314	899	1314	979	1066	839	1371	1468	1295	1196	102	1348	946	1118	1054	702	299	206					
9	Число недействительных избирательных бюллетеней	1098	48	16	50	20	49	5	21	21	14	14	14	18	9	12	16	35	14	27	10	9	17	12	26	14	24	20	28	13	17	9	12	15	10	15	12	14	20	12	12	18	3	10	8	30	28	12	29	19	16	17	18	24	18	10	10	31	19	19	8	16	9	2					
10	Число действительных избирательных бюллетеней	66771	1445	476	1526	816	1249	309	739	1500	1372	1486	989	1070	637	1057	946	1070	1280	1720	1285	713	1331	1174	1318	1207	1181	1073	1339	1233	1598	1247	922	1209	977	1299	1220	1124	1337	1149	1032	847	315	843	723	1250	1353	900	1322	995	1171	848	1465	1499	1302	1207	117	1400	1023	1133	1068	744	330	261					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2794	105	5	115	20	50	0	60	40	50	75	40	45	20	35	50	30	45	150	45	30	45	40	40	40	45	40	53	45	60	45	40	30	25	45	50	35	40	50	50	30	0	30	30	65	45	30	40	40	60	40	65	50	50	50	5	81	55	70	50	30	15	35					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2301	85	2	99	19	49	0	53	35	38	49	35	45	17	30	28	27	36	145	43	24	38	37	36	31	35	34	44	37	58	38	28	26	22	42	33	33	31	29	40	26	0	26	24	51	39	18	40	33	48	25	55	35	49	33	1	70	44	62	38	16	11	26					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2492	52	37	69	62	77	155	53	46	56	35	25	31	20	24	35	83	23	127	40	30	37	30	32	52	17	25	38	42	30	32	18	54	42	24	24	29	30	24	33	48	128	20	16	25	28	46	28	26	25	10	46	85	24	38	6	35	20	31	34	44	23	13					
14	Число погашенных неиспользованных открепительных удостоверений	493	20	3	16	1	1	0	7	5	12	26	5	0	3	5	22	3	9	5	2	6	7	3	4	9	10	6	9	8	2	7	12	4	3	3	17	2	9	21	10	4	0	4	6	14	6	12	0	7	12	15	10	15	1	17	4	11	11	8	12	14	4	9					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	1	0	3	0	0	0	0	3	1	0	1	1	0	2	2	2	0	1	0	2	1	2	4	1	3	3	0	1	1	5	2	1	0	2	1	0	0	1	2	2	0	1	0	0	1	2	5	1	0	2	0	3	3	0	0	0	0	0	2	0	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
