Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																		
Дата голосования: 04.12.2011																																																		
																																																		
Наименование Избирательной комиссии:    Артемовская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №185					
1	"Число избирателей, внесенных в список избирателей"	51323	2166	918	1328	1914	2331	843	779	2213	1539	1523	2018	1278	709	1853	1834	2068	1432	1425	1688	1570	1228	2492	2560	1277	1214	1265	1230	1218	459	599	107	573	756	804	1245	670	113	481	369	827	221	106	80					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50680	2100	900	1300	1900	2300	850	770	2200	1400	1500	2000	1200	700	1800	1800	2000	1400	1400	1700	1500	1200	2500	2600	1200	1200	1200	1200	1200	450	600	100	600	750	800	1100	650	160	500	350	800	250	200	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	136	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	21	8	8	12	0	14	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22441	1029	380	643	951	989	340	272	910	582	819	1098	650	297	857	700	779	661	612	675	621	547	1059	1139	502	482	551	527	614	223	274	58	263	331	310	403	301	86	218	143	298	65	102	80					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1982	63	27	37	78	61	57	33	53	54	25	51	24	25	47	68	42	46	21	52	46	6	18	75	53	112	91	139	43	12	21	6	26	28	37	159	48	13	45	6	20	114	0	0					
6	Число погашенных избирательных бюллетеней	26121	1008	459	620	871	1250	453	465	1237	764	656	851	526	378	896	1032	1179	693	767	973	833	647	1423	1386	645	606	558	534	543	215	266	36	290	383	445	526	301	47	237	201	482	71	98	270					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2118	63	61	37	78	61	57	33	53	54	25	51	24	25	47	68	42	46	21	52	46	6	18	75	53	112	91	139	43	12	60	6	47	36	45	171	48	27	45	6	20	114	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22434	1027	380	643	951	989	340	272	910	582	819	1098	650	297	854	700	779	661	611	675	621	547	1059	1139	502	482	550	527	614	223	274	58	263	331	310	403	301	86	218	143	298	65	102	80					
9	Число недействительных избирательных бюллетеней	931	40	9	18	31	30	12	16	41	23	21	49	24	16	31	46	31	40	36	15	30	30	36	80	20	15	11	47	17	9	30	0	6	6	5	20	13	3	6	5	3	7	1	2					
10	Число действительных избирательных бюллетеней	23621	1050	432	662	998	1020	385	289	922	613	823	1100	650	306	870	722	790	667	596	712	637	523	1041	1134	535	579	630	619	640	226	304	64	304	361	350	554	336	110	257	144	315	172	101	78					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	795	40	15	35	30	25	10	10	40	20	25	40	20	10	20	30	40	20	20	20	20	15	40	40	15	15	15	15	15	10	10	5	10	15	15	15	5	5	20	10	15	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	493	19	11	27	14	23	7	5	24	20	15	22	14	10	15	14	15	9	10	8	5	12	22	40	10	12	11	10	5	1	10	1	10	7	6	11	5	1	20	5	7	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	356	14	5	8	11	4	12	7	11	14	10	8	11	13	25	7	6	2	3	10	2	5	44	7	1	6	0	2	3	0	1	2	2	3	3	55	2	2	1	2	4	1	1	26					
14	Число погашенных неиспользованных открепительных удостоверений	302	21	4	8	16	2	3	5	16	0	10	18	6	0	5	16	25	11	10	12	15	3	18	0	5	3	4	5	10	9	0	4	0	8	9	4	0	4	0	5	8	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4574	188	74	137	215	181	70	51	208	117	152	239	141	60	170	128	117	122	132	139	150	110	209	251	69	164	194	167	108	31	46	5	43	42	47	70	56	16	31	23	48	24	16	13					
		18.63%	17.25%	16.78%	20.15%	20.89%	17.24%	17.63%	16.72%	21.60%	18.40%	18.01%	20.80%	20.92%	18.63%	18.87%	16.67%	14.25%	17.26%	20.89%	19.12%	22.49%	19.89%	19.41%	20.68%	12.43%	27.61%	30.27%	25.08%	16.44%	13.19%	13.77%	7.81%	13.87%	11.44%	13.24%	12.20%	16.05%	14.16%	11.79%	15.44%	15.09%	13.41%	15.69%	16.25%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3533	164	61	92	111	165	58	57	131	94	118	128	68	51	130	123	110	101	95	99	89	61	151	162	92	97	78	72	78	54	67	13	46	65	48	87	63	26	65	27	65	30	15	26					
		14.39%	15.05%	13.83%	13.53%	10.79%	15.71%	14.61%	18.69%	13.60%	14.78%	13.98%	11.14%	10.09%	15.84%	14.43%	16.02%	13.40%	14.29%	15.03%	13.62%	13.34%	11.03%	14.02%	13.34%	16.58%	16.33%	12.17%	10.81%	11.87%	22.98%	20.06%	20.31%	14.84%	17.71%	13.52%	15.16%	18.05%	23.01%	24.71%	18.12%	20.44%	16.76%	14.71%	32.50%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	198	10	4	5	7	7	6	1	5	3	8	8	7	3	8	5	8	4	4	6	7	5	4	8	6	3	7	13	5	0	0	0	2	6	3	4	3	0	5	0	3	1	3	1					
		0.81%	0.92%	0.91%	0.74%	0.68%	0.67%	1.51%	0.33%	0.52%	0.47%	0.95%	0.70%	1.04%	0.93%	0.89%	0.65%	0.97%	0.57%	0.63%	0.83%	1.05%	0.90%	0.37%	0.66%	1.08%	0.51%	1.09%	1.95%	0.76%	0.00%	0.00%	0.00%	0.65%	1.63%	0.85%	0.70%	0.86%	0.00%	1.90%	0.00%	0.94%	0.56%	2.94%	1.25%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4213	170	94	100	193	171	49	28	177	87	164	267	159	59	194	167	160	112	88	135	108	119	206	212	78	65	107	65	132	34	35	9	30	61	67	81	54	13	28	26	51	32	15	11					
		17.16%	15.60%	21.32%	14.71%	18.76%	16.29%	12.34%	9.18%	18.38%	13.68%	19.43%	23.24%	23.59%	18.32%	21.53%	21.74%	19.49%	15.84%	13.92%	18.57%	16.19%	21.52%	19.13%	17.46%	14.05%	10.94%	16.69%	9.76%	20.09%	14.47%	10.48%	14.06%	9.68%	16.62%	18.87%	14.11%	15.47%	11.50%	10.65%	17.45%	16.04%	17.88%	14.71%	13.75%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	612	29	12	14	28	31	8	4	21	26	57	54	26	6	31	22	28	14	8	12	19	12	30	30	13	5	1	10	13	5	2	3	4	4	3	5	2	1	3	3	10	2	1	0					
		2.49%	2.66%	2.72%	2.06%	2.72%	2.95%	2.02%	1.31%	2.18%	4.09%	6.75%	4.70%	3.86%	1.86%	3.44%	2.86%	3.41%	1.98%	1.27%	1.65%	2.85%	2.17%	2.79%	2.47%	2.34%	0.84%	0.16%	1.50%	1.98%	2.13%	0.60%	4.69%	1.29%	1.09%	0.85%	0.87%	0.57%	0.88%	1.14%	2.01%	3.14%	1.12%	0.98%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9796	465	173	299	440	450	186	145	347	256	294	376	241	126	321	263	340	293	254	307	239	211	381	431	269	231	228	267	269	97	134	34	168	160	156	298	142	53	114	64	123	78	47	26					
		39.90%	42.66%	39.23%	43.97%	42.76%	42.86%	46.85%	47.54%	36.03%	40.25%	34.83%	32.72%	35.76%	39.13%	35.63%	34.24%	41.41%	41.44%	40.19%	42.23%	35.83%	38.16%	35.38%	35.50%	48.47%	38.89%	35.57%	40.09%	40.94%	41.28%	40.12%	53.13%	54.19%	43.60%	43.94%	51.92%	40.69%	46.90%	43.35%	42.95%	38.68%	43.58%	46.08%	32.50%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	695	24	14	15	4	15	8	3	33	30	30	28	8	1	16	14	27	21	15	14	25	5	60	40	8	14	15	25	35	5	20	0	11	23	26	9	16	1	11	1	15	5	4	1					
		2.83%	2.20%	3.17%	2.21%	0.39%	1.43%	2.02%	0.98%	3.43%	4.72%	3.55%	2.44%	1.19%	0.31%	1.78%	1.82%	3.29%	2.97%	2.37%	1.93%	3.75%	0.90%	5.57%	3.29%	1.44%	2.36%	2.34%	3.75%	5.33%	2.13%	5.99%	0.00%	3.55%	6.27%	7.32%	1.57%	4.58%	0.88%	4.18%	0.67%	4.72%	2.79%	3.92%	1.25%					
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
