Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																														
Дата голосования: 02.12.2007																																																														
																																																														
Наименование Избирательной комиссии:    Стародубская																																																														
																																																														
Сводная таблица результатов выборов																																																														
																																																														
		Сумма	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944					
1	"Число избирателей, внесенных в списки избирателей"	31884	1004	349	390	139	194	378	311	324	251	213	264	172	500	1121	294	478	198	845	293	371	375	490	221	232	281	268	249	393	1152	492	229	632	175	645	233	308	398	401	635	450	243	534	354	250	370	1447	1411	1454	1764	1266	1214	1290	1159	1335	1445					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31420	980	350	380	135	190	370	310	330	250	215	260	170	490	1120	295	470	190	850	290	380	380	480	225	230	275	270	250	385	1160	485	225	640	175	650	235	320	400	400	640	450	255	520	350	250	360	1430	1400	1400	1680	1240	1180	1255	1100	1300	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15778	466	195	193	84	103	194	200	158	114	143	148	76	266	590	131	206	103	214	170	194	231	207	100	151	157	160	135	222	654	175	68	340	118	343	150	143	244	192	313	209	98	245	193	121	220	694	682	749	831	647	643	587	511	592	705					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2851	68	28	56	12	23	25	32	79	72	27	49	60	39	52	27	50	28	330	44	80	24	54	48	32	51	27	21	47	116	95	35	63	26	59	30	60	39	42	94	67	58	107	34	34	28	44	33	37	50	7	18	32	34	85	39					
6	Число погашенных избирательных бюллетеней	12791	446	127	131	39	64	151	78	93	64	45	63	34	185	478	137	214	59	306	76	106	125	219	77	47	67	83	94	116	390	215	122	237	31	248	55	117	117	166	233	174	99	168	123	95	112	692	685	614	799	586	519	636	555	623	656					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2851	68	28	56	12	23	25	32	79	72	27	49	60	39	52	27	50	28	330	44	80	24	54	48	32	51	27	21	47	116	95	35	63	26	59	30	60	39	42	94	67	58	107	34	34	28	44	33	37	50	7	18	32	34	85	39					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15778	466	195	193	84	103	194	200	158	114	143	148	76	266	590	131	206	103	214	170	194	231	207	100	151	157	160	135	222	654	175	68	340	118	343	150	143	244	192	313	209	98	245	193	121	220	694	682	749	831	647	643	587	511	592	705					
9	Число недействительных избирательных бюллетеней	131	0	1	3	3	2	0	1	1	0	0	2	1	1	2	6	0	2	3	0	2	3	2	1	1	4	3	0	1	2	0	0	3	4	2	0	0	3	2	0	2	0	11	4	3	4	9	7	6	6	3	3	6	4	2	0					
10	Число действительных избирательных бюллетеней	18498	534	222	246	93	124	219	231	236	186	170	195	135	304	640	152	256	129	541	214	272	252	259	147	182	204	184	156	268	768	270	103	400	140	400	180	203	280	232	407	274	156	341	223	152	244	729	708	780	875	651	658	613	541	675	744					
