Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Верхнеуфалейская городская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28982	1662	1556	1400	545	1313	1331	1342	1512	1657	1507	1491	1595	742	499	1330	1447	1149	985	1262	275	622	162	841	952	193	178	913	134	158	229									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26850	1600	1500	1300	500	1200	1200	1200	1400	1500	1400	1400	1500	700	400	1200	1300	1100	900	1200	250	600	150	800	900	180	150	850	120	150	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11729	697	617	404	257	558	565	637	626	789	783	736	497	219	163	383	409	510	415	521	131	314	60	333	336	86	93	382	58	74	76									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1167	49	37	51	19	40	54	52	37	41	60	40	52	25	60	43	58	45	18	69	9	14	24	44	56	12	0	104	11	20	23									
6	Число погашенных избирательных бюллетеней	13954	854	846	845	224	602	581	511	737	670	557	624	951	456	177	774	833	545	467	610	110	272	66	423	508	82	57	364	51	56	101									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1167	49	37	51	19	40	54	52	37	41	60	40	52	25	60	43	58	45	18	69	9	14	24	44	56	12	0	104	11	20	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11727	697	617	404	257	557	565	637	626	789	783	736	497	219	163	383	409	510	415	521	131	313	60	333	336	86	93	382	58	74	76									
9	Число недействительных избирательных бюллетеней	345	20	22	15	10	16	17	17	21	22	22	14	23	8	1	7	15	14	9	15	2	8	4	14	12	3	1	9	0	1	3									
10	Число действительных избирательных бюллетеней	12549	726	632	440	266	581	602	672	642	808	821	762	526	236	222	419	452	541	424	575	138	319	80	363	380	95	92	477	69	93	96									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	197	5	5	5	10	5	5	15	13	10	10	10	5	5	3	7	5	5	10	10	7	2	2	10	5	2	2	9	7	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	129	5	5	5	6	2	1	11	7	6	7	8	2	4	1	5	5	2	5	7	2	2	0	7	5	2	1	8	3	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	97	0	3	1	7	5	7	2	3	2	2	4	6	2	1	4	0	3	3	4	2	3	0	5	4	2	0	5	5	6	6									
14	Число погашенных неиспользованных открепительных удостоверений	68	0	0	0	4	3	4	4	6	4	3	2	3	1	2	2	0	3	5	3	5	0	2	3	0	0	1	1	4	1	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	5	5	0	0	4	1	1	3	7	3	3	2	2	1	6	5	3	0	0	0	2	0	2	1	0	0	0	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	216	14	7	7	3	9	9	6	13	17	17	14	11	8	4	11	12	7	3	5	5	4	0	5	9	0	3	10	0	2	1									
		1.68%	1.88%	1.07%	1.54%	1.09%	1.51%	1.45%	0.87%	1.96%	2.05%	2.02%	1.80%	2.00%	3.28%	1.79%	2.58%	2.57%	1.26%	0.69%	0.85%	3.57%	1.22%	0.00%	1.33%	2.30%	0.00%	3.23%	2.06%	0.00%	2.13%	1.01%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	365	29	27	17	10	14	12	27	18	23	19	16	19	5	9	19	7	17	4	8	1	9	1	8	11	4	2	19	2	3	5									
		2.83%	3.89%	4.13%	3.74%	3.62%	2.35%	1.94%	3.92%	2.71%	2.77%	2.25%	2.06%	3.46%	2.05%	4.04%	4.46%	1.50%	3.06%	0.92%	1.36%	0.71%	2.75%	1.19%	2.12%	2.81%	4.08%	2.15%	3.91%	2.90%	3.19%	5.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	352	19	18	6	13	24	16	17	20	23	30	28	25	3	6	12	9	9	11	13	6	5	0	10	9	1	2	11	1	2	3									
		2.73%	2.55%	2.75%	1.32%	4.71%	4.02%	2.58%	2.47%	3.02%	2.77%	3.56%	3.61%	4.55%	1.23%	2.69%	2.82%	1.93%	1.62%	2.54%	2.20%	4.29%	1.53%	0.00%	2.65%	2.30%	1.02%	2.15%	2.26%	1.45%	2.13%	3.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5234	290	241	172	100	214	234	270	260	364	369	359	199	88	99	161	172	200	171	196	66	140	42	152	149	36	42	290	43	57	58									
		40.59%	38.87%	36.85%	37.80%	36.23%	35.85%	37.80%	39.19%	39.22%	43.86%	43.77%	46.26%	36.25%	36.07%	44.39%	37.79%	36.83%	36.04%	39.49%	33.22%	47.14%	42.81%	50.00%	40.32%	38.01%	36.73%	45.16%	59.67%	62.32%	60.64%	58.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	86	6	2	4	0	5	1	4	1	2	5	9	8	8	0	2	2	3	3	7	0	0	0	3	4	2	0	3	0	0	2									
		0.67%	0.80%	0.31%	0.88%	0.00%	0.84%	0.16%	0.58%	0.15%	0.24%	0.59%	1.16%	1.46%	3.28%	0.00%	0.47%	0.43%	0.54%	0.69%	1.19%	0.00%	0.00%	0.00%	0.80%	1.02%	2.04%	0.00%	0.62%	0.00%	0.00%	2.02%									
24	"6. Политическая партия ""Гражданская Платформа"""	31	1	4	1	0	2	2	3	4	1	0	1	0	1	0	0	1	0	1	1	0	1	0	2	3	0	0	1	0	0	1									
		0.24%	0.13%	0.61%	0.22%	0.00%	0.34%	0.32%	0.44%	0.60%	0.12%	0.00%	0.13%	0.00%	0.41%	0.00%	0.00%	0.21%	0.00%	0.23%	0.17%	0.00%	0.31%	0.00%	0.53%	0.77%	0.00%	0.00%	0.21%	0.00%	0.00%	1.01%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2765	163	150	128	69	133	146	122	154	152	143	132	122	53	62	88	125	100	90	148	38	76	29	74	114	20	18	80	13	14	9									
		21.44%	21.85%	22.94%	28.13%	25.00%	22.28%	23.59%	17.71%	23.23%	18.31%	16.96%	17.01%	22.22%	21.72%	27.80%	20.66%	26.77%	18.02%	20.79%	25.08%	27.14%	23.24%	34.52%	19.63%	29.08%	20.41%	19.35%	16.46%	18.84%	14.89%	9.09%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	66	5	6	0	1	3	4	3	1	4	5	3	5	0	0	7	1	4	4	2	0	4	0	1	2	0	0	0	0	0	1									
		0.51%	0.67%	0.92%	0.00%	0.36%	0.50%	0.65%	0.44%	0.15%	0.48%	0.59%	0.39%	0.91%	0.00%	0.00%	1.64%	0.21%	0.72%	0.92%	0.34%	0.00%	1.22%	0.00%	0.27%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	1.01%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	84	12	7	1	1	5	5	5	3	1	7	5	7	0	3	1	2	4	2	7	0	1	0	3	2	0	0	0	0	0	0									
		0.65%	1.61%	1.07%	0.22%	0.36%	0.84%	0.81%	0.73%	0.45%	0.12%	0.83%	0.64%	1.28%	0.00%	1.35%	0.23%	0.43%	0.72%	0.46%	1.19%	0.00%	0.31%	0.00%	0.80%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	0	0	0	1	2	0	0	1	2	1	0	0	0	0	0	0	0	1	1	0	0	0	1	1	2	0	0	2	0	0									
		0.12%	0.00%	0.00%	0.00%	0.36%	0.34%	0.00%	0.00%	0.15%	0.24%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.17%	0.00%	0.00%	0.00%	0.27%	0.26%	2.04%	0.00%	0.00%	2.90%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	144	8	6	4	6	7	15	9	5	8	14	5	3	4	1	8	6	10	2	5	0	4	0	5	2	0	0	5	0	0	2									
		1.12%	1.07%	0.92%	0.88%	2.17%	1.17%	2.42%	1.31%	0.75%	0.96%	1.66%	0.64%	0.55%	1.64%	0.45%	1.88%	1.28%	1.80%	0.46%	0.85%	0.00%	1.22%	0.00%	1.33%	0.51%	0.00%	0.00%	1.03%	0.00%	0.00%	2.02%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1336	82	82	54	30	62	68	88	82	106	99	67	41	16	12	53	51	67	43	59	13	25	4	28	29	17	6	31	2	10	9									
		10.36%	10.99%	12.54%	11.87%	10.87%	10.39%	10.99%	12.77%	12.37%	12.77%	11.74%	8.63%	7.47%	6.56%	5.38%	12.44%	10.92%	12.07%	9.93%	10.00%	9.29%	7.65%	4.76%	7.43%	7.40%	17.35%	6.45%	6.38%	2.90%	10.64%	9.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	3	2	2	1	6	2	2	4	1	3	4	3	2	0	4	3	4	3	2	0	1	0	1	1	0	0	3	1	0	0									
		0.45%	0.40%	0.31%	0.44%	0.36%	1.01%	0.32%	0.29%	0.60%	0.12%	0.36%	0.52%	0.55%	0.82%	0.00%	0.94%	0.64%	0.72%	0.69%	0.34%	0.00%	0.31%	0.00%	0.27%	0.26%	0.00%	0.00%	0.62%	1.45%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1797	94	80	44	31	95	88	116	76	104	109	119	83	48	26	53	61	116	86	121	9	49	4	70	44	13	19	24	5	5	5									
		13.94%	12.60%	12.23%	9.67%	11.23%	15.91%	14.22%	16.84%	11.46%	12.53%	12.93%	15.34%	15.12%	19.67%	11.66%	12.44%	13.06%	20.90%	19.86%	20.51%	6.43%	14.98%	4.76%	18.57%	11.22%	13.27%	20.43%	4.94%	7.25%	5.32%	5.05%									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
