Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Окинская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4122	340	386	354	327	316	543	325	433	284	395	419									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3490	370	340	315	256	286	400	300	380	183	331	329									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	566	176	70	105	0	0	0	0	0	86	51	78									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2073	164	180	132	210	177	284	223	256	64	214	169									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	51	0	7	1	7	9	7	8	8	1	1	2									
6	Число погашенных избирательных бюллетеней	800	30	83	77	39	100	109	69	116	32	65	80									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	617	176	77	106	7	9	7	8	8	87	52	80									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2066	164	180	132	203	177	284	223	256	64	214	169									
9	Число недействительных избирательных бюллетеней	70	5	8	7	6	4	2	5	6	24	0	3									
10	Число действительных избирательных бюллетеней	2613	335	249	231	204	182	289	226	258	127	266	246									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	97	4	10	10	10	10	10	9	10	4	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2	0	0	0	0	0	0	1	1	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	17	9	1	0	0	3	0	4	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	95	4	10	10	10	10	10	8	9	4	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	1	2	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	11	4	0	0	0	0	1	1	1	1	1	2									
		0.41%	1.18%	0.00%	0.00%	0.00%	0.00%	0.34%	0.43%	0.38%	0.66%	0.38%	0.80%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	92	20	6	14	2	8	10	9	8	1	5	9									
		3.43%	5.88%	2.33%	5.88%	0.95%	4.30%	3.44%	3.90%	3.03%	0.66%	1.88%	3.61%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	38	8	0	1	6	3	1	4	8	4	1	2									
		1.42%	2.35%	0.00%	0.42%	2.86%	1.61%	0.34%	1.73%	3.03%	2.65%	0.38%	0.80%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1396	168	117	111	100	93	173	105	133	70	208	118									
		52.03%	49.41%	45.53%	46.64%	47.62%	50.00%	59.45%	45.45%	50.38%	46.36%	78.20%	47.39%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	13	2	0	0	4	1	2	1	0	0	2	1									
		0.48%	0.59%	0.00%	0.00%	1.90%	0.54%	0.69%	0.43%	0.00%	0.00%	0.75%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	1	0	2	1	2	0	1	1	1	1	0									
		0.37%	0.29%	0.00%	0.84%	0.48%	1.08%	0.00%	0.43%	0.38%	0.66%	0.38%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	110	47	4	19	10	0	8	7	4	3	2	6									
		4.10%	13.82%	1.56%	7.98%	4.76%	0.00%	2.75%	3.03%	1.52%	1.99%	0.75%	2.41%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	2	0	0	0	0	1	1	0	0	0	0									
		0.15%	0.59%	0.00%	0.00%	0.00%	0.00%	0.34%	0.43%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	91	20	4	2	7	14	10	11	9	4	3	7									
		3.39%	5.88%	1.56%	0.84%	3.33%	7.53%	3.44%	4.76%	3.41%	2.65%	1.13%	2.81%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	1	2	0	0	1	0	1	0	0	1									
		0.22%	0.00%	0.39%	0.84%	0.00%	0.00%	0.34%	0.00%	0.38%	0.00%	0.00%	0.40%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	14	1	1	1	3	5	1	0	1	0	1	0									
		0.52%	0.29%	0.39%	0.42%	1.43%	2.69%	0.34%	0.00%	0.38%	0.00%	0.38%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	756	44	107	72	68	53	73	79	85	37	39	99									
		28.18%	12.94%	41.63%	30.25%	32.38%	28.49%	25.09%	34.20%	32.20%	24.50%	14.66%	39.76%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	4	1	0	0	0	0	2	2	0	0	0									
		0.34%	1.18%	0.39%	0.00%	0.00%	0.00%	0.00%	0.87%	0.76%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	63	14	8	7	3	3	8	5	5	6	3	1									
		2.35%	4.12%	3.11%	2.94%	1.43%	1.61%	2.75%	2.16%	1.89%	3.97%	1.13%	0.40%									
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
