Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Территориальная избирательная комиссия г. Курчатова																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261					
1	"Число избирателей, внесенных в списки избирателей"	36513	1762	1928	1943	1879	1648	1796	1982	2004	1902	1841	1735	1780	1815	1939	1685	1675	1801	1709	1820	1869					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	32500	1600	1700	1700	1700	1500	1600	1800	1800	1700	1600	1600	1600	1600	1700	1500	1500	1600	1500	1600	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22766	1091	1233	1284	1189	1147	1220	898	1207	1260	1191	1170	1159	1006	1099	1043	1052	1154	1079	1053	1231					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	256	23	35	16	23	18	17	2	14	11	14	11	5	11	11	9	8	5	7	11	5					
6	Число погашенных избирательных бюллетеней	9478	486	432	400	488	335	363	900	579	429	395	419	436	583	590	448	440	441	414	536	364					
7	Число избирательных бюллетеней в переносных ящиках для голосования	256	23	35	16	23	18	17	2	14	11	14	11	5	11	11	9	8	5	7	11	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22760	1091	1233	1283	1187	1147	1220	898	1207	1259	1191	1169	1158	1006	1099	1043	1052	1154	1079	1053	1231					
9	Число недействительных избирательных бюллетеней	312	10	15	18	16	13	17	16	19	15	19	17	11	6	19	18	13	14	17	13	26					
10	Число действительных избирательных бюллетеней	22704	1104	1253	1281	1194	1152	1220	884	1202	1255	1186	1163	1152	1011	1091	1034	1047	1145	1069	1051	1210					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	769	38	60	38	45	35	30	37	30	35	30	37	30	30	42	39	30	47	40	52	44					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	714	34	58	35	40	34	29	35	30	34	26	37	28	26	36	33	22	47	37	52	41					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	119	5	10	5	2	6	18	4	2	10	2	0	5	6	2	2	5	7	10	12	6					
14	Число погашенных неиспользованных открепительных удостоверений	55	4	2	3	5	1	1	2	0	1	4	0	2	4	6	6	8	0	3	0	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	1	0	1	1	1	0	2	0	0	2	2	0	3	1	0	2	2	1	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	1.Политическая партия «Аграрная партия России»	496	22	35	39	20	30	26	18	27	25	36	25	22	20	22	17	18	29	19	17	29					
		2.16%	1.97%	2.76%	3.00%	1.65%	2.58%	2.10%	2.00%	2.21%	1.97%	2.99%	2.12%	1.89%	1.97%	1.98%	1.62%	1.70%	2.50%	1.75%	1.60%	2.35%					
