Выборы Президента Российской Федерации																																																																							
																																																																							
"Наименование Избирательной комиссии:    Нижний Новгород, Канавинская"																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483					
1	"Число избирателей, внесенных в список"	132331	2044	2455	2565	2672	2127	2540	1964	2600	2218	2070	2362	2289	2374	2149	2602	2091	1654	1996	1750	1946	2498	2370	2027	1954	2335	2422	1677	2708	2833	2217	1833	1634	1977	1299	1132	1326	1365	1385	2136	1612	1540	2183	1421	1875	1682	1566	1226	1962	1839	1945	2610	2470	2585	2675	2484	2657	2590	2001	2369	2035	1900	1821	1938	1749					
2	Число полученных избирательных бюллетеней	122700	2000	2200	2500	2500	1700	2500	1800	2500	2000	2000	2200	2000	2200	2000	2500	2000	1500	1800	1500	1800	2500	2200	2000	1800	2200	2200	1500	2500	2500	2000	1700	1500	1800	1200	1000	1200	1300	1300	2000	1500	1500	2000	1300	1700	1500	1500	1000	1700	1500	1800	2500	2300	2500	2500	2300	2500	2500	2000	2200	2000	1800	1700	1800	1500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	65362	903	1139	1139	1286	784	1404	926	1319	951	1107	1247	1110	1051	1038	1144	979	652	786	858	904	1351	1225	1097	1070	1201	1192	792	1213	1523	1108	963	827	939	545	494	652	718	751	1072	509	553	1107	701	834	864	823	655	954	863	970	1408	1332	1399	1355	1471	1428	1418	1006	1264	1106	987	1006	995	894					
5	"Число избирательных бюллетеней, выданных вне помещения"	2682	44	65	20	50	347	8	16	34	38	76	29	40	29	25	64	35	23	46	39	33	30	41	60	27	27	29	16	47	31	48	22	24	28	24	31	89	29	25	48	33	39	40	23	39	39	14	46	137	184	40	13	20	19	14	26	17	19	17	26	16	23	14	21	66					
6	Число погашенных избирательных бюллетеней	54656	1053	996	1341	1164	569	1088	858	1147	1011	817	924	850	1120	937	1292	986	825	968	603	863	1119	934	843	703	972	979	692	1240	946	844	715	649	833	631	475	459	553	524	880	958	908	853	576	827	597	663	299	609	453	790	1079	948	1082	1131	803	1055	1063	977	910	878	790	680	784	540					
7	Число избирательных бюллетеней в переносных ящиках	2682	44	65	20	50	347	8	16	34	38	76	29	40	29	25	64	35	23	46	39	33	30	41	60	27	27	29	16	47	31	48	22	24	28	24	31	89	29	25	48	33	39	40	23	39	39	14	46	137	184	40	13	20	19	14	26	17	19	17	26	16	23	14	21	66					
8	Число бюллетеней в стационарных ящиках для голосования	65346	903	1139	1139	1286	784	1404	926	1319	951	1107	1245	1110	1051	1038	1144	979	652	786	858	904	1350	1225	1097	1070	1201	1192	792	1213	1523	1108	963	827	939	544	494	652	718	751	1072	509	553	1107	701	832	864	823	655	954	861	970	1408	1332	1399	1355	1468	1428	1418	1006	1262	1106	986	1004	995	894					
9	Число недействительных избирательных бюллетеней	371	2	11	5	7	16	6	4	5	14	5	8	10	6	7	7	7	4	9	2	4	10	3	9	6	9	6	1	10	9	2	5	5	5	0	3	3	3	3	6	6	5	6	6	4	6	4	2	10	5	5	5	3	3	7	13	6	8	8	4	3	7	3	4	1					
10	Число действительных избирательных бюллетеней	67657	945	1193	1154	1329	1115	1406	938	1348	975	1178	1266	1140	1074	1056	1201	1007	671	823	895	933	1370	1263	1148	1091	1219	1215	807	1250	1545	1154	980	846	962	568	522	738	744	773	1114	536	587	1141	718	867	897	833	699	1081	1040	1005	1416	1349	1415	1362	1481	1439	1429	1015	1284	1119	1002	1015	1012	959					
