Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																					
Дата голосования: 07.12.2003 0:00:00																																					
																																					
"Наименование Избирательной комиссии:    Новокузнецк, Орджоникидзевская"																																					
																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																					
																																					
		Сумма	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823					
1	"Число избирателей, внесенных в списки"	60876	1167	504	1646	678	1519	1788	2564	2844	1601	3078	1990	2356	2510	2666	1547	1875	2273	1420	851	1605	1674	2417	2149	2875	2566	2949	2859	2886	3197	822					
2	"Число бюллетеней, полученных участковыми комиссиями"	54800	1000	500	1400	600	1400	1600	2300	2600	1400	2700	1800	2100	2200	2400	1400	1600	2000	1200	800	1400	1600	2200	2000	2600	2300	2700	2600	2600	3000	800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28114	516	183	819	261	751	921	1323	1216	654	1427	869	1160	1119	1275	642	845	1103	639	292	670	748	1154	1004	1346	1192	1450	1336	1282	1601	316					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1499	39	43	42	19	46	28	38	52	73	205	40	38	44	55	87	35	0	37	108	35	42	20	25	40	30	33	70	18	95	62					
6	Число погашенных бюллетеней	25187	445	274	539	320	603	651	939	1332	673	1068	891	902	1037	1070	671	720	897	524	400	695	810	1026	971	1214	1078	1217	1194	1300	1304	422					
7	Число бюллетеней в переносных ящиках для голосования	1498	39	43	42	19	46	28	38	52	73	205	40	38	44	55	87	35	0	37	108	34	42	20	25	40	30	33	70	18	95	62					
8	Число бюллетеней в стационарных ящиках для голосования	28049	515	183	819	261	751	921	1323	1216	654	1427	869	1122	1119	1275	642	845	1103	639	292	671	748	1154	1004	1346	1166	1450	1335	1282	1601	316					
9	Число недействительных бюллетеней	383	9	3	7	15	9	8	12	7	17	24	20	13	17	10	5	6	66	7	7	7	3	11	11	23	14	9	10	7	14	12					
10	Число действительных бюллетеней	29164	545	223	854	265	788	941	1349	1261	710	1608	889	1147	1146	1320	724	874	1037	669	393	698	787	1163	1018	1363	1182	1474	1395	1293	1682	366					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	580	10	10	20	10	20	20	25	20	20	20	20	25	20	20	20	20	30	20	10	20	20	20	20	30	20	20	20	20	20	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	356	3	0	10	1	12	20	21	19	8	15	9	18	9	19	8	13	22	6	2	2	12	10	20	26	13	18	10	14	15	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	278	14	9	13	6	6	4	17	16	12	27	2	6	3	11	12	3	8	11	10	0	0	10	14	7	10	12	14	12	3	6					
14	Число погашенных открепительных удостоверений	224	7	10	10	9	8	0	4	1	12	5	11	7	11	1	12	7	8	14	8	18	8	10	0	4	7	2	10	6	5	9					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																					
18	"1. ""ЕДИНЕНИЕ"""	271	14	5	7	3	5	6	16	8	7	14	11	9	15	6	8	8	7	8	3	15	7	10	7	9	10	5	15	11	19	3					
		0.91%	2.52%	2.21%	0.81%	1.07%	0.62%	0.63%	1.17%	0.63%	0.96%	0.85%	1.21%	0.77%	1.28%	0.45%	1.09%	0.90%	0.63%	1.18%	0.75%	2.12%	0.88%	0.85%	0.68%	0.64%	0.83%	0.33%	1.06%	0.84%	1.12%	0.79%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	706	3	4	12	6	19	19	34	40	13	30	22	25	38	26	13	14	17	9	12	23	14	36	25	42	42	51	52	36	23	6					
		2.38%	0.54%	1.76%	1.39%	2.14%	2.38%	2.00%	2.49%	3.15%	1.78%	1.83%	2.42%	2.15%	3.26%	1.95%	1.78%	1.59%	1.54%	1.33%	3.0%	3.26%	1.77%	3.06%	2.42%	3.03%	3.51%	3.43%	3.70%	2.76%	1.35%	1.58%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	592	13	2	27	6	21	13	28	15	21	40	22	25	26	26	17	26	24	16	9	8	22	15	9	21	23	27	20	21	38	11					
		2.00%	2.34%	0.88%	3.13%	2.14%	2.63%	1.36%	2.05%	1.18%	2.88%	2.45%	2.42%	2.15%	2.23%	1.95%	2.33%	2.95%	2.17%	2.36%	2.25%	1.13%	2.78%	1.27%	0.87%	1.51%	1.92%	1.82%	1.42%	1.61%	2.24%	2.91%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1443	9	8	54	6	25	59	90	84	25	68	29	50	29	84	25	41	36	38	9	20	45	54	63	98	87	91	75	76	46	19					
		4.88%	1.62%	3.53%	6.27%	2.14%	3.13%	6.21%	6.61%	6.62%	3.43%	4.16%	3.19%	4.31%	2.49%	6.31%	3.42%	4.65%	3.26%	5.62%	2.25%	2.83%	5.69%	4.59%	6.12%	7.07%	7.27%	6.13%	5.33%	5.84%	2.71%	5.02%					
22	"5. ""За Русь Святую"""	183	6	2	5	3	5	4	5	8	4	9	11	8	15	4	2	5	7	2	4	7	5	6	7	9	6	9	3	9	7	6					
		0.61%	1.08%	0.88%	0.58%	1.07%	0.62%	0.42%	0.36%	0.63%	0.55%	0.55%	1.21%	0.68%	1.28%	0.30%	0.27%	0.56%	0.63%	0.29%	1.0%	0.99%	0.63%	0.51%	0.68%	0.64%	0.50%	0.60%	0.21%	0.69%	0.41%	1.58%					
23	"6. ""Объединенная Российская партия ""Русь"""	51	1	1	2	1	0	1	3	2	1	1	0	1	1	1	0	2	15	0	0	0	0	2	0	4	2	1	0	3	4	2					
		0.17%	0.18%	0.44%	0.23%	0.35%	0.0%	0.10%	0.22%	0.15%	0.13%	0.06%	0.0%	0.08%	0.08%	0.07%	0.0%	0.22%	1.35%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.28%	0.16%	0.06%	0.0%	0.23%	0.23%	0.52%					
24	"7. ""Новый курс - Автомобильная Россия"""	180	1	1	0	2	4	4	7	7	4	11	6	6	6	3	9	2	4	5	3	3	8	6	5	7	13	12	9	19	12	1					
		0.60%	0.18%	0.44%	0.0%	0.71%	0.50%	0.42%	0.51%	0.55%	0.55%	0.67%	0.66%	0.51%	0.51%	0.22%	1.23%	0.22%	0.36%	0.73%	0.75%	0.42%	1.01%	0.51%	0.48%	0.50%	1.08%	0.80%	0.64%	1.46%	0.70%	0.26%					
25	"8. ""Народно-республиканская партия России"""	30	1	0	1	1	1	0	3	0	2	3	0	0	0	0	2	2	0	0	0	2	1	1	1	0	1	0	2	0	4	2					
		0.10%	0.18%	0.0%	0.11%	0.35%	0.12%	0.0%	0.22%	0.0%	0.27%	0.18%	0.0%	0.0%	0.0%	0.0%	0.27%	0.22%	0.0%	0.0%	0.0%	0.28%	0.12%	0.08%	0.09%	0.0%	0.08%	0.0%	0.14%	0.0%	0.23%	0.52%					
26	"9. ""Российская экологическая партия ""Зеленые"""	102	0	0	4	1	4	2	2	4	4	10	2	0	3	6	0	6	2	4	0	3	1	2	2	3	2	12	9	6	8	0					
		0.34%	0.0%	0.0%	0.46%	0.35%	0.50%	0.21%	0.14%	0.31%	0.55%	0.61%	0.22%	0.0%	0.25%	0.45%	0.0%	0.68%	0.18%	0.59%	0.0%	0.42%	0.12%	0.17%	0.19%	0.21%	0.16%	0.80%	0.64%	0.46%	0.47%	0.0%					
27	"10. ""Аграрная партия России"""	380	6	2	11	0	14	8	22	18	15	19	12	18	13	10	9	0	16	8	6	4	18	19	20	15	11	10	18	14	39	5					
