Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																											
Дата голосования: 04.12.2011																																											
																																											
Наименование Избирательной комиссии:    Чистопольская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832					
1	"Число избирателей, внесенных в список избирателей"	14724	864	91	281	338	233	293	651	489	213	1703	571	390	246	128	139	346	194	306	225	381	279	530	100	503	216	258	486	214	484	93	106	415	563	157	1042	1196					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14791	875	87	275	335	237	292	658	487	213	1715	571	384	246	129	144	363	190	307	224	383	279	539	102	504	208	268	492	212	488	97	105	433	556	157	1044	1192					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	12670	764	85	244	296	200	269	555	439	187	1547	528	362	231	122	113	282	179	275	174	347	276	389	100	463	168	239	440	203	426	81	85	354	537	137	913	660					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1154	91	0	31	20	29	21	70	34	24	155	32	22	13	6	15	47	11	28	21	23	3	94	0	25	15	19	29	5	53	12	11	27	19	16	63	70					
6	Число погашенных избирательных бюллетеней	967	20	2	0	19	8	2	33	14	2	13	11	0	2	1	16	34	0	4	29	13	0	56	2	16	25	10	23	4	9	4	9	52	0	4	68	462					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1154	91	0	31	20	29	21	70	34	24	155	32	22	13	6	15	47	11	28	21	23	3	94	0	25	15	19	29	5	53	12	11	27	19	16	63	70					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12670	764	85	244	296	200	269	555	439	187	1547	528	362	231	122	113	282	179	275	174	347	276	389	100	463	168	239	440	203	426	81	85	354	537	137	913	660					
9	Число недействительных избирательных бюллетеней	68	4	2	0	0	6	0	1	0	0	0	0	0	0	0	2	0	2	0	1	1	0	8	0	0	2	1	6	3	8	0	0	6	0	0	2	13					
10	Число действительных избирательных бюллетеней	13756	851	83	275	316	223	290	624	473	211	1702	560	384	244	128	126	329	188	303	194	369	279	475	100	488	181	257	463	205	471	93	96	375	556	153	974	717					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	350	18	2	6	7	6	6	14	10	4	35	12	8	5	3	7	8	4	7	5	8	6	11	2	11	5	6	10	5	10	2	8	34	12	3	21	29					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	164	2	0	2	2	6	0	2	2	0	18	4	2	1	0	7	8	0	0	1	0	0	11	1	1	1	4	0	1	10	2	8	30	3	0	6	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	138	4	3	3	4	4	3	3	3	5	10	3	3	4	3	3	1	8	2	4	2	2	20	1	3	4	1	1	2	3	2	3	4	3	1	4	9					
14	Число погашенных неиспользованных открепительных удостоверений	186	16	2	4	5	0	6	12	8	4	17	8	6	4	3	0	0	4	7	4	8	6	0	1	10	4	2	10	4	0	0	0	4	9	3	15	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	280	53	2	0	8	4	1	2	1	0	11	3	0	3	0	0	1	1	0	2	2	1	23	1	4	18	1	4	4	0	0	0	43	0	0	5	82					
		2.03%	6.20%	2.35%	0.00%	2.53%	1.75%	0.34%	0.32%	0.21%	0.00%	0.65%	0.54%	0.00%	1.23%	0.00%	0.00%	0.30%	0.53%	0.00%	1.03%	0.54%	0.36%	4.76%	1.00%	0.82%	9.84%	0.39%	0.85%	1.92%	0.00%	0.00%	0.00%	11.29%	0.00%	0.00%	0.51%	11.23%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	228	4	1	5	10	4	1	5	2	0	3	3	0	0	0	0	4	0	0	4	1	0	22	1	1	9	0	0	14	7	0	0	44	0	0	20	63					
		1.65%	0.47%	1.18%	1.82%	3.16%	1.75%	0.34%	0.80%	0.42%	0.00%	0.18%	0.54%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%	2.05%	0.27%	0.00%	4.55%	1.00%	0.20%	4.92%	0.00%	0.00%	6.73%	1.46%	0.00%	0.00%	11.55%	0.00%	0.00%	2.05%	8.63%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	26	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	3	0	0	7	7					
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.20%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.72%	0.96%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1004	57	3	6	6	4	4	26	31	2	76	10	7	15	3	26	13	3	13	37	15	1	79	4	66	30	4	0	28	9	3	0	39	15	2	153	214					
		7.26%	6.67%	3.53%	2.18%	1.90%	1.75%	1.38%	4.16%	6.55%	0.95%	4.47%	1.79%	1.82%	6.15%	2.34%	20.31%	3.95%	1.58%	4.29%	18.97%	4.05%	0.36%	16.36%	4.00%	13.52%	16.39%	1.55%	0.00%	13.46%	1.88%	3.23%	0.00%	10.24%	2.70%	1.31%	15.68%	29.32%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	29	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	1	0	0	7	0	1	2	0	0	2	0	0	0	2	0	0	2	6					
		0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	1.45%	0.00%	0.20%	1.09%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.20%	0.82%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12171	737	77	264	292	211	284	583	439	209	1612	538	377	226	125	100	311	184	290	150	351	277	340	94	415	122	251	459	155	455	90	96	241	541	151	784	340					
		88.04%	86.20%	90.59%	96.00%	92.41%	92.14%	97.93%	93.28%	92.81%	99.05%	94.71%	96.07%	98.18%	92.62%	97.66%	78.13%	94.53%	96.84%	95.71%	76.92%	94.86%	99.28%	70.39%	94.00%	85.04%	66.67%	97.29%	97.87%	74.52%	94.99%	96.77%	100.00%	63.25%	97.30%	98.69%	80.33%	46.58%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	18	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	3	0	0	3	5					
