Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Паланская									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №188	УИК №189					
1	"Число избирателей, внесенных в списки избирателей"	2944	1007	1937					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2679	899	1780					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1542	533	1009					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	55	21	34					
6	Число погашенных избирательных бюллетеней	1082	345	737					
7	Число избирательных бюллетеней в переносных ящиках для голосования	55	21	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1538	533	1005					
9	Число недействительных избирательных бюллетеней	58	21	37					
10	Число действительных избирательных бюллетеней	1535	533	1002					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	88	30	58					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	8	2	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	13	8	5					
14	Число погашенных неиспользованных открепительных удостоверений	80	28	52					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	46	18	28					
		2.89%	3.25%	2.69%					
19	2.Всероссийская политическая партия «Гражданская Сила»	19	6	13					
		1.19%	1.08%	1.25%					
20	3.Политическая партия «Демократическая партия России»	1	0	1					
		0.06%	0.00%	0.10%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	174	48	126					
		10.92%	8.66%	12.13%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	7	2	5					
		0.44%	0.36%	0.48%					
23	6.Политическая партия «Партия социальной справедливости»	1	0	1					
		0.06%	0.00%	0.10%					
24	7.Политическая партия «Либерально-демократическая партия России»	158	57	101					
		9.92%	10.29%	9.72%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	107	41	66					
		6.72%	7.40%	6.35%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	18	3	15					
		1.13%	0.54%	1.44%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	953	341	612					
		59.82%	61.55%	58.90%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	51	17	34					
		3.20%	3.07%	3.27%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
