Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Армянская городская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21017	1224	766	1820	1716	1384	1961	1989	1842	2077	1217	822	1985	1303	911									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17300	1000	500	1600	1600	1200	1600	1600	1600	1800	1000	600	1600	1000	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11762	677	403	928	839	778	1119	1205	1039	1219	719	537	1097	669	533									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	737	42	52	42	67	60	65	64	62	62	54	18	26	78	45									
6	Число погашенных избирательных бюллетеней	4801	281	45	630	694	362	416	331	499	519	227	45	477	253	22									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	737	42	52	42	67	60	65	64	62	62	54	18	26	78	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11762	677	403	928	839	778	1119	1205	1039	1219	719	537	1097	669	533									
9	Число недействительных избирательных бюллетеней	321	17	12	28	13	7	27	31	27	33	50	11	25	25	15									
10	Число действительных избирательных бюллетеней	12178	702	443	942	893	831	1157	1238	1074	1248	723	544	1098	722	563									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	290	20	10	30	20	20	25	25	20	50	15	10	20	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	204	13	3	20	11	18	21	21	14	38	12	8	18	6	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	286	22	37	22	16	27	19	15	13	13	14	18	49	9	12									
14	Число погашенных неиспользованных открепительных удостоверений	86	7	7	10	9	2	4	4	6	12	3	2	2	9	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	1	1	3	5	1	0	3	2	3	1	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	130	2	8	3	6	5	24	23	8	17	8	8	8	5	5									
		1.04%	0.28%	1.76%	0.31%	0.66%	0.60%	2.03%	1.81%	0.73%	1.33%	1.03%	1.44%	0.71%	0.67%	0.87%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	166	8	6	13	17	9	8	21	17	17	5	6	11	11	17									
		1.33%	1.11%	1.32%	1.34%	1.88%	1.07%	0.68%	1.65%	1.54%	1.33%	0.65%	1.08%	0.98%	1.47%	2.94%									
