Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
"Наименование Избирательной комиссии:    Тольятти, Комсомольская"																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699					
1	"Число избирателей, внесенных в списки избирателей"	96891	2612	2429	2359	2290	2042	2272	2076	1852	2002	2096	2306	2169	2212	2201	1996	1972	2321	2244	2410	2238	1867	2104	2299	1906	2881	2374	1514	1967	1903	2660	2791	2530	2588	2527	1975	2119	1792	2394	2169	1267	1675	2525	2497	2468					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	88300	2400	2200	2200	2100	1800	2100	1900	1700	1800	1900	2100	2000	2000	2000	1800	1800	2100	2100	2200	2000	1700	1900	2100	1700	2600	2200	1400	1700	1800	2400	2600	2300	2400	2300	1800	1900	1600	2200	2000	1100	1500	2300	2300	2300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	47242	1271	1269	1157	1108	1065	1176	1092	1030	1006	1088	1167	1071	1150	1045	959	996	1145	1088	1175	1193	937	1091	1143	671	1483	981	688	1133	861	1339	1223	1170	1331	1261	878	1047	945	1211	1128	509	634	1092	1118	1117					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1395	15	22	12	23	136	63	45	23	26	37	37	26	38	13	20	31	28	15	39	28	24	20	22	87	67	12	39	18	22	10	24	20	9	16	24	17	36	17	38	45	49	45	22	35					
6	Число погашенных избирательных бюллетеней	39663	1114	909	1031	969	599	861	763	647	768	775	896	903	812	942	821	773	927	997	986	779	739	789	935	942	1050	1207	673	549	917	1051	1353	1110	1060	1023	898	836	619	972	834	546	817	1163	1160	1148					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1395	15	22	12	23	136	63	45	23	26	37	37	26	38	13	20	31	28	15	39	28	24	20	22	87	67	12	39	18	22	10	24	20	9	16	24	17	36	17	38	45	49	45	22	35					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47213	1271	1269	1157	1106	1065	1171	1092	1030	1005	1086	1167	1071	1150	1043	959	994	1145	1087	1175	1193	934	1091	1143	671	1483	981	688	1133	861	1339	1223	1167	1331	1260	878	1047	945	1210	1128	509	633	1088	1118	1116					
9	Число недействительных избирательных бюллетеней	518	17	12	13	22	12	10	12	13	10	5	15	14	18	10	9	8	6	12	20	13	7	18	12	9	13	10	14	12	8	15	15	13	11	20	7	10	10	13	9	3	4	6	14	14					
10	Число действительных избирательных бюллетеней	48090	1269	1279	1156	1107	1189	1224	1125	1040	1021	1118	1189	1083	1170	1046	970	1017	1167	1090	1194	1208	951	1093	1153	749	1537	983	713	1139	875	1334	1232	1174	1329	1256	895	1054	971	1214	1157	551	678	1127	1126	1137					
