Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Костромская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33965	1251	1710	1669	646	1770	2164	1209	537	157	484	165	791	2298	772	1403	1955	668	990	938	334	334	680	660	1191	1257	237	1085	324	1882	479	509	697	1576	553	590									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30135	1200	1500	1500	600	1500	2000	1000	500	160	450	145	700	2000	700	1200	1700	600	900	900	250	250	650	650	1000	1000	230	1000	300	1700	450	450	650	1300	500	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14183	614	517	678	232	794	1100	598	192	54	177	48	310	1107	194	556	867	243	340	417	95	136	210	293	687	603	103	504	160	764	177	154	263	556	222	218									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	922	73	50	52	6	7	16	7	12	2	7	25	55	7	53	47	9	13	13	12	75	13	73	10	25	30	10	15	15	100	7	13	25	18	4	23									
6	Число погашенных избирательных бюллетеней	15030	513	933	770	362	699	884	395	296	104	266	72	335	886	453	597	824	344	547	471	80	101	367	347	288	367	117	481	125	836	266	283	362	726	274	259									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	922	73	50	52	6	7	16	7	12	2	7	25	55	7	53	47	9	13	13	12	75	13	73	10	25	30	10	15	15	100	7	13	25	18	4	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14165	614	517	678	232	792	1092	597	192	54	177	48	310	1107	194	556	865	243	340	417	95	135	210	293	687	603	103	502	160	763	177	154	263	555	222	218									
9	Число недействительных избирательных бюллетеней	382	20	21	21	14	14	28	20	4	3	4	4	9	32	2	14	14	16	12	4	4	5	4	9	20	7	0	10	1	23	8	1	10	18	1	5									
10	Число действительных избирательных бюллетеней	14705	667	546	709	224	785	1080	584	200	53	180	69	356	1082	245	589	860	240	341	425	166	143	279	294	692	626	113	507	174	840	176	166	278	555	225	236									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	20	24	24	14	24	30	24	14	6	10	6	14	30	14	20	30	14	16	14	10	10	14	14	24	24	10	20	10	26	10	14	14	24	14	14									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	76	3	3	4	0	0	4	8	3	1	2	1	4	4	6	1	5	0	3	1	0	2	2	0	2	0	1	2	4	3	1	0	0	5	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	144	2	4	7	4	1	4	13	3	0	6	5	3	6	1	7	2	1	3	2	5	11	3	4	4	1	1	5	4	16	2	1	2	3	0	8									
14	Число погашенных неиспользованных открепительных удостоверений	524	17	21	20	14	24	26	16	11	5	8	5	10	26	8	19	25	14	13	13	10	8	12	14	22	24	9	18	6	23	9	14	14	19	13	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	0	0	1	0	0	2	1	2	0	2	0	0	0	1	3	3	0	1	0	0	0	0	0	1	1	0	1	0	3	1	1	1	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
