Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																										
Дата голосования: 04.12.2011																										
																										
Наименование Избирательной комиссии:    Пушкиногорская																										
																										
Сводная таблица результатов выборов																										
																										
		Сумма	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356					
1	"Число избирателей, внесенных в список избирателей"	8717	589	598	596	607	626	602	588	630	447	393	331	128	601	343	362	380	321	298	277					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8725	605	610	610	605	645	610	590	620	445	400	340	130	585	340	330	375	310	295	280					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3294	350	359	287	281	214	254	216	252	113	100	112	24	132	65	123	103	131	99	79					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1285	33	11	22	26	53	31	31	61	113	106	64	68	172	104	67	79	75	79	90					
6	Число погашенных избирательных бюллетеней	4146	222	240	301	298	378	325	343	307	219	194	164	38	281	171	140	193	104	117	111					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1285	33	11	22	26	53	31	31	61	113	106	64	68	172	104	67	79	75	79	90					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3294	350	359	287	281	214	254	216	252	113	100	112	24	132	65	123	103	131	99	79					
9	Число недействительных избирательных бюллетеней	51	3	5	3	2	4	2	6	11	3	4	0	0	1	1	1	3	1	0	1					
10	Число действительных избирательных бюллетеней	4528	380	365	306	305	263	283	241	302	223	202	176	92	303	168	189	179	205	178	168					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	150	10	10	10	10	10	10	10	10	7	7	6	4	5	6	6	6	6	6	11					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	87	10	6	7	7	7	7	9	4	3	5	2	2	0	2	1	0	2	6	7					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	101	7	8	2	2	3	1	3	2	4	3	1	2	8	2	29	2	6	13	3					
14	Число погашенных неиспользованных открепительных удостоверений	63	0	4	3	3	3	3	1	6	4	2	4	2	5	4	5	6	4	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	722	60	72	77	68	35	36	33	54	31	25	25	16	34	37	24	27	22	29	17					
		15.77%	15.67%	19.46%	24.92%	22.15%	13.11%	12.63%	13.36%	17.25%	13.72%	12.14%	14.20%	17.39%	11.18%	21.89%	12.63%	14.84%	10.68%	16.29%	10.06%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	551	32	26	20	36	43	37	31	44	43	18	28	6	28	27	20	33	25	33	21					
		12.03%	8.36%	7.03%	6.47%	11.73%	16.10%	12.98%	12.55%	14.06%	19.03%	8.74%	15.91%	6.52%	9.21%	15.98%	10.53%	18.13%	12.14%	18.54%	12.43%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	36	5	2	0	3	3	1	2	5	3	1	1	3	0	0	3	3	0	0	1					
		0.79%	1.31%	0.54%	0.00%	0.98%	1.12%	0.35%	0.81%	1.60%	1.33%	0.49%	0.57%	3.26%	0.00%	0.00%	1.58%	1.65%	0.00%	0.00%	0.59%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1233	125	125	101	116	71	84	80	97	56	55	42	15	64	29	33	28	41	26	45					
		26.93%	32.64%	33.78%	32.69%	37.79%	26.59%	29.47%	32.39%	30.99%	24.78%	26.70%	23.86%	16.30%	21.05%	17.16%	17.37%	15.38%	19.90%	14.61%	26.63%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	187	22	17	25	11	5	17	18	16	12	9	3	2	9	2	3	4	3	4	5					
		4.08%	5.74%	4.59%	8.09%	3.58%	1.87%	5.96%	7.29%	5.11%	5.31%	4.37%	1.70%	2.17%	2.96%	1.18%	1.58%	2.20%	1.46%	2.25%	2.96%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1780	134	123	81	70	103	107	74	85	77	93	77	49	167	73	106	83	114	86	78					
		38.87%	34.99%	33.24%	26.21%	22.80%	38.58%	37.54%	29.96%	27.16%	34.07%	45.15%	43.75%	53.26%	54.93%	43.20%	55.79%	45.60%	55.34%	48.31%	46.15%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	19	2	0	2	1	3	1	3	1	1	1	0	1	1	0	0	1	0	0	1					
		0.41%	0.52%	0.00%	0.65%	0.33%	1.12%	0.35%	1.21%	0.32%	0.44%	0.49%	0.00%	1.09%	0.33%	0.00%	0.00%	0.55%	0.00%	0.00%	0.59%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
