Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Прикубанская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21614	2303	643	345	617	349	756	1124	307	164	588	852	1193	678	535	780	1172	722	887	1289	1285	1436	1795	1794									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21875	2306	645	345	635	354	762	1124	302	164	589	864	1196	679	536	781	1245	724	889	1295	1402	1440	1798	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19854	2102	577	309	578	322	679	1010	279	146	534	785	1077	621	468	712	1168	661	837	1162	1282	1294	1627	1624									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	288	12	14	9	3	3	19	27	8	5	7	6	19	0	24	7	4	7	4	25	3	27	24	31									
6	Число погашенных избирательных бюллетеней	1733	192	54	27	54	29	64	87	15	13	48	73	100	58	44	62	73	56	48	108	117	119	147	145									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	288	12	14	9	3	3	19	27	8	5	7	6	19	0	24	7	4	7	4	25	3	27	24	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19854	2102	577	309	578	322	679	1010	279	146	534	785	1077	621	468	712	1168	661	837	1162	1282	1294	1627	1624									
9	Число недействительных избирательных бюллетеней	34	0	0	1	0	0	3	4	5	0	1	0	0	0	3	2	4	4	0	0	0	1	1	5									
10	Число действительных избирательных бюллетеней	20108	2114	591	317	581	325	695	1033	282	151	540	791	1096	621	489	717	1168	664	841	1187	1285	1320	1650	1650									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	65	3	3	2	3	2	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	65	3	3	2	3	2	3	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	3	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	39	4	1	1	1	1	1	2	1	0	1	2	2	1	1	1	2	1	2	2	3	3	3	3									
		0.19%	0.19%	0.17%	0.31%	0.17%	0.31%	0.14%	0.19%	0.35%	0.00%	0.18%	0.25%	0.18%	0.16%	0.20%	0.14%	0.17%	0.15%	0.24%	0.17%	0.23%	0.23%	0.18%	0.18%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1955	127	35	19	35	20	42	62	17	9	32	47	66	37	29	43	70	40	50	71	77	79	469	479									
		9.71%	6.01%	5.92%	5.97%	6.02%	6.15%	6.02%	5.98%	5.92%	5.96%	5.91%	5.94%	6.02%	5.96%	5.89%	5.98%	5.97%	5.99%	5.95%	5.98%	5.99%	5.98%	28.41%	28.94%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	26	2	1	0	1	0	1	1	0	3	1	1	1	1	1	2	1	1	1	1	1	1	2	2									
		0.13%	0.09%	0.17%	0.00%	0.17%	0.00%	0.14%	0.10%	0.00%	1.99%	0.18%	0.13%	0.09%	0.16%	0.20%	0.28%	0.09%	0.15%	0.12%	0.08%	0.08%	0.08%	0.12%	0.12%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16063	1847	494	265	486	272	581	864	236	126	452	662	917	519	411	599	976	555	704	993	879	1103	1069	1053									
		79.75%	87.37%	83.59%	83.33%	83.65%	83.69%	83.24%	83.32%	82.23%	83.44%	83.55%	83.69%	83.67%	83.57%	83.54%	83.31%	83.28%	83.08%	83.71%	83.66%	68.40%	83.50%	64.75%	63.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	2	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	2	2									
		0.10%	0.09%	0.17%	0.00%	0.17%	0.00%	0.14%	0.10%	0.00%	0.00%	0.18%	0.13%	0.09%	0.16%	0.00%	0.14%	0.09%	0.15%	0.12%	0.08%	0.08%	0.08%	0.12%	0.12%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	2	1	0	1	0	1	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	2	2									
		0.10%	0.09%	0.17%	0.00%	0.17%	0.00%	0.14%	0.10%	0.00%	0.00%	0.18%	0.13%	0.09%	0.16%	0.00%	0.14%	0.09%	0.15%	0.12%	0.08%	0.08%	0.08%	0.12%	0.12%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	131	4	4	2	3	2	4	7	2	1	4	5	7	4	3	5	8	4	5	8	18	9	11	11									
		0.65%	0.19%	0.68%	0.63%	0.52%	0.62%	0.57%	0.68%	0.70%	0.66%	0.74%	0.63%	0.64%	0.64%	0.61%	0.70%	0.68%	0.60%	0.59%	0.67%	1.40%	0.68%	0.67%	0.66%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1									
		0.02%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.08%	0.06%	0.06%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	41	4	2	2	1	1	1	2	1	0	1	2	2	1	1	1	2	2	2	2	3	3	2	3									
		0.20%	0.19%	0.34%	0.63%	0.17%	0.31%	0.14%	0.19%	0.35%	0.00%	0.18%	0.25%	0.18%	0.16%	0.20%	0.14%	0.17%	0.30%	0.24%	0.17%	0.23%	0.23%	0.12%	0.18%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	1	1	1									
		0.05%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.08%	0.08%	0.08%	0.06%	0.06%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	79	8	2	1	2	1	3	4	1	1	2	3	4	2	2	3	5	3	3	5	5	5	7	7									
		0.39%	0.38%	0.34%	0.31%	0.34%	0.31%	0.43%	0.39%	0.35%	0.66%	0.37%	0.38%	0.36%	0.32%	0.41%	0.42%	0.43%	0.45%	0.36%	0.42%	0.39%	0.38%	0.42%	0.42%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1406	78	41	22	41	23	49	72	20	11	38	55	77	43	34	50	82	46	59	83	275	92	55	60									
		6.98%	3.69%	6.94%	6.92%	7.06%	7.08%	7.02%	6.94%	6.97%	7.28%	7.02%	6.95%	7.03%	6.92%	6.91%	6.95%	6.99%	6.89%	7.02%	6.99%	21.40%	6.96%	3.33%	3.63%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	132	14	4	2	4	2	5	7	2	0	4	5	7	4	3	5	8	4	5	8	8	9	11	11									
		0.66%	0.66%	0.68%	0.63%	0.69%	0.62%	0.72%	0.68%	0.70%	0.00%	0.74%	0.63%	0.64%	0.64%	0.61%	0.70%	0.68%	0.60%	0.59%	0.67%	0.62%	0.68%	0.67%	0.66%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	179	19	5	3	5	3	6	9	2	0	3	7	10	7	4	6	11	6	8	11	12	12	15	15									
		0.89%	0.90%	0.85%	0.94%	0.86%	0.92%	0.86%	0.87%	0.70%	0.00%	0.55%	0.88%	0.91%	1.13%	0.81%	0.83%	0.94%	0.90%	0.95%	0.93%	0.93%	0.91%	0.91%	0.91%									
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
