Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Апастовская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922					
1	"Число избирателей, внесенных в список"	16031	889	810	801	606	311	309	154	420	123	336	130	260	223	104	239	203	134	230	221	191	108	190	211	120	172	310	229	233	328	238	177	188	114	110	128	162	203	538	568	303	364	454	247	128	305	292	90	408	135	327	439	216	344	284	114	341	219					
2	Число полученных избирательных бюллетеней	16430	900	810	810	610	320	320	160	425	130	355	135	260	230	105	240	210	140	235	225	200	110	190	215	125	175	310	235	245	340	240	180	190	115	115	135	170	205	580	590	310	380	475	250	135	310	300	100	415	140	335	450	220	350	285	120	345	225					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15106	838	776	764	597	292	301	151	390	116	281	124	245	194	99	239	189	134	219	209	186	93	190	204	116	170	300	168	210	281	224	170	172	113	110	112	154	190	526	540	289	357	433	223	116	279	280	64	400	135	327	436	203	335	284	105	262	191					
5	"Число избирательных бюллетеней, выданных вне помещения"	918	50	33	35	9	19	8	3	30	7	55	6	15	29	5	0	14	0	11	12	5	15	0	7	4	2	10	61	23	47	14	7	16	1	0	16	8	10	12	28	14	7	21	24	12	26	12	26	8	0	0	3	13	9	0	9	79	28					
6	Число погашенных избирательных бюллетеней	406	12	1	11	4	9	11	6	5	7	19	5	0	7	1	1	7	6	5	4	9	2	0	4	5	3	0	6	12	12	2	3	2	1	5	7	8	5	42	22	7	16	21	3	7	5	8	10	7	5	8	11	4	6	1	6	4	6					
7	Число избирательных бюллетеней в переносных ящиках	918	50	33	35	9	19	8	3	30	7	55	6	15	29	5	0	14	0	11	12	5	15	0	7	4	2	10	61	23	47	14	7	16	1	0	16	8	10	12	28	14	7	21	24	12	26	12	26	8	0	0	3	13	9	0	9	79	28					
8	Число бюллетеней в стационарных ящиках для голосования	15106	838	776	764	597	292	301	151	390	116	281	124	245	194	99	239	189	134	219	209	186	93	190	204	116	170	300	168	210	281	224	170	172	113	110	112	154	190	526	540	289	357	433	223	116	279	280	64	400	135	327	436	203	335	284	105	262	191					
9	Число недействительных избирательных бюллетеней	181	151	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	9	1	0	0	2	2	0	0	0	0					
10	Число действительных избирательных бюллетеней	15843	737	808	794	606	311	309	154	420	123	336	130	260	223	104	239	203	134	227	221	187	108	190	211	120	172	310	229	233	328	238	177	188	114	110	128	162	200	538	565	303	364	454	247	128	305	292	90	399	134	327	439	214	342	284	114	341	219					
11	Число полученных открепительных  удостоверений	500	30	30	30	30	5	10	5	10	5	10	5	10	5	5	10	5	5	10	5	5	5	5	10	5	10	10	5	10	10	10	5	5	5	5	5	5	5	15	15	5	10	10	5	5	10	10	5	10	5	5	10	5	10	5	5	5	5					
12	Число выданных открепительных удостоверений	190	30	17	30	17	2	0	0	0	0	10	1	0	1	1	0	0	0	4	2	0	1	1	1	0	0	6	1	0	5	1	0	1	2	0	0	0	1	14	15	0	8	7	1	0	0	0	0	2	1	0	2	2	0	0	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	11	13	7	9	0	1	0	0	0	0	1	2	0	1	1	0	0	0	0	0	2	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	3	7	2	0	0	3	1	3	0	0	0	2	1	3	0	1	4					
14	Число неиспользованных открепительных удостоверений	310	0	13	0	13	3	10	5	10	5	0	4	10	4	4	10	5	5	6	3	5	4	4	9	5	10	4	4	10	5	9	5	4	3	5	5	5	4	1	0	5	2	3	4	5	10	10	5	8	4	5	8	3	10	5	3	4	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	134	9	7	51	28	0	0	0	0	0	0	0	2	0	0	0	0	0	5	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	4	0	6	0	0	1	0	0	0	8	0	0	0	0	0	0	0	4	1					
		0.84%	1.01%	0.87%	6.38%	4.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	2.17%	0.90%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.56%	0.70%	0.00%	1.65%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	1.96%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.17%	0.46%					
19	. Малышкин Олег Александрович	22	5	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0					
		0.14%	0.56%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.77%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.18%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.63%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	70	12	10	1	6	2	0	0	0	0	0	0	0	5	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1					
