Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Район Орехово-Борисово Северное																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №3155					
1	"Число избирателей, внесенных в списки"	77980	2715	2790	2713	2161	2142	2115	2594	2217	2583	2324	2525	2299	2653	2579	2318	2215	2370	1747	1985	1801	2633	2543	2569	2476	1804	2317	2207	2472	2308	2219	2212	2535	2646	193					
2	"Число бюллетеней, полученных участковыми комиссиями"	75410	2700	2550	2700	2100	2000	2100	2500	2250	2500	2350	2450	2250	2700	2700	2150	2100	2250	1650	1900	1700	2500	2400	2350	2300	1700	2300	2150	2450	2250	2150	2100	2400	2550	210					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	44039	1455	1547	1501	1184	1172	1168	1426	1390	1497	1361	1421	1285	1553	1571	1346	1280	1389	957	1193	978	1515	1429	1376	1313	926	1315	1259	1363	1135	1299	1306	1422	1514	193					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1075	35	26	33	27	33	26	33	36	29	19	28	36	34	36	21	25	26	24	29	29	34	36	15	52	45	5	30	60	56	28	48	42	39	0					
6	Число погашенных бюллетеней	30309	1210	977	1166	889	795	906	1041	824	965	1002	1001	929	1113	1093	783	795	825	669	678	693	951	935	959	935	729	980	861	1027	1059	823	746	936	997	17					
7	Число бюллетеней в переносных ящиках для голосования	1075	35	26	33	27	33	26	33	36	29	19	28	36	34	36	21	25	26	24	29	29	34	36	15	52	45	5	30	60	56	28	48	42	39	0					
8	Число бюллетеней в стационарных ящиках для голосования	43846	1453	1547	1501	1148	1172	1163	1397	1376	1478	1361	1392	1285	1553	1571	1341	1280	1379	954	1185	976	1511	1417	1376	1309	926	1315	1259	1362	1135	1294	1306	1422	1509	193					
9	Число недействительных бюллетеней	670	14	1	14	6	8	5	28	23	34	13	33	55	37	52	22	20	31	11	11	10	13	20	24	19	13	11	19	23	25	16	14	18	27	0					
10	Число действительных бюллетеней	44251	1474	1572	1520	1169	1197	1184	1402	1389	1473	1367	1387	1266	1550	1555	1340	1285	1374	967	1203	995	1532	1433	1367	1342	958	1309	1270	1399	1166	1306	1340	1446	1521	193					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1472	40	34	34	43	49	36	40	41	52	43	47	43	41	42	44	58	47	45	54	52	40	32	48	67	47	44	40	60	31	57	31	45	45	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1094	30	30	31	32	46	22	34	39	30	39	37	25	35	39	28	34	41	23	33	34	32	26	44	44	33	26	30	31	18	41	27	41	39	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	897	19	27	18	60	11	21	22	11	20	18	33	26	38	19	25	29	41	24	13	15	41	37	32	27	25	21	31	44	24	19	75	17	14	0					
14	Число погашенных открепительных удостоверений	378	10	4	3	11	3	14	6	2	22	4	10	18	6	3	16	24	6	22	21	18	8	6	4	23	14	18	10	29	13	16	4	4	6	0					
15	Число открепительных удостоверений выданных ТИК	84	1	0	2	7	2	3	3	2	6	4	0	2	4	7	1	1	0	1	0	1	6	7	2	0	1	6	7	1	2	0	1	1	3	0					
16	Число утраченных бюллетеней	23	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0					
17	Число не учтенных при получении бюллетеней	36	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0					
																																									
18	"1. ""ЕДИНЕНИЕ"""	293	9	9	4	12	2	15	12	9	5	6	6	5	3	8	8	11	10	8	3	15	15	16	8	6	3	5	9	10	12	15	7	19	8	0					
		0.65%	0.60%	0.57%	0.26%	1.02%	0.16%	1.26%	0.83%	0.63%	0.33%	0.43%	0.42%	0.37%	0.18%	0.49%	0.58%	0.84%	0.71%	0.81%	0.24%	1.49%	0.97%	1.10%	0.57%	0.44%	0.30%	0.37%	0.69%	0.70%	1.00%	1.13%	0.51%	1.29%	0.51%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3078	78	161	182	71	80	77	92	121	103	90	89	89	100	146	73	125	114	55	118	62	93	56	104	67	77	117	96	78	36	86	68	68	105	1					
		6.85%	5.24%	10.23%	11.86%	6.04%	6.63%	6.47%	6.43%	8.56%	6.83%	6.52%	6.26%	6.73%	6.30%	9.08%	5.35%	9.57%	8.11%	5.62%	9.71%	6.16%	6.01%	3.85%	7.47%	4.92%	7.92%	8.86%	7.44%	5.48%	3.02%	6.50%	5.02%	4.64%	6.78%	0.51%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	966	25	26	36	13	17	26	43	25	26	32	26	27	54	26	26	31	36	35	18	26	33	30	32	31	21	23	24	37	30	27	38	32	34	0					
		2.15%	1.68%	1.65%	2.34%	1.10%	1.41%	2.18%	3.00%	1.77%	1.72%	2.31%	1.83%	2.04%	3.40%	1.61%	1.90%	2.37%	2.56%	3.57%	1.48%	2.58%	2.13%	2.06%	2.30%	2.27%	2.16%	1.74%	1.86%	2.60%	2.51%	2.04%	2.80%	2.18%	2.19%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	4202	113	182	150	124	109	126	122	160	142	115	168	120	137	135	112	146	161	76	149	96	137	98	157	111	98	174	97	116	106	107	91	123	144	0					
		9.35%	7.59%	11.57%	9.77%	10.55%	9.04%	10.59%	8.53%	11.33%	9.42%	8.33%	11.83%	9.08%	8.63%	8.40%	8.22%	11.18%	11.45%	7.77%	12.27%	9.55%	8.86%	6.74%	11.28%	8.15%	10.09%	13.18%	7.52%	8.15%	8.90%	8.09%	6.72%	8.40%	9.30%	0.0%					
22	"5. ""За Русь Святую"""	209	2	7	8	5	8	7	9	6	10	11	6	10	11	2	6	9	5	4	5	6	5	3	10	5	4	9	3	6	7	7	3	4	5	1					
		0.46%	0.13%	0.44%	0.52%	0.42%	0.66%	0.58%	0.62%	0.42%	0.66%	0.79%	0.42%	0.75%	0.69%	0.12%	0.44%	0.68%	0.35%	0.40%	0.41%	0.59%	0.32%	0.20%	0.71%	0.36%	0.41%	0.68%	0.23%	0.42%	0.58%	0.52%	0.22%	0.27%	0.32%	0.51%					
23	"6. ""Объединенная Российская партия ""Русь"""	97	2	5	2	3	4	3	2	2	4	1	6	4	6	2	3	5	2	2	2	1	4	2	3	4	1	3	3	6	2	0	2	6	0	0					
		0.21%	0.13%	0.31%	0.13%	0.25%	0.33%	0.25%	0.13%	0.14%	0.26%	0.07%	0.42%	0.30%	0.37%	0.12%	0.22%	0.38%	0.14%	0.20%	0.16%	0.09%	0.25%	0.13%	0.21%	0.29%	0.10%	0.22%	0.23%	0.42%	0.16%	0.0%	0.14%	0.40%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	790	23	37	20	22	19	25	28	27	20	21	27	22	27	26	19	16	28	20	15	11	25	31	32	30	13	23	30	24	23	18	35	17	36	0					
		1.75%	1.54%	2.35%	1.30%	1.87%	1.57%	2.10%	1.95%	1.91%	1.32%	1.52%	1.90%	1.66%	1.70%	1.61%	1.39%	1.22%	1.99%	2.04%	1.23%	1.09%	1.61%	2.13%	2.30%	2.20%	1.33%	1.74%	2.32%	1.68%	1.93%	1.36%	2.58%	1.16%	2.32%	0.0%					
25	"8. ""Народно-республиканская партия России"""	23	0	0	0	1	1	1	2	0	2	0	0	0	0	0	1	2	0	0	3	0	2	0	0	1	2	0	1	0	0	2	0	2	0	0					
		0.05%	0.0%	0.0%	0.0%	0.08%	0.08%	0.08%	0.13%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.15%	0.0%	0.0%	0.24%	0.0%	0.12%	0.0%	0.0%	0.07%	0.20%	0.0%	0.07%	0.0%	0.0%	0.15%	0.0%	0.13%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	332	12	19	16	7	9	10	11	12	8	11	12	11	4	8	14	9	6	6	6	5	9	8	16	11	7	15	9	10	4	16	10	7	14	0					
		0.73%	0.80%	1.20%	1.04%	0.59%	0.74%	0.84%	0.76%	0.84%	0.53%	0.79%	0.84%	0.83%	0.25%	0.49%	1.02%	0.68%	0.42%	0.61%	0.49%	0.49%	0.58%	0.55%	1.15%	0.80%	0.72%	1.13%	0.69%	0.70%	0.33%	1.21%	0.73%	0.47%	0.90%	0.0%					
27	"10. ""Аграрная партия России"""	718	22	19	25	17	18	24	16	23	23	23	25	28	27	37	28	23	19	12	18	17	20	39	21	21	18	15	22	11	23	12	19	25	28	0					
		1.59%	1.47%	1.20%	1.62%	1.44%	1.49%	2.01%	1.11%	1.62%	1.52%	1.66%	1.76%	2.11%	1.70%	2.30%	2.05%	1.76%	1.35%	1.22%	1.48%	1.69%	1.29%	2.68%	1.50%	1.54%	1.85%	1.13%	1.70%	0.77%	1.93%	0.90%	1.40%	1.70%	1.80%	0.0%					
28	"11. ""Истинные патриоты России"""	44	5	0	1	3	0	2	0	1	7	0	2	0	0	1	0	0	0	2	1	0	4	0	1	0	2	1	2	3	0	3	2	0	1	0					
		0.09%	0.33%	0.0%	0.06%	0.25%	0.0%	0.16%	0.0%	0.07%	0.46%	0.0%	0.14%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.20%	0.08%	0.0%	0.25%	0.0%	0.07%	0.0%	0.20%	0.07%	0.15%	0.21%	0.0%	0.22%	0.14%	0.0%	0.06%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	522	19	24	22	7	23	12	20	6	12	16	17	16	24	13	14	13	8	11	12	7	14	13	8	16	14	15	24	20	17	19	19	18	29	0					
		1.16%	1.27%	1.52%	1.43%	0.59%	1.90%	1.00%	1.39%	0.42%	0.79%	1.15%	1.19%	1.21%	1.51%	0.80%	1.02%	0.99%	0.56%	1.12%	0.98%	0.69%	0.90%	0.89%	0.57%	1.17%	1.44%	1.13%	1.86%	1.40%	1.42%	1.43%	1.40%	1.22%	1.87%	0.0%					
30	"13. ""Демократическая партия России"""	58	1	4	1	1	0	1	1	3	2	1	0	0	0	3	13	3	1	2	0	3	1	1	0	1	2	0	4	2	0	1	4	2	0	0					
		0.12%	0.06%	0.25%	0.06%	0.08%	0.0%	0.08%	0.06%	0.21%	0.13%	0.07%	0.0%	0.0%	0.0%	0.18%	0.95%	0.22%	0.07%	0.20%	0.0%	0.29%	0.06%	0.06%	0.0%	0.07%	0.20%	0.0%	0.31%	0.14%	0.0%	0.07%	0.29%	0.13%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	72	1	3	2	0	0	2	2	2	3	2	3	1	1	3	7	5	2	0	3	2	5	5	1	2	3	1	0	0	1	2	3	1	4	0					
		0.16%	0.06%	0.19%	0.13%	0.0%	0.0%	0.16%	0.13%	0.14%	0.19%	0.14%	0.21%	0.07%	0.06%	0.18%	0.51%	0.38%	0.14%	0.0%	0.24%	0.19%	0.32%	0.34%	0.07%	0.14%	0.30%	0.07%	0.0%	0.0%	0.08%	0.15%	0.22%	0.06%	0.25%	0.0%					
32	"15. ""Партия СЛОН"""	85	3	4	0	3	0	3	2	3	3	4	4	5	1	4	4	2	1	3	0	6	4	2	1	1	7	1	1	6	0	4	0	1	2	0					
		0.18%	0.20%	0.25%	0.0%	0.25%	0.0%	0.25%	0.13%	0.21%	0.19%	0.28%	0.28%	0.37%	0.06%	0.24%	0.29%	0.15%	0.07%	0.30%	0.0%	0.59%	0.25%	0.13%	0.07%	0.07%	0.72%	0.07%	0.07%	0.42%	0.0%	0.30%	0.0%	0.06%	0.12%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6681	233	269	281	180	195	182	218	209	229	210	232	194	202	234	167	199	227	136	253	173	212	179	175	195	144	214	169	170	146	217	205	223	208	1					
		14.87%	15.65%	17.10%	18.31%	15.31%	16.18%	15.30%	15.24%	14.80%	15.19%	15.21%	16.33%	14.68%	12.72%	14.56%	12.26%	15.24%	16.15%	13.90%	20.84%	17.21%	13.72%	12.31%	12.58%	14.32%	14.83%	16.21%	13.11%	11.95%	12.25%	16.41%	15.14%	15.23%	13.43%	0.51%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	37	2	0	0	0	0	0	3	3	3	1	1	2	2	1	3	3	1	1	1	2	0	2	1	0	0	1	1	0	0	1	0	1	1	0					
		0.08%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.21%	0.19%	0.07%	0.07%	0.15%	0.12%	0.06%	0.22%	0.22%	0.07%	0.10%	0.08%	0.19%	0.0%	0.13%	0.07%	0.0%	0.0%	0.07%	0.07%	0.0%	0.0%	0.07%	0.0%	0.06%	0.06%	0.0%					
35	"18. ""ЛДПР"""	2981	124	83	88	83	83	86	102	94	103	111	78	77	110	117	110	75	73	59	78	49	130	105	104	118	57	74	80	95	82	70	83	104	94	2					
		6.63%	8.33%	5.27%	5.73%	7.06%	6.88%	7.23%	7.13%	6.65%	6.83%	8.04%	5.49%	5.82%	6.93%	7.28%	8.07%	5.74%	5.19%	6.03%	6.42%	4.87%	8.41%	7.22%	7.47%	8.67%	5.87%	5.60%	6.20%	6.68%	6.88%	5.29%	6.12%	7.10%	6.07%	1.03%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	365	14	13	8	4	16	14	14	8	11	8	10	11	16	8	14	9	13	10	6	3	14	18	9	19	5	12	4	16	12	8	12	17	9	0					
		0.81%	0.94%	0.82%	0.52%	0.34%	1.32%	1.17%	0.97%	0.56%	0.72%	0.57%	0.70%	0.83%	1.00%	0.49%	1.02%	0.68%	0.92%	1.02%	0.49%	0.29%	0.90%	1.23%	0.64%	1.39%	0.51%	0.90%	0.31%	1.12%	1.00%	0.60%	0.88%	1.16%	0.58%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	16409	570	445	470	440	430	417	509	482	522	486	474	473	611	556	551	448	450	382	351	372	597	602	518	571	357	418	513	597	517	455	551	541	547	186					
		36.52%	38.30%	28.28%	30.63%	37.44%	35.68%	35.07%	35.59%	34.13%	34.63%	35.21%	33.38%	35.80%	38.50%	34.59%	40.45%	34.32%	32.02%	39.05%	28.91%	37.01%	38.64%	41.43%	37.23%	41.95%	36.76%	31.66%	39.79%	41.98%	43.40%	34.41%	40.69%	36.95%	35.33%	96.37%					
38	"21. ""Российская Конституционно-демократическая партия"""	45	1	1	2	0	0	3	1	0	1	2	1	1	4	0	1	1	2	0	3	0	2	2	3	1	0	3	0	3	1	2	2	0	2	0					
		0.10%	0.06%	0.06%	0.13%	0.0%	0.0%	0.25%	0.06%	0.0%	0.06%	0.14%	0.07%	0.07%	0.25%	0.0%	0.07%	0.07%	0.14%	0.0%	0.24%	0.0%	0.12%	0.13%	0.21%	0.07%	0.0%	0.22%	0.0%	0.21%	0.08%	0.15%	0.14%	0.0%	0.12%	0.0%					
39	"22. ""Развитие предпринимательства"""	107	5	0	2	7	1	1	7	1	1	5	2	4	5	7	4	2	7	4	2	5	3	1	2	3	1	4	4	2	3	5	3	0	4	0					
		0.23%	0.33%	0.0%	0.13%	0.59%	0.08%	0.08%	0.48%	0.07%	0.06%	0.36%	0.14%	0.30%	0.31%	0.43%	0.29%	0.15%	0.49%	0.40%	0.16%	0.49%	0.19%	0.06%	0.14%	0.22%	0.10%	0.30%	0.31%	0.14%	0.25%	0.37%	0.22%	0.0%	0.25%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3159	102	137	107	89	96	81	110	91	108	81	120	89	112	91	71	77	106	69	84	72	110	111	84	80	65	84	91	78	65	125	96	130	145	2					
		7.03%	6.85%	8.70%	6.97%	7.57%	7.96%	6.81%	7.69%	6.44%	7.16%	5.86%	8.45%	6.73%	7.05%	5.66%	5.21%	5.90%	7.54%	7.05%	6.91%	7.16%	7.11%	7.63%	6.03%	5.87%	6.69%	6.36%	7.05%	5.48%	5.45%	9.45%	7.09%	8.87%	9.36%	1.03%					
																																									
41	Против всех	2978	108	124	93	77	86	66	76	101	125	130	78	77	93	127	91	71	102	70	72	62	93	109	77	48	57	97	83	109	79	104	87	105	101	0					
		6.62%	7.25%	7.88%	6.06%	6.55%	7.13%	5.55%	5.31%	7.15%	8.29%	9.42%	5.49%	5.82%	5.86%	7.90%	6.68%	5.44%	7.25%	7.15%	5.93%	6.16%	6.01%	7.50%	5.53%	3.52%	5.87%	7.34%	6.43%	7.66%	6.63%	7.86%	6.42%	7.17%	6.52%	0.0%					
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
