Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																			
Дата голосования: 07.12.2003 0:00:00																			
																			
Наименование Избирательной комиссии:    Износковская																			
																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																			
																			
		Сумма	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191					
1	"Число избирателей, внесенных в списки"	5587	1542	423	160	187	246	263	228	232	243	463	317	1283					
2	"Число бюллетеней, полученных участковыми комиссиями"	5504	1493	430	162	189	248	250	228	233	237	467	314	1253					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2365	663	188	75	52	133	93	67	104	54	170	146	620					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	904	85	80	32	73	36	96	59	67	111	113	105	47					
6	Число погашенных бюллетеней	2235	745	162	55	64	79	61	102	62	72	184	63	586					
7	Число бюллетеней в переносных ящиках для голосования	904	85	80	32	73	36	96	59	67	111	113	105	47					
8	Число бюллетеней в стационарных ящиках для голосования	2365	663	188	75	52	133	93	67	104	54	170	146	620					
9	Число недействительных бюллетеней	44	10	5	2	0	3	2	5	0	0	2	8	7					
10	Число действительных бюллетеней	3225	738	263	105	125	166	187	121	171	165	281	243	660					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	96	20	7	5	5	5	5	5	5	6	7	6	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	26	6	6	3	0	2	1	0	2	1	0	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	8	0	0	0	0	2	1	3	0	4	3	8					
14	Число погашенных открепительных удостоверений	70	14	1	2	5	3	4	5	3	5	7	6	15					
15	Число открепительных удостоверений выданных ТИК	4	2	0	0	0	1	0	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	"1. ""ЕДИНЕНИЕ"""	48	9	1	3	2	4	2	1	4	1	5	9	7					
		1.46%	1.20%	0.37%	2.80%	1.6%	2.36%	1.05%	0.79%	2.33%	0.60%	1.76%	3.58%	1.04%					
